ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.1875,2,0.3125,2,0.8202083,3.1622776601683795,0.991509942399775
072,0.0625,0,0.0625,1,0.93869317,2.23606797749979,0.9968283290327624
073,0.25,1,0.375,5,0.93862575,1.0,0.9941561910042728
074,0.0,0,0.0625,1,0.9746532,1.0,0.9981732565350788
075,0.1875,2,0.0,1,0.9209477,2.0,0.9975966743606884
076,0.0625,0,0.4375,2,0.90440166,1.0,0.9978263167865083
077,0.0,0,0.0,0,0.9114037,1.0,0.9998668146503884
078,0.1875,1,0.0,1,0.8639197,2.0,0.9900084615463276
079,0.5,0,0.0,0,0.9230368,3.0,0.9969631236442515
080,0.0625,0,0.1875,3,0.8921071,2.0,0.9963839416804204
081,0.1875,0,0.0625,1,0.8518704,3.0,0.9946436620883702
082,1.0625,9,0.625,4,0.83952004,2.0,0.9866897600598372
083,0.0,0,0.0625,1,0.95465106,1.4142135623730951,0.9984775663282328
084,0.25,0,0.0,1,0.9650664,1.0,0.9989841822667248
085,0.0,0,0.0,0,0.9262577,2.0,0.9991971946564364
086,0.3125,2,0.0625,1,0.9279038,2.0,0.9962373073552908
087,0.5,5,0.3125,2,0.8687376,3.0,0.9907520789188832
088,0.3125,0,0.0,1,0.9094125,2.23606797749979,0.9966908147750648
089,0.125,0,0.0,0,0.8894317,2.0,0.9945694924749666
090,0.6875,1,0.0,3,0.85331994,3.0,0.9934282556204024
091,0.375,0,0.0,0,0.9014062,3.0,0.9990873800994816
092,0.125,2,0.0,0,0.95409673,2.0,0.9987416595498062
093,0.3125,1,0.1875,5,0.9650065,1.0,0.992534939829627
094,0.0625,0,0.0,0,0.93519354,2.0,0.9992104669524025
095,0.0625,0,0.25,0,0.9288089,1.0,0.9980042751629722
096,0.0625,0,0.125,0,0.90909094,1.0,0.9995393474088292
097,0.25,0,0.0625,0,0.89677674,3.0,0.9964554246179094
098,0.625,1,0.0,0,0.9381827,2.0,0.997275183808234
099,0.125,1,0.0625,1,0.9133388,1.0,0.9969576703337976
100,0.3125,0,0.0,0,0.9599334,1.0,0.9995240814772512
101,0.1875,1,0.0625,0,0.92712766,1.0,0.998507825953085
102,0.3125,3,0.0625,1,0.8978574,2.23606797749979,0.9951245847545854
103,0.9375,10,1.9375,31,0.79317445,5.0,0.9140368202420042
104,0.4375,0,0.125,2,0.8741813,3.0,0.9929266816353192
105,0.0,0,0.0,0,0.9648989,1.0,1.0
106,0.1875,0,0.125,1,0.9243258,1.0,0.9984600729248536
107,0.1875,1,0.125,0,0.78740495,2.0,0.99294813466788
108,0.25,1,0.0625,0,0.90039116,1.4142135623730951,0.9977631197085892
109,0.5625,2,0.0625,1,0.8426796,3.1622776601683795,0.9969652273857824
110,0.5,4,0.0625,0,0.8829962,2.0,0.9947494334570464
111,0.25,0,0.1875,0,0.9215073,1.0,0.9979492583387644
112,0.1875,3,0.1875,1,0.8785255,1.0,0.9956592850875784
113,0.3125,5,0.125,1,0.8748086,2.0,0.9969772972952566
114,0.3125,0,0.0625,1,0.86605024,3.0,0.9921946955597984
115,0.1875,1,0.0625,0,0.95883673,1.0,0.9970689814574232
116,0.1875,0,0.0625,0,0.93531823,1.0,0.9998078401229824
117,0.0625,0,0.25,2,0.9473799,1.0,0.9994180074214024
118,0.1875,0,0.0,0,0.94812435,1.0,0.999488364862332
119,0.0,0,0.0,0,0.9665893,1.0,0.999502491816272
120,0.1875,2,0.1875,1,0.9454706,1.0,0.9995098171519872
121,2.5625,24,0.875,16,0.8942823,3.1622776601683795,0.9158390181820676
122,1.5625,17,0.5,1,0.8186729,4.0,0.8982235629780146
123,0.0625,0,0.25,2,0.95163417,1.0,0.9987868178790223
124,10.3125,145,7.625,120,0.5215546,12.0,0.5846156754852909
125,1.0625,7,0.5625,15,0.90813166,2.8284271247461903,0.94553315129421
126,0.125,0,0.1875,3,0.9218653,2.8284271247461903,0.9951415293620616
127,0.1875,0,0.0625,0,0.945921,1.0,0.9980313476555536
128,0.125,0,0.375,6,0.90552574,3.0,0.9968317787291142
129,0.625,5,0.875,18,0.94157594,1.4142135623730951,0.9853460210712076
130,1.375,22,0.875,14,0.9315665,4.0,0.9667710454519882
131,0.3125,2,0.3125,7,0.92734843,2.23606797749979,0.9640565318524796
132,0.0,0,0.1875,3,0.9246222,2.8284271247461903,0.9965070765431866
133,6.5625,84,3.0,31,0.74552625,4.47213595499958,0.7820835598424103
134,1.6875,10,0.9375,35,0.9072197,3.1622776601683795,0.935201528460298
135,1.0,11,1.8125,28,0.9174648,3.0,0.9634564106127436
136,3.9375,54,2.625,39,0.58306044,7.0,0.5583365258298367
137,0.125,0,0.0,0,0.91925853,1.0,0.9989254355015084
138,0.125,0,0.0625,1,0.93885535,2.0,0.9946070577264496
139,14.4375,218,7.6875,126,0.80596095,52.88667128870941,0.6463401327179278
140,0.0625,1,0.0625,1,0.93826467,2.8284271247461903,0.9911928375809492
141,0.125,2,0.1875,3,0.9168116,2.8284271247461903,0.9949291187030388
142,2.4375,33,1.0625,18,0.81159216,7.0,0.8887088696116098
143,0.4375,4,0.25,4,0.9073323,2.8284271247461903,0.9933998637089512
144,2.75,35,0.6875,10,0.9252226,4.47213595499958,0.9558430838228884
145,0.9375,9,1.3125,20,0.9262419,3.1622776601683795,0.960660148938248
146,2.3125,17,0.625,4,0.8629598,3.0,0.9476696033417784
147,17.625,247,8.125,131,0.56038547,18.0,0.64106848949745
148,0.25,3,0.0,1,0.90377706,2.23606797749979,0.992425350844074
149,0.1875,2,0.3125,6,0.9395948,2.23606797749979,0.9941778755681532
150,2.8125,37,0.75,12,0.9030355,4.123105625617661,0.9430707415550084
151,1.0,14,0.625,9,0.81817174,5.0990195135927845,0.8952071445054338
152,0.1875,0,0.4375,4,0.92703336,2.23606797749979,0.9957246834666432
153,0.9375,9,0.4375,7,0.7744068,6.082762530298219,0.8199139292607126
154,2.4375,17,0.5625,25,0.903528,3.1622776601683795,0.9350737290605388
155,5.9375,84,3.4375,57,0.5190054,8.0,0.6113110436940582
156,0.375,1,0.375,5,0.92430514,3.0,0.98621944304544
157,2.125,32,0.5,10,0.8930689,7.0,0.9454594895145148
158,0.0625,0,0.0,0,0.92559254,2.8284271247461903,0.9953674467908076
159,0.3125,3,0.125,2,0.9279113,3.0,0.9957625699484088
160,0.8125,7,0.5625,10,0.93477243,2.8284271247461903,0.957588546532792
161,2.8125,35,3.5,59,0.6691519,6.324555320336759,0.6862517092614315
162,3.375,33,0.9375,31,0.8808781,3.1622776601683795,0.9251559030873974
163,1.0,8,0.3125,1,0.889096,3.605551275463989,0.9594337451706756
164,0.125,1,0.0625,0,0.92396027,1.0,0.9978897436738396
165,0.125,2,0.0625,1,0.915148,1.0,0.9975391895281938
166,0.125,1,0.0625,1,0.92414325,2.0,0.9925819187749922
167,0.6875,3,0.6875,12,0.91005677,2.0,0.986826599501426
168,1.375,20,0.4375,7,0.9242558,3.605551275463989,0.9487148059202744
169,2.0,26,1.8125,27,0.90699875,4.123105625617661,0.9189858039550948
170,1.625,18,0.125,8,0.88960373,3.605551275463989,0.9640298867743736
171,1.25,16,1.125,18,0.9097515,3.0,0.9889808122571844
172,2.8125,28,1.5625,21,0.8879946,3.1622776601683795,0.9732368167057808
173,1.9375,27,1.25,21,0.8781634,4.0,0.9770431692802352
