ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.25,2,0.25,2,0.82081634,3.1622776601683795,0.9908162212361984
072,0.0625,1,0.0625,1,0.9405634,2.23606797749979,0.9965886592493356
073,0.625,1,0.3125,3,0.94204515,1.0,0.9938891925357926
074,0.125,1,0.0625,2,0.97553796,1.0,0.998359800193842
075,0.0625,0,0.0,1,0.92101115,2.0,0.9961476109841284
076,0.0,0,0.3125,1,0.93602586,1.0,0.9979989818274014
077,0.0,0,0.0,0,0.9182242,1.0,0.9997775739298966
078,0.125,1,0.0,0,0.8476041,2.0,0.9774198262329264
079,0.375,1,0.0,0,0.9260103,3.0,0.9967595593000648
080,0.25,0,0.125,1,0.8819603,2.0,0.9974570465667404
081,0.0625,0,0.1875,3,0.85070574,3.0,0.9950556449542906
082,0.5,3,0.5,1,0.81844085,2.0,0.984719199548679
083,0.0,0,0.0,0,0.9542542,1.4142135623730951,0.9983116053446932
084,0.25,0,0.0,1,0.96567684,1.0,0.9987426759331298
085,0.0,0,0.0,0,0.93227094,2.0,0.9987468043510952
086,0.1875,1,0.0,0,0.924401,2.0,0.9922853521296788
087,0.4375,1,0.375,3,0.8684204,3.0,0.9880485673389504
088,0.1875,1,0.0,1,0.90784013,2.23606797749979,0.994309087675618
089,0.25,0,0.0,0,0.8914103,2.0,0.99457617623975
090,0.4375,1,0.0625,0,0.8529722,3.0,0.9924577052264548
091,0.4375,1,0.0625,1,0.8981544,3.0,0.9988043879769746
092,0.0,0,0.0,0,0.95467246,2.0,0.9972755013077592
093,0.1875,0,0.3125,4,0.9677738,1.0,0.9924056835591708
094,0.0625,0,0.0,0,0.9363908,2.0,0.9987595850248082
095,0.0625,0,0.0625,1,0.96106935,1.0,0.9983721778982548
096,0.0625,0,0.125,0,0.9012874,1.0,0.9995388517408348
097,0.375,2,0.0625,0,0.89434415,3.0,0.9957048814003372
098,0.9375,3,0.0,0,0.94087654,2.0,0.9938286902064966
099,0.5,4,0.0625,2,0.9133766,1.0,0.9964359263218836
100,0.125,0,0.0,0,0.9621455,1.0,0.9990957978394328
101,0.1875,1,0.125,1,0.9391046,1.0,0.9975721428981392
102,0.0625,0,0.1875,1,0.89925396,2.23606797749979,0.9938660778469992
103,1.6875,24,1.5,22,0.78078467,6.0,0.9233600984694632
104,0.375,1,0.0625,0,0.8711495,3.0,0.9953671132433572
105,0.0,0,0.0,0,0.9668143,1.0,0.9999564744287268
106,0.25,0,0.0625,1,0.9328362,1.0,0.998045437604034
107,0.1875,0,0.1875,1,0.76611984,2.0,0.9904561123614712
108,0.25,0,0.0625,0,0.8953783,1.4142135623730951,0.9975490196078431
109,0.3125,1,0.0625,0,0.840611,3.605551275463989,0.9953701121213812
110,0.625,8,0.125,0,0.88072616,2.0,0.9968211051489992
111,0.0,0,0.0,0,0.9319636,1.0,0.9961275981625466
112,0.125,1,0.1875,1,0.86680865,1.4142135623730951,0.9962500234126522
113,0.1875,1,0.0625,0,0.8648715,2.0,0.9971838197644648
114,0.4375,1,0.25,4,0.8674278,3.0,0.9918311979976348
115,0.1875,0,0.0625,0,0.96184814,1.0,0.9971062593138408
116,0.125,0,0.0625,0,0.9395535,1.0,0.9994241093640444
117,0.0625,0,0.125,0,0.9626699,1.0,0.9996032690629216
118,0.1875,1,0.0,0,0.95052373,1.0,0.9989269838025652
119,0.0625,0,0.125,1,0.9675729,1.0,0.9983180428134556
120,0.0,0,0.125,1,0.9451717,1.0,0.9996557659208262
121,2.1875,18,0.75,14,0.8901389,3.1622776601683795,0.9291636252895236
122,1.25,13,0.4375,3,0.82182705,4.0,0.9079448628100932
123,0.0625,0,0.0625,2,0.96742386,1.0,0.9985565819861432
124,14.0,212,5.6875,93,0.51038414,11.6619037896906,0.57054784773857
