ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,4.0625,20,0.125,38,0.7634298,4.123105625617661,0.9750233066753536
072,3.625,25,0.125,29,0.9080469,3.1622776601683795,0.9850680310522104
073,1.25,1,2.4375,33,0.89927524,1.4142135623730951,0.9873447397187244
074,4.75,26,3.25,99,0.89976877,2.0,0.9850568010337584
075,3.8125,25,0.0,35,0.83171093,3.605551275463989,0.9826145266792076
076,0.25,2,0.875,9,0.927524,1.0,0.9967084550963674
077,2.625,5,0.75,47,0.9380214,1.4142135623730951,0.994577382974376
078,4.5,27,0.75,54,0.7443286,3.0,0.9649655900942604
079,1.125,5,0.0,2,0.88096434,4.0,0.9863645726093913
080,3.4375,15,0.6875,48,0.8305271,2.0,0.9887697905767576
081,4.5,21,0.0,42,0.77355266,4.0,0.9790864004232338
082,1.125,7,2.5,52,0.7031046,3.0,0.9713447796184764
083,3.6875,25,1.0,50,0.89584494,3.0,0.9854538353701332
084,4.5,35,1.5,64,0.9081532,2.0,0.9886861578185412
085,4.3125,27,0.0625,38,0.85902977,3.0,0.9896591664255716
086,3.8125,27,0.4375,38,0.8461655,3.1622776601683795,0.9783723990251596
087,5.125,33,0.75,50,0.81722504,4.0,0.971783223051024
088,2.125,23,0.0,9,0.85000515,3.0,0.9828156359950734
089,3.0,24,0.5625,26,0.87443507,2.8284271247461903,0.9874633099822194
090,4.625,28,0.0,40,0.77846295,4.0,0.9771415542324896
091,3.875,25,0.0625,32,0.8539954,4.0,0.9879265510348896
092,3.5,21,1.3125,48,0.91262615,2.23606797749979,0.9868345534016284
093,5.5,36,2.6875,87,0.9006885,2.0,0.974594054766621
094,4.0,25,0.0625,30,0.8585372,3.0,0.9886026505776988
095,0.9375,4,2.125,41,0.932689,1.0,0.995234691359038
096,0.8125,2,0.6875,19,0.8500372,2.0,0.9965668690017034
097,2.8125,13,0.125,29,0.8314011,4.0,0.9850821763416509
098,4.0625,32,0.0625,27,0.9177356,3.0,0.9851920201216932
099,0.75,2,0.75,18,0.86472195,2.0,0.99419905561354
100,5.0,31,1.25,66,0.9013905,2.0,0.9865562151874
101,0.875,7,1.0625,18,0.86711127,2.0,0.9953626484950098
102,4.875,29,0.0625,48,0.84075886,3.1622776601683795,0.9799752965163904
103,7.5625,97,1.0,15,0.75758284,9.0,0.8987791164943431
104,5.125,38,0.0,39,0.815087,4.0,0.9809150821401053
105,4.6875,33,3.375,90,0.90202063,2.0,0.9878998343801212
106,4.625,23,1.375,69,0.9544646,1.0,0.989634069827912
107,0.875,2,1.0625,27,0.70882154,2.0,0.9899307900993636
108,3.625,17,1.0625,47,0.8311623,2.0,0.9905573597531284
109,3.8125,24,0.0625,33,0.78171444,4.123105625617661,0.9816407887057949
110,4.75,31,1.25,57,0.82523876,2.0,0.98802461947809
111,0.9375,1,2.0625,41,0.88236445,2.0,0.992433426995024
112,0.5,1,0.3125,7,0.8015404,2.0,0.9935830185677912
