ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.25,2,0.25,1,0.83673066,3.0,0.9905211854293524
072,0.25,2,0.4375,6,0.9406239,2.23606797749979,0.9953636609356408
073,0.75,6,0.1875,0,0.9386402,1.0,0.9924454486162732
074,0.0,0,0.125,1,0.97669494,1.0,0.998097673223079
075,0.25,2,0.3125,5,0.9281516,2.0,0.996063091815678
076,0.0625,0,0.4375,4,0.91955525,1.0,0.998035276179712
077,0.0,0,0.0,0,0.93771744,1.0,0.9999555100769676
078,0.5625,4,0.0625,2,0.8246409,2.23606797749979,0.9756555403503652
079,1.0,11,0.0,0,0.9257612,3.0,0.9901266366172998
080,0.125,0,0.1875,3,0.8543184,2.0,0.9953027311433018
081,0.1875,1,0.1875,3,0.8608017,3.0,0.9953927324481237
082,2.125,23,1.1875,25,0.84812033,1.4142135623730951,0.9795677310163134
083,0.4375,6,0.0625,1,0.95501953,1.4142135623730951,0.994377153360395
084,0.25,0,0.0625,0,0.96902007,1.0,0.998887330075952
085,0.0625,0,0.0,0,0.92831194,2.0,0.9987458129743724
086,0.75,7,0.25,4,0.92805576,2.0,0.9881847653110816
087,1.0,11,0.4375,3,0.87839866,3.0,0.9899102727531268
088,0.4375,3,0.1875,4,0.90887827,2.23606797749979,0.99375
089,0.3125,3,0.25,4,0.8873248,2.23606797749979,0.9908781787245426
090,0.75,0,0.5625,4,0.86907226,3.0,0.988596040395318
091,0.875,3,0.875,13,0.9003247,3.0,0.99348476541317
092,0.0625,1,0.0625,1,0.95820975,1.4142135623730951,0.9980389991484904
093,0.5,6,0.5625,10,0.9673551,1.0,0.9863629354460002
094,0.125,1,0.0,0,0.93618304,2.0,0.9984791302878386
095,0.0625,0,0.25,4,0.93957394,1.0,0.99780367520195
096,0.0625,0,0.125,0,0.89797294,1.0,0.9994232322067136
097,0.1875,2,0.1875,3,0.9054326,2.23606797749979,0.9966579956989432
098,1.0625,4,0.3125,6,0.93778634,2.23606797749979,0.9934273911890652
099,0.4375,4,0.1875,4,0.9128612,1.0,0.9941231155642298
100,0.25,1,0.0,1,0.96453774,1.0,0.999666904591958
101,0.25,1,0.25,3,0.92524433,1.0,0.9977682997522974
102,0.4375,3,0.375,5,0.90519726,2.23606797749979,0.9945480194620644
103,3.625,55,4.4375,75,0.8087831,4.242640687119285,0.8943153669926291
104,0.75,3,0.3125,4,0.8885529,3.0,0.9889810581108736
105,0.0,0,0.0,0,0.97077805,1.0,1.0
106,0.25,0,0.125,2,0.9499151,1.0,0.9974161566463018
107,0.125,0,0.125,0,0.7955744,1.4142135623730951,0.9925351871901532
