ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.3125,4,0.125,1,0.82479626,3.1622776601683795,0.9907860758386848
072,0.125,1,0.0625,1,0.94115454,2.23606797749979,0.997134766180842
073,0.25,1,0.25,2,0.93986446,1.0,0.9940728660148198
074,0.1875,3,0.0625,0,0.97442955,1.0,0.9984714690979763
075,0.125,1,0.0,1,0.9169497,2.0,0.9976526934145716
076,0.0625,0,0.4375,6,0.9201366,1.0,0.9981911874223836
077,0.0625,0,0.0,0,0.9263127,1.0,0.9999555496288396
078,0.0,0,0.0,0,0.8498472,2.0,0.9784874205495654
079,0.25,1,0.0,0,0.92426336,3.0,0.9956770992721146
080,0.3125,1,0.25,4,0.88413894,2.0,0.9972758737353628
081,0.1875,0,0.0,0,0.85391825,3.0,0.9963872059678324
082,0.875,10,0.375,3,0.8436828,1.4142135623730951,0.9857222656893584
083,0.0,0,0.0,0,0.95578265,1.4142135623730951,0.998480328699274
084,0.3125,0,0.0,1,0.96653324,1.0,0.9988388969521044
085,0.1875,0,0.0625,1,0.92978704,2.0,0.9988952999704502
086,0.125,0,0.0625,1,0.9268638,2.0,0.9934095355782102
087,0.5625,4,0.3125,2,0.874359,3.0,0.9920044547681952
088,0.3125,0,0.0,1,0.9053826,2.23606797749979,0.9967765042979942
089,0.3125,0,0.0625,1,0.8908303,2.0,0.99601321033182
090,0.5,2,0.0,3,0.8599547,3.0,0.9933980575213976
091,0.5,2,0.0,0,0.9016223,3.0,0.9986857958012773
092,0.1875,0,0.0,0,0.9542643,2.0,0.9993983541526148
093,0.3125,2,0.25,4,0.96934885,1.0,0.9916421563419422
094,0.1875,1,0.0,0,0.9317117,2.0,0.9996613230977648
095,0.0625,0,0.125,1,0.94011945,1.0,0.9986619434598728
096,0.1875,0,0.0625,0,0.9078184,1.0,0.9994239852540224
097,0.375,1,0.125,2,0.8956842,3.0,0.9966357550329524
098,1.125,3,0.0,0,0.9395495,2.0,0.9962444549744424
099,0.125,0,0.0625,2,0.9116486,1.0,0.9953189424779628
100,0.125,0,0.0,0,0.9634526,1.0,0.9996193014181022
101,0.1875,1,0.0625,0,0.9322391,1.0,0.9987014631666392
102,0.375,3,0.125,0,0.90169734,2.23606797749979,0.99565989932528
103,3.0,39,2.3125,34,0.79852504,4.123105625617661,0.9222403589125452
104,0.1875,0,0.0625,0,0.87291396,3.0,0.9935112554152916
105,0.0,0,0.0,0,0.9679314,1.0,0.9999564933652382
106,0.375,1,0.0625,0,0.9295629,1.0,0.9985877841289073
107,0.25,1,0.125,0,0.7899033,2.0,0.9896071265417998
108,0.125,0,0.0625,0,0.90199,1.0,0.9980990357851562
109,0.75,1,0.0,0,0.84124357,3.1622776601683795,0.9957333948801288
110,0.3125,2,0.3125,3,0.8883079,2.0,0.9985137157664784
111,0.0625,0,0.125,0,0.92052096,1.0,0.9972114490775172
112,0.1875,1,0.1875,1,0.8758557,1.4142135623730951,0.995405707342524
113,0.125,0,0.0625,0,0.8711309,2.0,0.9988907552844108
114,0.3125,0,0.125,2,0.87202966,3.0,0.9921770535058828
115,0.4375,4,0.0,1,0.96309024,1.0,0.9971493970338102
116,0.1875,0,0.0625,0,0.9418513,1.0,0.99908706198264
117,0.0625,0,0.125,1,0.9490002,1.0,0.9994174261777172
118,0.0625,0,0.0,0,0.95097375,1.0,0.9993340714946513
119,0.0625,0,0.0,0,0.97012186,1.0,0.998200660896865
120,0.0625,1,0.1875,1,0.9485657,1.0,0.9990663025633932
121,4.4375,52,2.375,16,0.88088495,4.123105625617661,0.8907933183230947
122,0.6875,8,0.375,1,0.8282449,4.0,0.9108913588792132
123,0.125,1,0.1875,1,0.94727373,1.0,0.9984710566414784
124,9.375,142,4.5,69,0.5301465,9.0,0.6005551528265435
125,1.5625,14,0.8125,19,0.8963543,3.605551275463989,0.92965904159124
126,0.125,3,0.5625,9,0.9285787,2.8284271247461903,0.993527575042512
127,0.1875,1,0.125,0,0.94485015,1.0,0.9976943648181676
128,0.0625,0,0.0,0,0.9094669,3.0,0.9967360629816082
129,0.5625,5,0.625,12,0.93191916,1.4142135623730951,0.9876858087654792
130,1.0625,17,0.9375,14,0.9256987,4.242640687119285,0.9626939525320662
131,1.0625,14,0.5625,1,0.926451,2.8284271247461903,0.9538115829021054
132,0.0,0,0.375,6,0.92784446,2.23606797749979,0.9942673832173854
133,5.5625,77,6.4375,95,0.7269191,5.0,0.7540145330513601
134,2.3125,13,0.875,34,0.90656215,3.0,0.9412264334289182
135,1.0,11,1.75,28,0.9179174,3.0,0.9718424772237249
136,6.8125,93,3.1875,46,0.50570726,8.0,0.4988403573440472
137,0.0625,0,0.0,0,0.9290465,1.0,0.99876464008487
138,0.3125,3,0.125,2,0.9376868,2.0,0.9938198739834248
139,16.0,235,5.625,96,0.81776196,54.56189146281496,0.6726464054777442
140,0.1875,2,0.1875,3,0.9353925,3.0,0.987678732304248
141,0.125,2,0.0625,1,0.9131798,2.8284271247461903,0.9915318812893216
142,2.375,28,2.875,47,0.8214247,7.0,0.8769601672583945
143,0.25,3,0.375,6,0.91302955,2.8284271247461903,0.9905259342662472
144,2.5625,38,1.375,21,0.9276644,4.47213595499958,0.9639239951741464
145,1.625,25,1.5,23,0.9216927,3.1622776601683795,0.9587778406910124
146,2.4375,27,0.875,11,0.8683757,3.0,0.9596870231895503
147,9.25,129,6.375,102,0.6306357,12.727922061357855,0.7049363710515831
148,0.1875,2,0.0,0,0.8935901,2.8284271247461903,0.99169243245645
149,0.0625,0,0.625,10,0.9373859,2.23606797749979,0.9955517767675838
150,3.3125,44,1.0625,16,0.90110767,4.47213595499958,0.9349764345817352
151,1.0625,12,1.1875,18,0.81242704,6.0,0.8785901120669095
152,0.25,1,0.3125,2,0.9253486,2.23606797749979,0.996846620403974
153,0.9375,9,1.0,16,0.77292955,6.324555320336759,0.7965085184300839
154,2.625,23,0.875,21,0.8902621,4.0,0.9242690892617252
155,5.125,71,2.9375,41,0.5102481,7.280109889280518,0.6020283677559494
156,0.4375,3,0.1875,1,0.9210615,3.0,0.9818650004921072
157,3.25,49,0.8125,15,0.8909751,7.071067811865476,0.9399896995445208
158,0.375,3,0.0625,2,0.92866486,2.8284271247461903,0.9932007869409932
159,0.1875,4,0.5625,9,0.92583036,3.0,0.9889144823577948
160,1.1875,12,0.9375,10,0.92998856,3.0,0.9440910289720196
161,3.5,49,4.9375,77,0.6849454,6.0,0.7052336435421251
162,4.0,44,0.8125,34,0.8664656,4.123105625617661,0.9158661055440204
163,0.5625,9,0.75,9,0.89355326,4.0,0.9578939114485272
164,0.125,0,0.0625,1,0.9220735,1.0,0.9974669328349024
165,0.0625,1,0.0,0,0.9252143,1.0,0.9985757089914724
166,0.0625,1,0.0,0,0.9256019,2.0,0.9942761814662276
167,0.125,1,0.1875,0,0.90602046,2.0,0.988502983374308
168,0.9375,13,0.875,14,0.92185295,4.123105625617661,0.9444114058581904
169,2.375,29,3.8125,60,0.9031634,3.605551275463989,0.9139250286405372
170,1.8125,19,0.375,1,0.89890414,3.605551275463989,0.9647145559383958
171,2.4375,32,1.25,22,0.91500354,2.0,0.981166258650048
172,3.375,39,2.6875,40,0.8936262,3.0,0.976056862345322
173,1.375,21,1.6875,26,0.8800274,3.0,0.9863153069596972
174,10.375,152,4.75,63,0.82736135,6.0,0.9058219206285644
175,2.9375,37,2.0625,24,0.7088682,4.0,0.8251546903168178
176,4.3125,53,1.75,18,0.7176594,4.0,0.8007324055088512
177,4.1875,47,2.0,1,0.74850357,3.0,0.912144648290066
178,1.25,10,0.8125,13,0.90297216,2.23606797749979,0.982044170824256
179,3.3125,42,1.125,10,0.7560349,2.8284271247461903,0.927966075895794
180,4.4375,28,1.1875,32,0.7419317,3.0,0.9060638181792894
181,6.625,86,8.5625,121,0.723715,5.0,0.8573564272795309
182,3.3125,42,1.125,14,0.86134976,2.23606797749979,0.9712221966478334
183,2.125,26,1.375,19,0.9037954,3.1622776601683795,0.9817521670986415
184,10.75,115,7.6875,183,0.7363155,3.0,0.8334757364046389
185,1.5,17,0.5,8,0.9073653,3.0,0.9894446342709672
186,3.625,44,1.75,23,0.88916963,3.0,0.9620143331721404
187,3.6875,44,2.25,32,0.8797393,3.0,0.9761310825548224
188,26.0,370,17.6875,267,0.56047696,15.132745950421556,0.5856487182704357
189,2.3125,22,1.0625,4,0.77966636,3.0,0.9469380997388972
190,2.375,27,2.1875,27,0.8655568,4.0,0.9763240119573656
191,4.5625,60,2.125,24,0.76082957,3.1622776601683795,0.9245841330097864
192,3.0,32,1.9375,24,0.7849701,3.1622776601683795,0.955009511806174
193,3.4375,43,1.25,14,0.8539095,4.242640687119285,0.9504959533131114
194,0.8125,9,0.625,6,0.91050744,2.0,0.99120656131576
195,2.625,35,1.5,17,0.87621635,3.605551275463989,0.9707580043269978
