ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.3125,3,0.3125,3,0.83132917,3.0,0.993559370146058
072,0.125,2,0.1875,1,0.9433464,2.23606797749979,0.9965452291120322
073,0.5625,5,0.25,2,0.9424025,1.0,0.9937003805090024
074,0.0625,1,0.125,1,0.9775673,1.0,0.9983610221262011
075,0.3125,2,0.0625,2,0.9230313,2.0,0.998099964290864
076,0.0625,0,0.375,5,0.917379,1.0,0.9980591023282396
077,0.0,0,0.0,0,0.93755394,1.0,0.9999111348084956
078,0.4375,4,0.0625,2,0.83340514,2.0,0.9733759830906472
079,0.6875,5,0.0,0,0.92750055,3.0,0.9956462091912804
080,0.125,0,0.25,2,0.8596061,2.0,0.9969624765725325
081,0.5,2,0.125,2,0.8556691,3.0,0.9954107152065178
082,1.4375,18,0.9375,8,0.84919876,1.4142135623730951,0.982318272584301
083,0.1875,3,0.0,0,0.9532964,1.4142135623730951,0.9957247086755224
084,0.3125,0,0.0,1,0.96882147,1.0,0.9988388969521044
085,0.125,0,0.0,0,0.93021846,2.0,0.9989953584980454
086,0.3125,2,0.125,1,0.93374157,2.0,0.992693587328632
087,0.1875,1,0.6875,10,0.87308586,3.0,0.990500224368292
088,0.3125,1,0.1875,4,0.9062791,2.23606797749979,0.9957119885653029
089,0.125,1,0.1875,3,0.89187235,2.0,0.9957434677984583
090,0.875,2,0.0625,3,0.85913736,3.0,0.9909117808997446
091,0.5625,1,0.125,2,0.90078557,3.0,0.9962308742982692
092,0.0,0,0.0625,1,0.95715606,1.4142135623730951,0.9983647661615612
093,0.3125,2,0.5,7,0.9696953,1.0,0.9902439517314188
094,0.4375,0,0.0,0,0.9327578,2.0,0.9989301199391858
095,0.0625,0,0.125,1,0.9416131,1.0,0.998537757748942
096,0.0625,0,0.125,0,0.902683,1.0,0.9993855606758832
097,0.3125,2,0.125,2,0.89800674,2.8284271247461903,0.9969747886071978
098,1.25,5,0.25,4,0.94099015,2.0,0.995587576976891
099,0.1875,0,0.125,3,0.91546494,1.0,0.9937941325759424
100,0.25,0,0.0,0,0.96380514,1.0,0.9984757549776128
101,0.1875,1,0.0625,0,0.9262363,1.0,0.9981870728387736
102,0.4375,4,0.25,2,0.90240633,2.23606797749979,0.9938074132351544
103,2.9375,44,2.6875,44,0.82392883,6.0,0.9188899414136028
104,0.5,2,0.5,7,0.8818002,3.0,0.9927922306774792
105,0.0,0,0.0,0,0.9681165,1.0,1.0
106,0.3125,1,0.0625,1,0.944795,1.0,0.9977107979271828
107,0.1875,0,0.125,0,0.79364926,2.0,0.9908639296522584
108,0.125,1,0.0625,0,0.8885324,2.0,0.9982685079606402
109,0.75,4,0.125,2,0.8401771,3.1622776601683795,0.996097948134049
110,0.1875,1,0.125,1,0.88264734,2.0,0.9985545834192192
111,0.0625,0,0.1875,0,0.92092884,1.0,0.9978875203333144
112,0.25,1,0.1875,1,0.86641586,1.4142135623730951,0.996566568694999
113,0.5,7,0.0625,0,0.8523297,2.0,0.9981225465096432
114,0.9375,6,0.5,6,0.8737846,3.0,0.9899237061401692
115,0.1875,1,0.0,1,0.96176296,1.0,0.997634147924434
116,0.125,0,0.0625,1,0.9510897,1.0,0.9997600652622488
117,0.0625,0,0.1875,1,0.9458304,1.0,0.9995233639149668
118,0.0625,0,0.0,0,0.9571859,1.0,0.9991292059290616
119,0.125,0,0.0,1,0.9720672,1.0,0.9988520993767018
120,0.0625,1,0.125,0,0.95233077,1.0,0.999533795291616
121,3.8125,45,1.0,9,0.8934457,3.0,0.9251014569997664
122,1.125,12,0.6875,7,0.82457834,4.0,0.9046189457148912
123,0.125,2,0.375,4,0.95547897,1.0,0.9988697490720856
124,7.625,92,2.9375,44,0.48108,9.0,0.5702693133184665
125,1.625,16,0.75,24,0.8917437,3.605551275463989,0.9299372548382512
126,0.1875,2,0.25,4,0.9249278,2.8284271247461903,0.9966251845602192
127,0.1875,1,0.125,1,0.95273674,1.0,0.9979074798500224
128,0.1875,1,0.4375,7,0.90708965,3.1622776601683795,0.9959668270802482
129,0.3125,1,0.5625,10,0.93885136,1.4142135623730951,0.9878962721294116
130,2.75,42,0.4375,6,0.9252411,5.656854249492381,0.941133567411998
131,1.0625,15,0.25,9,0.92487323,2.8284271247461903,0.9601118174057496
132,0.0625,1,0.8125,13,0.930041,2.8284271247461903,0.993690726043708
133,6.0,76,2.0,15,0.74636716,4.123105625617661,0.7769657092500505
134,2.5,26,0.9375,19,0.9153764,2.23606797749979,0.9478574716974284
135,1.125,12,2.25,34,0.9183123,3.0,0.9634771817098028
136,4.4375,58,2.0625,28,0.5357245,8.0,0.5398984043370759
137,0.125,1,0.0,0,0.9424251,1.0,0.9990425843667466
138,0.25,2,0.125,2,0.93284714,2.23606797749979,0.992841684701182
139,13.4375,196,3.875,62,0.78383696,54.08326913195984,0.62100543236103
140,0.125,2,0.3125,5,0.93621695,2.8284271247461903,0.9924929993130768
141,0.3125,5,0.125,2,0.91219753,2.8284271247461903,0.9938094576311656
142,5.5625,81,1.375,23,0.82051164,10.198039027185567,0.860110731051657
143,0.1875,1,0.875,14,0.91083586,2.8284271247461903,0.9934619446459972
144,6.5,97,0.3125,3,0.9149094,12.36931687685298,0.920402615544075
145,3.3125,50,3.125,51,0.9101358,5.385164807134504,0.9313026839213144
146,2.0,21,1.0625,8,0.8747442,3.0,0.9557923973788828
147,12.0,167,3.25,52,0.5481342,13.0,0.6203702166242531
148,0.0,0,0.0625,1,0.8966359,2.23606797749979,0.9912101571517358
149,0.0625,0,0.3125,6,0.9447639,2.23606797749979,0.996688112785022
150,3.375,46,0.625,9,0.88415086,5.385164807134504,0.9362480929127912
151,2.625,38,1.125,18,0.8155283,6.0,0.8829891477626947
152,0.1875,0,0.875,12,0.92773587,2.23606797749979,0.9954478229617076
153,3.1875,45,1.0625,17,0.77164745,7.0,0.7905629454691203
154,2.125,18,0.75,20,0.9018245,3.0,0.9455745635526072
155,3.0625,46,1.0,15,0.48646966,7.615773105863909,0.586096856034525
156,0.1875,1,0.3125,3,0.9207044,3.0,0.9813443019668372
157,6.375,94,1.25,21,0.8848114,29.0077563156922,0.8801815316984088
158,0.625,8,0.0,0,0.92543626,2.8284271247461903,0.9902936180538704
159,0.0625,0,0.5625,9,0.9317395,2.8284271247461903,0.9987020841685608
160,2.0625,22,0.75,25,0.926817,4.0,0.9245095774146256
161,3.25,40,1.0625,12,0.71327263,5.385164807134504,0.7423688546899743
162,4.125,48,1.25,7,0.88293296,3.0,0.9382158084804104
163,0.4375,4,0.6875,12,0.9010655,3.1622776601683795,0.9636115023006564
164,0.125,0,0.0625,1,0.92201513,1.4142135623730951,0.9981225963485564
165,0.0625,1,0.0,0,0.9374886,1.0,0.9989627445314154
166,0.0625,1,0.0,0,0.9267598,2.0,0.9939625039720368
167,0.25,1,0.375,4,0.90514666,2.0,0.989706062738312
168,1.125,16,0.125,2,0.92052907,4.123105625617661,0.9578744495512096
169,2.125,31,2.625,42,0.89437276,5.0,0.9109227869730953
170,1.5,15,1.3125,14,0.90458626,3.605551275463989,0.9675432514781273
171,4.25,55,2.3125,38,0.8953219,3.0,0.9226476838684798
172,4.9375,67,3.375,53,0.89584935,3.1622776601683795,0.947143551147075
173,2.25,34,1.375,22,0.8958756,3.0,0.970125063740832
174,13.5,184,5.0625,76,0.7967706,15.0,0.8144834719891559
175,2.6875,33,1.25,5,0.6945612,4.0,0.7942317940856461
176,4.0625,54,1.125,8,0.7264193,4.0,0.801185291352656
177,2.75,25,1.375,12,0.75361454,3.0,0.9136492312780083
178,1.375,13,0.25,2,0.90536207,2.7988091673843014,0.97738938008393
179,2.6875,25,1.4375,36,0.76416117,2.23606797749979,0.9454737670528982
180,2.375,16,1.625,48,0.7379649,3.0,0.9006941467092879
181,4.75,55,2.8125,30,0.7491144,4.0,0.8921915786703435
182,2.3125,26,0.8125,8,0.8779958,2.0,0.9670237504773732
183,3.375,50,1.5,26,0.9128796,4.0,0.9623929478294804
184,14.5625,149,9.875,246,0.7154465,3.0,0.8008272761592571
185,3.1875,48,2.0625,33,0.9081867,3.0,0.9625742338116628
186,3.25,47,2.0,32,0.8845379,4.0,0.9297435652774044
187,2.5,32,1.25,21,0.88102037,4.0,0.9544112175197348
188,25.875,354,7.75,107,0.577416,15.811388300841896,0.6094088854445281
189,2.5625,29,0.75,13,0.79264206,3.0,0.9497718445898092
190,2.75,39,1.5,21,0.8842244,4.0,0.955992517111247
191,1.5625,22,1.0,15,0.7714597,3.0,0.9388778808109466
192,1.875,30,1.75,21,0.7811011,3.605551275463989,0.936843617137725
193,6.8125,100,2.4375,39,0.8368923,8.0,0.912317218454523
194,2.0,26,0.8125,11,0.9104602,2.0,0.9795744037003488
195,3.0625,39,2.25,36,0.9027006,3.1622776601683795,0.9642146237890918
196,1.1875,16,1.0625,20,0.91371536,2.8284271247461903,0.9817062741959957
197,2.5625,38,2.625,43,0.90886617,3.0,0.9607021194429468
198,6.625,94,3.4375,49,0.86913204,4.0,0.9076729345190354
199,2.25,32,1.1875,20,0.88473725,3.0,0.967802013068916
200,33.1875,487,10.5625,166,0.4646072,19.0,0.4779207908730335
201,3.125,44,1.5,16,0.7860831,4.0,0.9155249064866308
202,2.0625,27,0.6875,11,0.89970124,3.0,0.9731980054607176
203,1.3125,8,1.0625,1,0.8161143,2.23606797749979,0.960138681807551
204,2.0,17,0.5625,2,0.80143523,3.0,0.945547737571496
205,1.125,13,0.6875,8,0.9069766,2.0,0.9805412291734794
206,3.75,45,1.0,0,0.85377264,2.0,0.960318753238502
207,2.3125,35,2.0625,32,0.9102553,3.0,0.959366033159366
208,2.9375,44,0.625,9,0.93207496,3.605551275463989,0.9589289174846716
209,28.0625,388,9.9375,164,0.53595996,22.80350850198276,0.4327681299942616
210,2.125,28,1.375,12,0.83431715,3.0,0.9519358941401088
211,0.4375,4,0.9375,16,0.86239403,3.0,0.994986477634637
212,2.9375,30,1.9375,11,0.7704829,3.605551275463989,0.9002093449379294
213,1.9375,27,0.75,12,0.90724576,3.0,0.9583546338055828
214,1.8125,26,0.6875,3,0.80482346,3.0,0.9355587355011816
215,2.9375,32,1.3125,5,0.78497785,3.0,0.923311859294672
216,8.625,109,5.5,83,0.68248,13.0,0.7084324637007885
217,2.0,18,0.5625,12,0.84533095,2.0,0.9651259382697944
218,3.0625,37,3.0625,48,0.8930961,4.0,0.9533818195813424
219,4.0,53,3.1875,58,0.8756356,7.071067811865476,0.8800822443369386
220,28.875,409,6.8125,114,0.4216043,21.095023109728988,0.3139882965049768
221,6.375,75,5.25,72,0.7454001,11.0,0.7800907692774509
222,2.9375,30,4.5625,78,0.5117906,84.0,0.593260662890869
223,4.3125,65,0.4375,5,0.8254583,20.615528128088304,0.8337385031884487
224,2.8125,39,0.6875,10,0.8844327,21.94880184994044,0.9001563991093203
225,19.125,235,9.9375,168,0.054575857,50.0,0.0475613631495352
226,6.875,102,7.3125,132,0.4037315,41.10960958218893,0.407374750093552
227,0.375,4,1.125,26,0.7791097,41.0,0.8294052961631052
228,1.8125,19,2.625,44,0.6399803,26.67770070656625,0.8000683614762267
229,2.4375,28,1.4375,28,0.7531148,23.0,0.8071859160779462
230,10.0,145,2.6875,41,0.2846248,33.0,0.3047804058950817
231,0.75,4,2.9375,52,0.7486992,22.0,0.8463615038198447
232,3.4375,50,2.0,33,0.57160205,25.0,0.732602197538509
