ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.25,2,0.1875,1,0.82707655,3.0,0.9924286659446256
072,0.125,0,0.1875,1,0.94144285,2.23606797749979,0.9972010804043931
073,0.75,7,0.375,4,0.94294107,1.0,0.9934990808526574
074,0.1875,2,0.0625,2,0.97461134,1.0,0.9982853177819848
075,0.25,3,0.0,1,0.92305017,2.0,0.9973195014871288
076,0.125,1,0.5,4,0.91780734,1.0,0.9977361137358414
077,0.0625,0,0.0,0,0.92676634,1.0,0.999911158493248
078,0.1875,1,0.25,3,0.84751046,2.0,0.978538786381803
079,0.4375,0,0.0,0,0.9283072,3.0,0.997506985604069
080,0.25,1,0.1875,3,0.8755356,2.0,0.9978126550462876
081,0.4375,1,0.0625,1,0.8538672,3.0,0.9961241101739128
082,1.375,19,0.875,5,0.8451603,1.4142135623730951,0.9843763237080576
083,0.0,0,0.0,0,0.95654374,1.4142135623730951,0.9983657424270538
084,0.3125,0,0.0,1,0.9686411,1.0,0.9988389858755556
085,0.0,0,0.0,0,0.9332727,2.0,0.999046005175141
086,0.1875,1,0.0,1,0.92990524,2.0,0.9957785331078954
087,0.8125,7,0.5,6,0.8756671,3.0,0.9902652427857024
088,0.375,0,0.0625,2,0.910283,2.0,0.9956308515381188
089,0.3125,1,0.1875,3,0.8956726,2.0,0.9958381054595422
090,0.9375,2,0.1875,0,0.86016583,3.0,0.9916854552675932
091,0.75,0,0.0,0,0.9024096,3.0,0.9980661839771076
092,0.0,0,0.0,0,0.9568339,1.4142135623730951,0.999288849201564
093,0.3125,1,0.3125,5,0.9698736,1.0,0.9906708810219876
094,0.1875,0,0.0,0,0.9358019,2.0,0.9993227226549272
095,0.0,0,0.125,1,0.94025296,1.0,0.9982966522356808
096,0.125,1,0.125,0,0.9066951,1.0,0.9995393028250428
097,0.25,0,0.125,1,0.89684033,3.0,0.9953095092762616
098,1.0625,2,0.0,0,0.939388,2.23606797749979,0.9953442198720084
099,0.5625,5,0.125,3,0.91383684,1.0,0.9953195548816284
100,0.375,2,0.0,0,0.9625802,1.0,0.999380332713666
101,0.1875,0,0.125,1,0.93228817,1.0,0.9984062290146392
102,0.125,0,0.375,4,0.9016139,2.23606797749979,0.994832434476782
103,4.0,61,6.6875,115,0.8342016,7.0,0.9031721744432134
104,0.75,1,0.25,3,0.87679815,3.0,0.9927610956580636
105,0.0,0,0.0,0,0.96813995,1.0,1.0
106,0.25,0,0.125,2,0.9307868,1.0,0.997669363294603
107,0.1875,1,0.125,0,0.791915,2.0,0.9900696267549368
108,0.125,0,0.0625,0,0.89575845,1.4142135623730951,0.9980151188817096
109,0.6875,2,0.125,2,0.84150666,3.1622776601683795,0.9963656426261364
110,0.5625,4,0.125,0,0.88958335,2.0,0.9973997681014276
111,0.0,0,0.125,0,0.91995466,1.0,0.9975053469702324
112,0.25,1,0.1875,1,0.8759324,1.4142135623730951,0.9964621312540144
113,0.125,2,0.0625,0,0.8629708,2.0,0.9976972281449894
114,0.625,3,0.5,8,0.8699764,3.0,0.9902870737431914
115,0.3125,3,0.0,1,0.9633709,1.0,0.997188374766748
116,0.0625,0,0.0625,0,0.9461755,1.0,0.9993754360182548
117,0.0625,0,0.125,1,0.95018244,1.0,0.9996823828011124
118,0.25,1,0.0,0,0.9543553,1.0,0.9992344985965808
119,0.125,1,0.0,0,0.970979,1.0,0.9988143487228576
120,0.0,0,0.1875,1,0.95208323,1.0,0.999754491743418
121,4.625,55,3.6875,38,0.8860463,3.605551275463989,0.9081950065216524
122,1.875,18,0.625,1,0.82535946,4.0,0.9092566812127753
123,0.125,2,0.1875,2,0.94705117,1.0,0.9987880158157882
124,18.625,271,15.625,250,0.44389874,12.0,0.4858000533290707
125,1.875,17,0.6875,22,0.8953408,3.1622776601683795,0.9320110155105824
126,0.25,1,0.0625,1,0.9250509,2.8284271247461903,0.9962127340620274
127,0.25,1,0.125,0,0.9459175,1.0,0.9978180838690912
128,0.0625,0,0.375,6,0.9072454,2.8284271247461903,0.9968323228237892
129,0.3125,2,0.5,9,0.9403117,1.4142135623730951,0.9918258753233204
130,1.0,15,1.25,19,0.9275541,5.0,0.9609821144205766
131,0.9375,12,0.4375,9,0.9272831,2.8284271247461903,0.9588577781275526
132,0.125,2,0.3125,5,0.92944527,2.23606797749979,0.9969254738136402
133,8.125,111,5.125,74,0.7536336,4.123105625617661,0.7938649332412345
134,1.6875,10,0.875,22,0.9167725,2.23606797749979,0.9527364008701248
135,1.6875,19,1.9375,32,0.92867637,3.0,0.9736211743218526
136,7.125,101,7.25,111,0.5166157,7.280109889280518,0.5297197583328473
137,0.0625,1,0.0,0,0.93066067,1.0,0.9992027107187026
138,0.25,2,0.0625,0,0.93789417,2.0,0.9938489949232688
139,17.9375,271,7.4375,124,0.8086913,52.773099207835045,0.6545551747844295
140,0.1875,3,0.125,2,0.93716246,2.8284271247461903,0.9858257993732834
141,0.125,1,0.6875,11,0.9183158,2.23606797749979,0.9939129256025684
142,2.875,39,3.375,56,0.8222436,7.0,0.8797288388806367
143,0.125,2,0.4375,8,0.9096397,2.8284271247461903,0.991983494880612
144,2.1875,28,1.375,20,0.928513,4.123105625617661,0.9548417362493404
145,2.0,25,5.5625,88,0.92554116,3.605551275463989,0.9506037795238056
146,1.625,18,1.625,21,0.8770683,3.0,0.9600153179119482
147,24.5625,344,9.0,150,0.53832847,15.811388300841896,0.6122782452960293
148,0.0625,0,0.0625,0,0.8973285,2.8284271247461903,0.9909617138980904
149,0.125,0,0.1875,4,0.94105035,2.23606797749979,0.9954701818327784
150,2.5625,36,0.9375,14,0.89923006,4.242640687119285,0.9281058680695052
151,1.625,19,1.625,25,0.8196135,5.385164807134504,0.8791612632814457
152,0.0625,0,0.5625,7,0.9266496,2.23606797749979,0.996868417323728
153,2.0625,21,0.875,14,0.7809709,6.324555320336759,0.8170831352548931
154,3.0,25,0.8125,21,0.90384144,3.0,0.9398207503698736
155,9.1875,134,5.6875,86,0.46622768,7.211102550927978,0.5686209363373234
