ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.125,0,0.125,0,0.8385568,3.0,0.9940042285914652
072,0.1875,0,0.0625,2,0.94128114,2.23606797749979,0.9962760149354944
073,0.3125,1,0.625,7,0.94571525,1.0,0.9938538489049644
074,0.0625,0,0.0625,1,0.97600627,1.0,0.9994411118148964
075,0.0,0,0.0,0,0.92962927,2.0,0.9989380376368736
076,0.0,0,0.25,2,0.93474513,1.0,0.997866387329854
077,0.0,0,0.0,0,0.93390894,1.0,0.9997331910352188
078,0.125,0,0.0625,1,0.8307359,2.0,0.973169361775669
079,0.375,0,0.0,0,0.9276463,3.0,0.9973856209150326
080,0.125,0,0.1875,3,0.85587215,2.0,0.9966477850832022
081,0.0,0,0.0625,1,0.860645,3.0,0.9946412138455568
082,0.6875,5,0.75,3,0.8448308,1.4142135623730951,0.9865952761534053
083,0.0625,0,0.0,1,0.95338124,1.4142135623730951,0.9966714017385352
084,0.1875,0,0.0,1,0.9701159,1.0,0.998935758513932
085,0.0,0,0.0,0,0.93099487,2.0,0.9986464521294997
086,0.3125,1,0.0,0,0.9322213,2.0,0.9951989092868304
087,0.375,1,0.25,3,0.8735117,3.0,0.9909298386901312
088,0.125,1,0.0,0,0.90932506,2.0,0.9969515408517312
089,0.0625,0,0.0625,1,0.893767,2.0,0.9945355818387144
090,0.5625,0,0.0625,4,0.8683751,3.0,0.9926831852710056
091,0.8125,1,0.0,2,0.9028329,3.0,0.9985770301191232
092,0.0625,1,0.0,0,0.9589993,1.0,0.9995074399636829
093,0.25,2,0.0625,2,0.9718144,1.0,0.993733727405388
094,0.0625,0,0.0,0,0.93615156,2.0,0.99932478055368
095,0.0625,0,0.1875,1,0.9423547,1.0,0.99849210892719
096,0.0625,0,0.125,0,0.9007946,1.0,0.9991557295264408
097,0.125,0,0.0,0,0.9072502,2.23606797749979,0.9983759765913636
098,0.9375,2,0.0,1,0.93748623,2.23606797749979,0.9955296916783988
099,0.1875,1,0.125,3,0.9130881,1.0,0.9952476550255548
100,0.25,1,0.0,0,0.96584404,1.0,0.9993794453195856
101,0.125,0,0.125,1,0.9321262,1.0,0.9984799472490268
102,0.375,2,0.1875,1,0.9059539,2.23606797749979,0.9943806676523876
103,0.4375,5,0.1875,4,0.8499696,4.0,0.9788220689800512
104,0.3125,0,0.0,1,0.889686,3.0,0.9951506445398908
105,0.0,0,0.0,0,0.9719687,1.0,1.0
106,0.1875,0,0.0625,0,0.9437242,1.0,0.9986702440514184
107,0.25,1,0.125,0,0.7985729,1.4142135623730951,0.9909704617312788
108,0.1875,0,0.0625,0,0.88503474,2.0,0.9974243127982096
109,0.5,2,0.0,0,0.8557854,3.0,0.9970412044816416
