ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.8125,5,0.125,7,0.6214228,4.47213595499958,0.9497501653340302
072,0.625,0,0.0625,2,0.46186525,7.071067811865476,0.9410908039674905
073,0.8125,4,0.5625,1,0.8071035,2.0,0.9828691195267206
074,0.3125,2,0.625,5,0.62603104,3.605551275463989,0.99384159096141
075,0.25,2,0.0,0,0.557435,4.0,0.978350232248473
076,0.0625,1,0.5,5,0.8587034,1.0,0.9849294644247396
077,0.1875,1,0.0625,0,0.64933133,3.0,0.9904222312154324
078,0.5625,4,0.0625,3,0.7537063,2.0,0.9493577861605056
079,0.4375,0,0.0,1,0.41310412,7.0,0.965042850699143
080,0.25,1,0.3125,4,0.76181304,2.0,0.983198401399898
081,0.5,0,0.0,3,0.6135756,5.0,0.961406905194403
082,0.625,7,0.5625,11,0.8303132,1.4142135623730951,0.9652691697047192
083,0.3125,2,0.0625,4,0.5025672,6.0,0.978680534088616
084,0.25,1,0.0625,1,0.5387706,5.0,0.9880684596577016
085,0.125,0,0.0,0,0.5855767,4.0,0.98790776378628
086,0.625,5,0.0,0,0.5751062,4.0,0.9853388494601724
087,0.5,3,0.3125,5,0.6340268,4.47213595499958,0.945642644940748
088,0.125,0,0.0,0,0.46446413,6.0,0.9670717002133384
089,0.25,2,0.0625,0,0.60950065,4.47213595499958,0.9242242048036968
090,0.6875,3,0.0,8,0.59889364,5.0,0.9334440671319983
091,0.5625,2,0.0,4,0.5184904,6.0,0.8911277627353441
092,0.6875,0,0.4375,2,0.4958338,6.0,0.960131945629301
093,0.4375,4,0.375,3,0.58821076,4.0,0.9805976409480052
094,0.4375,0,0.0,0,0.5605701,4.123105625617661,0.9851139356463988
095,1.0,12,0.5,5,0.83992404,1.4142135623730951,0.9944871912845388
096,0.375,1,0.125,1,0.77880776,2.0,0.9885414302008024
097,0.375,0,0.0625,4,0.54355377,5.385164807134504,0.9475178916278542
098,0.9375,2,0.0,2,0.459093,7.0,0.9543263131184978
099,0.375,0,0.1875,5,0.74122775,2.0,0.9676499834778928
100,0.4375,0,0.125,1,0.5552148,5.0,0.978015170486178
101,0.125,0,0.125,1,0.848273,1.0,0.9943461650927836
102,0.5,5,0.0625,3,0.5911962,5.0,0.9481754851261416
103,0.875,6,0.125,9,0.5931265,5.0,0.9107343862229982
104,0.875,1,0.0,4,0.5693805,5.0,0.9279298814243916
105,0.1875,0,0.375,2,0.57883126,4.0,0.9903142393829164
106,0.5,2,0.125,3,0.6395986,3.0,0.9928014053384892
107,0.0625,1,0.0625,0,0.8446037,1.0,0.9831874288160892
108,0.5,3,0.25,0,0.76819503,2.0,0.9811788211156268
109,0.6875,2,0.0,3,0.58302736,5.0,0.9596067732885504
110,0.625,8,0.125,2,0.76552874,2.0,0.9775142814162884
111,0.125,0,0.25,1,0.82141525,2.0,0.9916730484224674
112,0.125,1,0.1875,1,0.8314733,1.4142135623730951,0.982267014708804
113,0.375,3,0.0,0,0.79915255,2.0,0.9859704496952952
114,1.1875,6,0.0,8,0.5714933,5.0,0.9188843796112351
115,0.4375,3,0.375,1,0.61947733,4.0,0.9861815510327996
116,0.375,0,0.0625,0,0.6035229,4.0,0.9912364655780616
117,0.1875,1,0.25,2,0.8126006,2.0,0.996678130691668
118,0.25,1,0.125,2,0.56516045,4.0,0.9832579688511632
119,0.3125,1,0.25,1,0.6465424,3.1622776601683795,0.9941952884287144
120,0.375,1,0.625,1,0.84800184,1.0,0.988622636068738
121,4.5625,44,0.375,34,0.55342305,6.4031242374328485,0.8236821663498455
122,4.5,44,0.25,27,0.570917,6.0,0.8313499712471181
123,0.25,2,0.1875,0,0.8630259,1.4142135623730951,0.9978097846501116
124,16.375,217,0.0625,3,0.2926706,12.0,0.291039848709791
125,4.125,44,0.625,38,0.46118397,12.041594578792296,0.7992364304399941
126,0.75,5,0.0,1,0.3645631,10.04987562112089,0.9348410210479176
127,0.4375,2,0.4375,2,0.8329497,2.0,0.995487443899422
128,0.25,2,0.0,1,0.4133032,9.0,0.9205955334987592
129,3.5,29,1.5625,54,0.5641419,5.0,0.9489408213188988
130,1.625,23,0.0,4,0.33956102,12.0,0.8667005682798883
131,5.0,57,0.5625,35,0.4002621,12.206555615733702,0.8181182841491187
132,0.625,6,0.0,0,0.40582484,8.246211251235321,0.9216125419932812
133,5.5,68,0.5,16,0.6447764,4.47213595499958,0.8168796850273264
134,2.375,20,0.8125,37,0.5216501,6.708203932499369,0.9093493702524758
135,2.5,28,0.0,10,0.40128216,10.198039027185567,0.8550313231243755
136,11.5,156,0.5625,2,0.5360297,10.0,0.6434050372120751
137,0.4375,3,0.0,0,0.7882813,2.0,0.9964273911009924
138,0.75,2,0.0,2,0.4466316,6.708203932499369,0.9602394985499112
139,2.75,44,0.0625,0,0.27048737,29.50589336431445,0.658885345757588
140,1.8125,22,0.0,7,0.3442469,13.038404810405298,0.8777886844963018
141,0.1875,1,0.0,1,0.4197402,8.0,0.9513727315030248
142,4.4375,62,0.0625,4,0.4759752,9.0,0.8773446135179384
143,1.0,11,0.0,0,0.4384639,7.810249675906654,0.9278883201002632
144,2.3125,27,0.0625,6,0.36603186,12.0,0.8876413070335785
145,4.625,62,0.75,2,0.45476475,9.0,0.8210837645596006
146,5.6875,63,0.1875,29,0.5745218,6.0,0.8946178446659623
147,13.4375,194,0.0625,4,0.36704546,10.198039027185567,0.4367226079038881
148,0.375,2,0.0,1,0.5142984,5.385164807134504,0.959311949093587
149,1.5,19,0.0,2,0.3230697,11.704699910719626,0.8880606605834725
150,2.5625,38,0.1875,1,0.40178338,10.0,0.8432721329753328
151,3.6875,48,0.125,9,0.55017143,7.0,0.8880680925321062
152,0.75,7,0.0625,5,0.50591135,6.082762530298219,0.9412283493730654
153,4.125,57,0.625,7,0.5665113,7.280109889280518,0.8827697760968372
154,2.6875,19,0.5625,31,0.5586556,6.324555320336759,0.8943293963495079
155,13.875,183,0.3125,0,0.31955484,13.0,0.3293620820385445
156,1.25,16,0.0,8,0.38899654,11.0,0.8616068888252486
157,1.1875,17,0.0,2,0.3571878,12.36931687685298,0.877971513594502
158,0.3125,2,0.0,0,0.38498375,9.0,0.9232811255641094
159,1.0,10,0.0,3,0.31310773,12.041594578792296,0.8667459845330161
160,4.0625,53,0.875,38,0.32641026,19.4164878389476,0.7251112637772932
161,7.3125,84,0.125,16,0.616043,6.708203932499369,0.781549033319741
162,3.8125,40,0.8125,38,0.5482378,5.830951894845301,0.909640982769366
163,3.3125,33,0.125,18,0.5472426,7.071067811865476,0.8624210568994134
164,0.1875,1,0.0,0,0.72878414,2.8284271247461903,0.9945525020786172
165,0.3125,3,0.125,1,0.74337715,2.23606797749979,0.9947445988979712
166,0.5625,3,0.0,3,0.5806438,5.0,0.977108299401488
167,4.25,36,0.875,46,0.61039114,5.0,0.935520314744213
168,1.5625,18,0.0625,5,0.37146047,11.40175425099138,0.894840473339755
169,4.4375,55,0.375,0,0.4809383,8.602325267042627,0.7296285566079337
170,4.75,46,0.0,25,0.51764894,8.0,0.8647372188649719
171,26.375,382,0.25,9,0.29183504,6.0,0.3127074089133889
172,21.5625,305,0.5,5,0.3801403,6.0,0.4522652489535598
173,11.125,159,1.25,10,0.5196116,6.708203932499369,0.6599169222957051
