ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.3125,3,0.125,0,0.7740143,4.0,0.9833575660758928
072,0.1875,0,0.0625,1,0.66156125,6.0,0.989709247307114
073,0.375,1,0.4375,6,0.8941688,1.4142135623730951,0.9921574144620044
074,0.1875,1,0.25,1,0.7720915,3.0,0.9978696527547162
075,0.1875,2,0.0,1,0.72407085,4.0,0.9935344126605844
076,0.125,1,0.3125,2,0.8937619,1.0,0.9947852871334985
077,0.125,0,0.0,0,0.80458814,2.8284271247461903,0.9984813484692332
078,0.0,0,0.0,0,0.81003594,2.0,0.9434649488057356
079,0.125,0,0.0,0,0.6641776,6.0,0.9948615428277274
080,0.1875,1,0.1875,2,0.88521725,2.0,0.9937599588039784
081,0.3125,2,0.0,0,0.7792489,4.0,0.9861093616226966
082,0.75,6,0.5,2,0.8179327,2.0,0.9753088541797552
083,0.0625,0,0.0,1,0.6849775,5.0,0.9941639752960508
084,0.25,0,0.0,0,0.693976,4.0,0.998548199767712
085,0.125,0,0.0,0,0.73750824,3.0,0.997542810633202
086,0.6875,5,0.0,0,0.7418422,3.1622776601683795,0.9941645734482676
087,0.25,2,0.3125,0,0.78254586,3.605551275463989,0.976163489969284
088,0.1875,0,0.0,1,0.69207114,4.242640687119285,0.9949683196746067
089,0.25,2,0.0625,0,0.81530625,3.0,0.9932642695202332
090,0.3125,0,0.0625,2,0.7517001,4.0,0.981272487266344
091,0.3125,1,0.0,0,0.70821035,5.0,0.9844473179935542
092,0.625,0,0.25,0,0.67022467,5.0,0.9892199679363148
093,0.375,5,0.4375,8,0.7434975,3.1622776601683795,0.9878069179444487
094,0.3125,0,0.0,0,0.73519087,4.0,0.9981348555926072
095,0.125,1,0.1875,2,0.9191535,1.0,0.9974268614678352
096,0.375,1,0.0625,0,0.88553905,2.0,0.996684426717298
097,0.25,2,0.0625,0,0.72984254,4.242640687119285,0.9900400665372816
098,0.625,0,0.0,0,0.6465001,6.0,0.9917573296405304
099,0.5625,4,0.0625,1,0.85077953,2.0,0.9890651159514762
100,0.5,0,0.125,0,0.7155253,4.0,0.9961481159826312
101,0.1875,1,0.125,1,0.8950345,1.0,0.9954015627734132
102,0.25,1,0.0625,0,0.7523514,4.0,0.9878436349453774
103,0.375,4,0.0625,0,0.7900071,3.605551275463989,0.9770839437205424
104,0.5,2,0.0,1,0.7411211,4.0,0.9797086347840208
105,0.125,1,0.125,0,0.72110605,3.1622776601683795,0.99965262700825
106,0.3125,0,0.0625,1,0.8046113,2.23606797749979,0.9972150270887756
107,0.3125,1,0.125,0,0.761808,2.0,0.9864980892709876
108,0.1875,0,0.125,0,0.88842666,2.0,0.99381358273245
109,0.375,1,0.0,1,0.75722516,4.123105625617661,0.9919678306902604
110,0.375,5,0.3125,3,0.8901406,2.0,0.9915263385350376
111,0.0,0,0.125,0,0.9033822,1.4142135623730951,0.9956525596664004
112,0.0625,1,0.1875,1,0.8703376,2.0,0.992161434409979
113,0.25,2,0.0,0,0.87573814,2.0,0.9913791956262896
114,0.4375,2,0.0625,1,0.73746085,4.123105625617661,0.9750624619821736
115,0.3125,2,0.1875,1,0.77535576,3.0,0.994978123903768
116,0.25,0,0.0625,0,0.77646214,3.0,0.9982233582211476
117,0.125,1,0.1875,0,0.9272313,1.0,0.9986134832991664
118,0.25,0,0.0,0,0.7600132,3.0,0.9981038115814
119,0.25,0,0.3125,1,0.79583836,3.0,0.9974346912264576
120,0.3125,2,0.3125,2,0.8939922,1.0,0.9964656148087292
121,1.8125,19,0.4375,2,0.80048263,5.0,0.9522995739131832
122,0.8125,6,0.125,5,0.7391898,4.0,0.8874453065221006
123,0.0625,0,0.125,3,0.92625374,1.0,0.9976597957335184
124,18.75,244,2.125,47,0.32077512,19.0,0.3489273369453512
125,1.25,5,0.75,26,0.745023,6.4031242374328485,0.8981351983020235
126,0.5,0,0.0,0,0.6030159,8.0,0.98614663256607
127,0.1875,0,0.3125,4,0.92165226,1.0,0.9953789782743688
128,0.125,0,0.0,0,0.66333026,6.708203932499369,0.9903288201160542
129,0.4375,1,0.4375,10,0.79229885,3.1622776601683795,0.9906282531127174
130,0.8125,11,0.1875,3,0.68796194,8.54400374531753,0.9803437704973929
131,1.5625,8,0.5625,20,0.6754143,8.06225774829855,0.9267596723908018
132,0.1875,0,0.0,0,0.6703652,6.324555320336759,0.9946792882307828
133,3.9375,46,1.0,5,0.7204663,4.123105625617661,0.8364160215027051
134,1.375,11,0.5625,18,0.761151,5.0,0.9592810777188436
135,0.9375,12,0.1875,2,0.69388205,8.0,0.9436598506137094
136,10.5625,138,1.3125,28,0.5906523,14.0,0.6295525588760457
137,0.25,0,0.0,1,0.92784727,1.0,0.9970520725922136
138,0.4375,0,0.0,1,0.6987359,5.0990195135927845,0.9915245283847136
139,3.4375,54,0.5625,11,0.6575806,14.7648230602334,0.8521729826997471
140,0.4375,4,0.0,0,0.6374188,10.0,0.9898670876770744
141,0.3125,1,0.0,0,0.68781763,6.0,0.9920948925740036
142,5.125,75,0.6875,11,0.77446777,11.0,0.8989331390826969
143,0.3125,1,0.0,0,0.7097965,5.656854249492381,0.9933695150042172
144,1.375,22,0.125,2,0.684293,9.0,0.95908439220995
145,2.0625,27,1.5,26,0.80857986,6.708203932499369,0.960653035737193
146,1.6875,10,0.1875,10,0.7571526,4.242640687119285,0.9478266275848116
147,18.375,249,1.75,34,0.44831365,23.53720459187964,0.4422826344979764
148,0.1875,0,0.0,0,0.795048,4.0,0.9901355418056332
149,0.25,0,0.0625,2,0.6183774,8.48528137423857,0.9902101322588612
150,1.5625,21,0.0,1,0.73102325,8.06225774829855,0.9285731613595356
151,2.8125,36,0.875,12,0.7695929,6.0,0.9093740996620664
152,0.1875,0,0.0625,1,0.7613925,4.242640687119285,0.9954715112841458
153,4.0625,53,0.5,9,0.76530963,7.0,0.8654030642363051
154,1.4375,9,0.5625,12,0.7963177,4.123105625617661,0.9477570450402504
155,16.1875,216,2.125,38,0.33551744,16.0,0.3847533972395561
156,0.1875,0,0.0,2,0.69092315,7.0,0.9787494115816976
157,2.1875,34,0.4375,9,0.7394461,9.219544457292889,0.9554668624460556
158,0.4375,4,0.125,2,0.65392303,6.708203932499369,0.9905146407507128
159,0.25,0,0.0,0,0.59238327,9.055385138137416,0.9868368568009572
160,2.375,24,1.1875,28,0.60013473,14.317821063276352,0.8536251932639712
161,4.3125,47,2.0,26,0.66290826,6.324555320336759,0.7600543906469257
162,1.5,12,0.5625,20,0.7812059,4.0,0.9634053688121226
