ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,4.625,66,0.8125,12,0.768559,5.830951894845301,0.927113548208697
072,5.9375,84,0.8125,11,0.8599882,5.0,0.944195478299978
073,0.4375,0,1.3125,15,0.77664137,3.0,0.9845642845446432
074,0.375,1,0.3125,4,0.89019793,2.0,0.992963194930553
075,5.375,80,0.4375,8,0.87809545,3.0,0.9645219980350582
076,0.3125,0,0.8125,1,0.75547725,2.8284271247461903,0.9917541872389845
077,0.3125,4,0.125,2,0.89094174,2.23606797749979,0.9865177363759328
078,1.875,21,4.625,74,0.5684933,8.94427190999916,0.8102810028605082
079,3.1875,46,0.0,0,0.71272504,5.0,0.9716408865176128
080,2.4375,38,1.8125,27,0.6821724,5.0,0.9282971081314292
081,5.25,69,0.875,14,0.7790222,5.385164807134504,0.9333042749120264
082,0.5,5,2.0,14,0.62579376,4.0,0.9642022426385346
083,0.9375,13,0.1875,3,0.8855786,3.0,0.9793328204272505
084,0.3125,0,0.0,0,0.9105505,2.0,0.9951649217477744
085,1.0,10,0.125,2,0.8770351,3.0,0.9882881124341206
086,1.8125,21,0.1875,3,0.8815637,2.23606797749979,0.9750783465154456
087,4.875,60,1.4375,25,0.75853,6.0,0.9149781134523876
088,2.3125,35,0.0,1,0.78081495,4.0,0.9711790460093972
089,2.3125,38,0.375,5,0.83642554,4.0,0.9468354430379746
090,5.375,71,0.5625,7,0.7941852,5.0,0.935520065360494
091,7.6875,107,0.75,13,0.86134887,4.123105625617661,0.9399170346581024
092,0.6875,5,0.375,8,0.8709829,3.0,0.989094415866802
093,0.4375,5,0.5625,13,0.91021156,2.0,0.9811212089983684
094,0.8125,12,0.0625,1,0.8852836,2.0,0.9889439573008004
095,0.25,0,0.4375,6,0.7770585,2.23606797749979,0.995475190807568
096,2.4375,34,1.0,11,0.70305854,4.0,0.964426580519139
097,5.9375,83,0.75,11,0.86386234,4.868033988749895,0.9493848731399886
098,7.0625,102,0.5,10,0.86221874,5.0,0.9482836263991332
099,0.5625,4,0.125,1,0.760297,3.0,0.9790894757436244
100,1.4375,10,0.125,2,0.9062352,2.0,0.990011230017658
101,0.0625,0,0.5625,2,0.7136416,3.0,0.992167329974728
102,4.4375,58,1.0625,16,0.8130637,5.0,0.9368102313106332
103,6.5,85,3.375,58,0.60226107,17.0,0.7946587902282937
104,5.5625,79,0.5625,9,0.82986355,5.385164807134504,0.9331941906955064
105,0.1875,0,0.0625,0,0.9234969,2.0,0.9959493454995096
106,0.5625,2,0.0625,0,0.89692575,2.0,0.9917612821248516
107,0.125,0,0.4375,0,0.5441025,4.0,0.9741826446762633
108,3.625,46,1.0625,16,0.685514,5.0,0.9425278025813784
109,4.0,58,0.4375,7,0.8398368,4.242640687119285,0.948198543480344
110,1.75,23,1.3125,17,0.7181526,4.0,0.9621312728882452
111,0.3125,0,0.3125,1,0.7024005,3.1622776601683795,0.9877158625600854
112,0.625,8,0.5,3,0.6485955,4.0,0.9725315515961396
113,2.6875,37,3.0,49,0.62752396,6.0,0.9049563158324488
114,6.375,99,1.6875,29,0.7988853,6.0,0.9136312383145018
115,0.25,3,0.4375,6,0.90349895,2.0,0.9878841946466688
116,0.625,7,0.125,1,0.90648866,2.0,0.9876658133581568
117,0.125,0,0.375,0,0.76358837,2.8284271247461903,0.9973900074571216
118,0.25,2,0.0,0,0.90279084,2.0,0.9924136554202436
119,0.5,2,0.25,0,0.8850176,2.0,0.995492594977463
120,0.6875,1,0.5625,2,0.7180609,3.0,0.995547640249332
121,5.1875,72,6.9375,118,0.6953334,13.341664064126334,0.7464685334895255
122,1.0625,13,0.5625,7,0.7194417,6.0,0.8894307041868315
123,0.125,1,0.5625,3,0.7649357,2.8284271247461903,0.9957081993687338
124,4.875,49,9.4375,167,0.11982991,18.0,0.136356106775312
125,1.625,16,0.5,12,0.8334796,3.1622776601683795,0.9237346685431528
126,6.0625,89,0.4375,9,0.67010766,7.071067811865476,0.97010290345226
