ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,4.25,30,0.125,34,0.6323409,4.242640687119285,0.948378378068194
072,3.9375,30,0.0625,32,0.45838526,7.0,0.9359776846785226
073,1.0,4,1.625,25,0.79590714,2.0,0.987074546884214
074,0.5625,6,0.9375,13,0.6434427,3.1622776601683795,0.9925574737878404
075,0.9375,2,0.0,10,0.5809475,4.0,0.9921224397929328
076,0.5625,2,2.6875,46,0.8409699,1.0,0.9906034130046384
077,0.25,1,0.3125,4,0.6647626,3.0,0.9953912926752876
078,2.125,19,0.0625,16,0.7545126,2.0,0.963377605785964
079,0.75,4,0.0,4,0.45063654,7.0,0.977739460124177
080,0.3125,3,0.3125,4,0.7950769,2.0,0.992769144796032
081,2.9375,19,0.0,29,0.6213542,4.47213595499958,0.9553463540687748
082,2.5625,24,4.5625,92,0.8457973,1.4142135623730951,0.9681026855070586
083,0.8125,5,0.3125,13,0.51877916,6.0,0.9840737651361708
084,0.375,2,0.1875,4,0.57345945,4.123105625617661,0.9917661388550548
085,0.125,1,0.0,1,0.61064327,4.0,0.9971761992653853
086,1.375,15,0.375,7,0.59111774,4.0,0.9863622856978164
087,2.6875,21,0.75,28,0.64068466,4.47213595499958,0.9468326562081892
088,0.3125,2,0.0,2,0.50995487,5.0,0.9886574137516868
089,0.5625,5,0.1875,7,0.60941505,4.242640687119285,0.9513309917604136
090,3.0,16,0.0,34,0.62939996,4.242640687119285,0.9508499517712492
091,3.375,27,0.0,30,0.523872,6.0,0.8938862227493553
092,0.8125,3,0.5625,6,0.510437,6.0,0.9792317999106744
093,0.5,8,0.375,1,0.6051814,4.0,0.980972491056096
094,0.4375,1,0.0,1,0.57420844,4.123105625617661,0.9953556584600428
095,1.125,12,1.3125,20,0.81864375,1.4142135623730951,0.9905250299722272
096,0.4375,2,0.1875,1,0.815071,2.0,0.9970389641789428
097,4.0625,27,0.0625,35,0.55488247,5.0,0.9444284724610004
098,2.6875,23,0.0,22,0.4679898,6.708203932499369,0.9474211587561604
099,0.5625,5,0.25,7,0.7711944,2.0,0.9872793342073464
