ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,1.4375,6,0.125,15,0.59222746,5.0,0.944753871209371
072,1.1875,4,0.0625,15,0.4183892,7.615773105863909,0.9415898399244726
073,0.625,3,0.625,7,0.81377953,2.0,0.9912673630790416
074,0.5,4,0.625,8,0.58924514,4.0,0.983086404349128
075,0.5,1,0.0,3,0.4874346,5.0,0.966655128648898
076,0.1875,1,0.4375,7,0.85823894,1.0,0.9964914519772852
077,0.25,3,0.25,5,0.5900428,3.1622776601683795,0.976391475489396
078,1.1875,14,0.375,11,0.68857074,2.8284271247461903,0.9131161027832464
079,0.625,4,0.0,1,0.41220233,7.0,0.9688428359326088
080,0.25,1,0.375,5,0.7183435,2.23606797749979,0.976037478124676
081,1.5625,7,0.0,18,0.5680042,5.0,0.9482475518993962
082,1.4375,18,1.875,36,0.86548775,1.0,0.9736675899181324
083,1.0,8,0.1875,12,0.45388603,6.708203932499369,0.96742671009772
084,0.4375,2,0.125,4,0.50038767,5.0,0.9799881703470033
085,0.125,0,0.0,0,0.52876437,4.0,0.9806779833171626
086,0.375,1,0.0,1,0.5231349,4.242640687119285,0.9706248614366652
087,1.625,10,0.375,15,0.5996709,5.0,0.9384368326103176
088,0.0625,1,0.0,0,0.45939386,6.0,0.9759359111939904
089,0.1875,0,0.1875,2,0.56496745,5.0,0.926191946976252
090,2.1875,15,0.0,20,0.5665362,5.0,0.9349721442420114
091,1.125,5,0.0,14,0.47770897,6.082762530298219,0.8967547926325021
092,0.9375,9,0.625,8,0.44817844,6.082762530298219,0.9637270460213104
093,0.75,9,0.375,1,0.5454299,4.0,0.9720106491725846
094,0.5,0,0.0,0,0.4827711,5.0,0.977100737857107
095,1.3125,16,0.8125,15,0.8213604,1.0,0.9902045314859228
096,0.5625,4,0.375,5,0.7460883,2.0,0.9825657017071388
097,1.125,2,0.0625,14,0.51153487,6.0,0.9438879510682298
098,1.125,9,0.0,7,0.41876635,7.071067811865476,0.9423841909405878
099,0.375,3,0.1875,5,0.7025313,2.0,0.9701715315137162
100,0.5625,2,0.25,5,0.5240459,5.0,0.9804054709477156
101,0.6875,8,0.375,6,0.84269875,1.0,0.9941947240186664
102,1.125,4,0.0625,15,0.5534754,5.0,0.9418223870503004
103,2.875,34,0.4375,21,0.51519483,6.631934008732739,0.8672531542327248
104,1.1875,4,0.0,15,0.5332089,5.0990195135927845,0.9304104213697298
105,0.375,5,0.5625,3,0.5456885,4.0,0.9864050332174754
106,0.625,3,0.1875,4,0.5796498,3.0,0.979487962498386
107,0.25,0,0.0625,2,0.8841641,1.0,0.9921134589310208
108,0.125,0,0.1875,0,0.72537917,2.0,0.9769620342964404
