ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.6875,3,0.125,6,0.64031136,4.47213595499958,0.9668315859976832
072,0.875,3,0.0625,5,0.46705565,7.0,0.961731044180036
073,0.625,3,0.8125,4,0.81759685,2.0,0.9926571339596808
074,0.3125,3,0.375,1,0.6271684,3.605551275463989,0.9951253724948266
075,0.3125,2,0.0,0,0.5681876,4.0,0.9843555250504702
076,0.125,1,0.75,9,0.86862457,1.0,0.996385910855985
077,0.1875,1,0.0625,0,0.65345204,3.0,0.9966483442820754
078,0.375,2,0.0,2,0.7816574,2.0,0.9705034938230476
079,0.4375,2,0.0,2,0.42383572,7.0,0.9716526610644256
080,0.5,3,0.3125,6,0.7766388,2.0,0.988462378047155
081,0.9375,6,0.0,10,0.6194198,5.0,0.9601622292975708
082,0.5,7,0.8125,16,0.86259085,1.0,0.9825231072507576
083,0.4375,1,0.1875,9,0.49969277,6.0,0.9819147280419048
084,0.1875,1,0.0625,1,0.5463135,4.47213595499958,0.9910287664553876
085,0.1875,1,0.0,0,0.59481376,4.0,0.9920167981003324
086,0.625,5,0.0,0,0.58071536,4.0,0.9900690425281036
087,0.875,6,0.3125,10,0.63433796,4.47213595499958,0.9462648914588352
088,0.3125,1,0.0,2,0.48678502,6.0,0.9861616897305172
089,0.1875,0,0.0625,0,0.6167473,4.123105625617661,0.9508278860740234
090,1.375,5,0.0,18,0.6202264,4.47213595499958,0.9499054202521776
091,0.5,3,0.0,6,0.5277631,6.0,0.9222271425238768
092,0.625,1,0.375,2,0.4956918,6.0,0.9816764132553606
093,0.625,9,0.3125,3,0.586103,4.0,0.9838245111467014
094,0.3125,0,0.0,1,0.5536995,4.123105625617661,0.9959216041690268
095,0.3125,3,0.4375,5,0.8349803,1.0,0.9972613123452314
096,0.4375,2,0.125,0,0.80473644,2.0,0.9960360972967102
097,1.0,2,0.0625,8,0.5624388,5.385164807134504,0.9721018369595033
098,1.0,5,0.0,3,0.46816796,6.9708203932493,0.9697627335379608
099,0.4375,2,0.0625,3,0.75472116,2.0,0.9868489875214824
100,0.375,1,0.125,1,0.56469977,4.47213595499958,0.9910796977146412
101,0.125,1,0.1875,3,0.85388005,1.0,0.996880737842262
102,0.75,6,0.125,3,0.60338026,5.0,0.962977352434819
103,1.5,16,0.25,9,0.627622,4.123105625617661,0.9520692419766073
104,0.875,5,0.0,7,0.5866607,5.0,0.9518489929755974
105,0.0625,0,0.375,0,0.5820122,4.0,0.9960343400008717
106,0.5,1,0.125,3,0.63726455,3.0,0.9950268669618808
107,0.25,1,0.0,1,0.87880474,1.0,0.9935577175444662
108,0.1875,0,0.1875,0,0.78989774,2.0,0.9920594766983524
109,1.1875,6,0.0,8,0.5977745,5.0,0.9707250541947804
110,0.625,11,0.0625,2,0.7659605,2.0,0.9824503075588488
111,0.4375,2,0.3125,1,0.8104459,1.4142135623730951,0.9957117765373322
112,0.25,2,0.125,2,0.8565948,1.0,0.9917277278387878
113,0.25,0,0.0,0,0.8195201,2.0,0.9926512819661056
114,1.9375,9,0.0625,17,0.58981705,5.0,0.9323953954815564
115,0.5625,3,0.3125,2,0.6138411,4.0,0.9903635124287896
116,0.3125,0,0.0625,0,0.6092902,3.605551275463989,0.9966756630670738
117,0.1875,0,0.25,1,0.8103342,1.4142135623730951,0.9984084367228238
118,0.3125,1,0.0625,2,0.5766528,4.0,0.9953702705591904
119,0.25,2,0.3125,2,0.6421804,3.1622776601683795,0.9961992176501028
120,0.0625,0,0.5,0,0.8764695,1.0,0.9987024997473776
121,7.75,98,0.5,34,0.544907,6.708203932499369,0.8163579627867347
122,6.4375,70,0.1875,33,0.5603977,6.082762530298219,0.8308014302975086
123,0.375,2,0.75,5,0.79156667,1.4142135623730951,0.9962193016623184
124,26.4375,372,0.1875,3,0.24669382,13.601470508735444,0.2312548201345182
125,4.1875,47,0.625,39,0.49211422,13.0,0.7729916597089961
126,1.0625,5,0.0,6,0.37247595,10.0,0.9444136247642294
127,0.4375,1,0.375,3,0.78488076,2.0,0.995753883981582
