ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,2.9375,24,0.125,22,0.64337367,4.242640687119285,0.959481586483414
072,2.1875,10,0.0625,22,0.4734339,7.0,0.95723935954691
073,0.4375,3,0.5625,0,0.86960715,1.4142135623730951,0.9938972196063456
074,0.25,1,0.5,7,0.6647997,3.1622776601683795,0.9940685532774776
075,0.4375,1,0.0,3,0.58363307,4.0,0.9899627833540092
076,0.3125,4,0.375,5,0.91433215,1.0,0.996866575608544
077,0.3125,1,0.0625,2,0.6829749,3.0,0.9957960950971478
078,0.6875,6,0.0,3,0.79982847,2.0,0.9764922602339684
079,1.0625,6,0.0,1,0.4452112,7.0,0.9789927885982136
080,0.375,1,0.3125,5,0.8055924,2.0,0.9935839499957432
081,1.9375,14,0.0625,19,0.62942696,4.47213595499958,0.9628066403717752
082,1.3125,16,1.1875,22,0.86982226,1.0,0.9854973574263726
083,0.875,5,0.1875,12,0.53914905,6.0,0.9845086317479704
084,0.4375,3,0.1875,4,0.57866645,4.123105625617661,0.9923552612358184
085,0.0625,1,0.0,0,0.6222782,4.0,0.9954586227161316
086,1.1875,13,0.1875,3,0.60828817,4.0,0.9902670364236272
087,1.9375,14,0.4375,20,0.66103715,4.47213595499958,0.9555813030778252
088,0.5,5,0.0,1,0.5081302,5.385164807134504,0.985792349726776
089,0.25,0,0.125,5,0.6277033,4.123105625617661,0.9629803303850684
090,2.625,13,0.0,30,0.62431204,4.47213595499958,0.9544403136472568
091,1.875,12,0.0,20,0.5411613,6.0,0.9377488237423092
092,1.1875,6,0.625,6,0.5225818,6.0,0.9789467805885966
093,0.6875,8,0.375,2,0.62678987,4.0,0.9847504037373924
094,0.4375,0,0.0,3,0.5846817,4.0,0.9970010750862898
095,0.125,1,0.375,4,0.88617873,1.0,0.9981914119725088
096,0.5625,2,0.125,0,0.8358209,2.0,0.9974620693564576
097,2.5,13,0.0625,24,0.5720923,5.0990195135927845,0.9628904789889716
098,1.3125,9,0.0,12,0.47614297,6.708203932499369,0.9597374731793512
099,0.375,2,0.25,7,0.7809246,2.0,0.9882313055555124
100,0.625,4,0.125,3,0.6047245,4.123105625617661,0.9920437408890213
101,0.1875,2,0.1875,3,0.88218033,1.0,0.9979086439860838
102,1.9375,12,0.0625,21,0.62228805,5.0,0.9684301020220916
103,3.625,40,0.625,15,0.59989506,4.47213595499958,0.9333345463253157
104,2.375,15,0.0,27,0.59588355,5.0,0.9503989846304643
105,0.375,3,0.375,2,0.61877745,4.0,0.9964279491200556
106,1.0,9,0.25,7,0.6710328,3.0,0.9919493054964014
107,0.125,0,0.0625,1,0.8716124,1.0,0.995178628808614
108,0.125,0,0.1875,0,0.8146421,2.0,0.9965677260367424
109,2.0,6,0.0,17,0.61281115,5.0,0.97048738382923
110,0.6875,10,0.125,5,0.79000443,2.0,0.9801205142064466
111,0.125,0,0.25,0,0.8427028,1.0,0.9975325023421792
112,0.4375,2,0.1875,2,0.88184524,1.0,0.9927158940731318
113,0.5625,4,0.0,0,0.8440546,2.0,0.994873174933669
114,3.25,23,0.0,24,0.60693765,5.0,0.9432199938332706
115,0.4375,4,0.3125,3,0.65810007,3.1622776601683795,0.991352699100576
116,0.3125,0,0.0625,0,0.6421316,3.1622776601683795,0.9974962578216288
117,0.1875,0,0.1875,1,0.8573995,1.0,0.998912503698501
118,0.375,3,0.0625,2,0.5939839,4.0,0.995058925034716
119,0.1875,2,0.3125,2,0.68167055,3.0,0.994462510075387
120,0.0,0,0.375,0,0.9055063,1.0,0.9990681245492132
121,7.5,89,0.625,35,0.5476408,6.708203932499369,0.8216746621032901
122,8.125,96,0.25,36,0.55401176,5.830951894845301,0.8182284876789377
123,0.1875,1,0.4375,3,0.86487305,1.0,0.9978800668633064
124,19.125,258,0.375,0,0.33396304,10.770329614269007,0.3397697081443624
125,5.4375,68,0.625,39,0.47498915,11.180339887498947,0.7952998054811039
126,2.5,25,0.0,9,0.367779,9.899494936611664,0.9250932098068017
127,0.375,1,0.375,3,0.84456575,1.4142135623730951,0.9972747134660528
128,1.875,27,0.0,6,0.39694658,9.055385138137416,0.8980367321089298
129,4.1875,37,1.5,55,0.56764567,5.0,0.9518043781794704
130,2.0,29,0.1875,1,0.4197748,11.180339887498947,0.8927679585666207
131,5.875,69,0.5625,35,0.4152757,12.206555615733702,0.8154223210144048
132,2.0625,21,0.0,7,0.4031436,8.06225774829855,0.9038133181559476
133,11.9375,158,0.875,29,0.61705613,5.0,0.7947093304115714
134,4.75,56,1.0625,49,0.53374964,6.324555320336759,0.9095413504011284
135,4.125,47,0.25,9,0.41757482,10.0,0.8548020634527564
136,15.5625,217,0.375,4,0.5158634,10.0,0.6183543906931511
137,0.75,8,0.0625,0,0.784164,2.0,0.9940256491750528
138,0.875,6,0.0,2,0.4597012,7.0,0.9665240840617444
139,6.375,101,0.125,1,0.2354953,36.08322912940137,0.5545907871419057
140,2.0,27,0.0,7,0.3714777,12.529964086141668,0.8874338255781555
141,0.8125,8,0.0,3,0.44434485,7.280109889280518,0.9590021942487584
142,7.0625,103,0.1875,4,0.5017986,8.0,0.8944204345841995
143,2.5,32,0.0,5,0.44539687,7.810249675906654,0.9027777900060636
144,2.4375,33,0.1875,4,0.43362585,10.198039027185567,0.9102598391903494
145,6.0625,86,0.25,7,0.44223917,9.486832980505138,0.7927630942465366
146,7.875,93,0.125,41,0.59488857,5.830951894845301,0.8960598790676197
147,15.25,203,1.1875,13,0.46961117,10.0,0.5514253958675306
148,0.9375,10,0.0,4,0.51844233,6.0,0.9600979892822904
149,2.6875,42,0.0625,1,0.33269662,11.180339887498947,0.8914798206278026
150,3.25,49,0.0,4,0.4522386,8.602325267042627,0.865692916097529
151,6.0,80,0.5,7,0.5662544,7.071067811865476,0.9001729411830979
152,1.3125,14,0.125,8,0.50295925,6.324555320336759,0.9402854181615244
153,6.5,90,0.6875,2,0.5808654,7.0,0.8959576891410003
154,4.5,45,0.6875,32,0.5594932,6.4031242374328485,0.8761130384513574
155,14.4375,192,0.75,8,0.3619995,11.0,0.3787467379616467
156,2.0,28,0.0625,8,0.40701285,9.899494936611664,0.8725175779198729
157,2.9375,45,0.25,3,0.43214047,10.770329614269007,0.9095244732760516
