ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.3125,0,0.0625,2,0.8038255,3.0,0.9890720221366462
072,0.1875,0,0.0625,2,0.6318008,6.0,0.9870329710797304
073,0.3125,0,0.4375,0,0.92151004,1.0,0.9940808868093054
074,0.125,1,0.3125,2,0.7662519,3.0,0.9963259988765928
075,0.25,0,0.0,2,0.6966185,4.0,0.9959085074961452
076,0.0,0,0.25,3,0.9473702,1.0,0.9971253308140596
077,0.125,1,0.0625,0,0.7708669,2.8284271247461903,0.9976293519263142
078,0.0625,0,0.0,1,0.8261026,2.0,0.9614386987460236
079,0.1875,1,0.0,0,0.57977366,6.0,0.9938617968152236
080,0.125,0,0.3125,4,0.8816353,2.0,0.9940337753703674
081,0.3125,0,0.0,1,0.80182904,3.0,0.9922992355744974
082,0.5,2,0.3125,8,0.84685194,1.4142135623730951,0.984804401958647
083,0.25,2,0.0,2,0.63187516,5.0990195135927845,0.9941639752960508
084,0.25,1,0.0,1,0.69400173,4.0,0.9969463428820708
085,0.125,0,0.0,0,0.72333235,3.0,0.997881398595287
086,0.5,2,0.0,0,0.7082083,3.1622776601683795,0.9960352916989256
087,0.375,3,0.25,3,0.791231,3.1622776601683795,0.9818803267795856
088,0.125,0,0.0,0,0.6201629,5.0,0.9924103331970976
089,0.125,0,0.0625,0,0.74167496,4.0,0.988240702759572
090,0.5625,0,0.0625,6,0.78403306,3.1622776601683795,0.9862986031902762
091,0.1875,0,0.0,0,0.6918167,5.0,0.9791304347826086
092,0.4375,1,0.3125,0,0.632042,5.0,0.9973678438254004
093,0.3125,3,0.375,5,0.72881365,3.0,0.9899809016473264
094,0.25,0,0.0,0,0.68843853,4.0,0.9989835102778404
095,0.125,0,0.25,4,0.9403178,1.0,0.9971596564618508
096,0.3125,0,0.0,0,0.89748,1.0,0.9980370251284632
097,0.25,0,0.0625,0,0.74007064,4.0,0.9925049111178303
098,0.625,0,0.0,1,0.62696624,5.830951894845301,0.9933435114503816
099,0.3125,1,0.125,3,0.8585921,2.0,0.9918550916554372
100,0.375,1,0.0625,1,0.6987209,4.0,0.9964187959318688
101,0.125,0,0.125,1,0.92956,1.0,0.9946828879830442
102,0.4375,2,0.125,4,0.7630858,4.0,0.9911576723106496
103,0.5625,5,0.1875,0,0.7870954,3.0,0.9840538145669372
104,0.625,0,0.0,2,0.75466037,4.0,0.98376568682967
105,0.125,0,0.25,0,0.7269483,3.0,0.9988266481248098
106,0.4375,1,0.125,3,0.76530236,2.23606797749979,0.9971612088647052
107,0.3125,1,0.0625,1,0.8090328,1.4142135623730951,0.9875920785243696
108,0.0625,0,0.0625,0,0.8907269,1.0,0.9961215089400292
109,0.375,2,0.0,1,0.77588373,3.605551275463989,0.992550331222231
110,0.0,0,0.0625,0,0.8792444,1.4142135623730951,0.995643390695761
111,0.0625,0,0.125,0,0.9110401,1.0,0.995643910404315
112,0.25,1,0.1875,0,0.8956149,1.0,0.992895572082982
113,0.125,1,0.0,0,0.8955725,1.0,0.9936403081131232
114,0.625,0,0.0625,5,0.75282663,4.0,0.9756852679348595
115,0.1875,1,0.125,1,0.75568146,3.0,0.9954255098523188
116,0.25,0,0.0625,0,0.732887,3.0,0.9979265638079428
117,0.25,0,0.0625,0,0.93531686,1.0,0.9977885338629792
118,0.375,0,0.0625,1,0.7112207,3.0,0.9976828479324168
119,0.25,1,0.25,1,0.7746734,3.0,0.9979296126257412
120,0.0,0,0.1875,1,0.93503773,1.0,0.9980611006374468
121,2.9375,26,0.5,20,0.7487021,5.0,0.942406238436075
122,1.1875,11,0.125,7,0.75923836,4.0,0.9064015895894164
123,0.1875,1,0.375,4,0.9251426,1.0,0.9983741328795332
124,8.875,101,1.5625,26,0.38159347,12.0,0.4095337949428735
125,2.4375,22,0.625,33,0.656203,7.810249675906654,0.8666109637758617
126,0.5625,2,0.0625,1,0.55329627,8.06225774829855,0.984740155799808
127,0.5,2,0.25,2,0.9063224,1.0,0.9974852476435192
128,0.0625,2,0.25,4,0.5738333,7.615773105863909,0.9707187222715172
129,0.8125,4,0.9375,21,0.70288235,4.123105625617661,0.9806969183116984
130,0.5,4,0.375,5,0.6892866,7.615773105863909,0.9763183548089572
131,4.0625,46,0.5625,33,0.6031033,12.083045973594572,0.8254519971969165
132,0.25,3,0.0625,1,0.59357804,6.708203932499369,0.9799809342230696
133,2.3125,22,0.5,4,0.7697941,3.1622776601683795,0.8920735492566361
134,1.875,19,1.0,31,0.6771503,5.0990195135927845,0.9487635735012596
135,1.0625,8,0.125,2,0.62956417,8.06225774829855,0.9171461979386782
136,7.1875,93,0.25,0,0.712769,10.198039027185567,0.764667154355478
137,0.1875,0,0.0,0,0.85174394,1.4142135623730951,0.9981198688259052
138,0.3125,0,0.0,1,0.5988366,5.385164807134504,0.9861391378092796
139,1.5,24,0.625,11,0.67552793,10.295630140987,0.8821511308928293
140,0.4375,4,0.125,1,0.602963,9.219544457292889,0.9691970169583252
141,0.3125,1,0.0,0,0.59803617,6.0,0.9871029986746864
142,6.5625,98,0.0625,0,0.7613593,12.0,0.9254293170332506
143,0.1875,1,0.3125,5,0.6205814,5.830951894845301,0.98278271961418
144,0.75,5,0.375,4,0.6927292,7.280109889280518,0.9730056753313618
