ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.5625,7,0.375,3,0.75532204,6.082762530298219,0.94498730418528
072,0.4375,4,0.25,2,0.9000463,6.4031242374328485,0.9724241664577588
073,0.3125,1,0.8125,14,0.9246633,1.4142135623730951,0.9776564630168426
074,0.1875,1,0.0625,1,0.96952266,1.0,0.9968190571848357
075,0.4375,5,0.25,4,0.89365155,3.0,0.9865900308897282
076,0.0625,0,0.625,8,0.9180992,1.0,0.9874662448930592
077,0.0,0,0.125,2,0.91909444,2.0,0.98536720619598
078,0.4375,5,0.3125,3,0.7064284,4.123105625617661,0.8712705471838651
079,0.75,6,0.625,10,0.90971345,3.605551275463989,0.980134710871731
080,1.0,14,0.4375,1,0.8589173,2.0,0.9720555390010088
081,0.3125,0,0.375,5,0.77747047,6.0,0.9399139780302512
082,1.1875,12,1.125,5,0.7907547,2.23606797749979,0.961072105473259
083,0.125,1,0.0,0,0.9546639,1.4142135623730951,0.9950288039511682
084,0.125,0,0.125,2,0.9649739,1.0,0.9994195037624268
085,0.1875,1,0.0,0,0.87788665,3.0,0.9944592398362267
086,0.4375,3,0.375,6,0.8616471,4.0,0.9762537235540169
087,1.0625,8,0.75,10,0.7957469,5.0,0.9461921481327548
088,0.6875,7,0.125,3,0.85530967,4.0,0.975775370414617
089,0.3125,1,0.25,2,0.7809197,5.0,0.982151339926803
090,0.5625,2,0.125,1,0.77314264,6.0,0.9535851505044518
091,0.8125,5,0.6875,9,0.8293335,7.280109889280518,0.949769669961084
092,0.1875,2,0.0625,1,0.9437812,2.0,0.994903347676456
093,0.4375,4,0.625,11,0.9503346,1.0,0.9849714013485924
094,0.0625,0,0.0,0,0.9041511,2.8284271247461903,0.9948497768524086
095,0.1875,3,0.1875,2,0.94203377,1.0,0.9954720261116808
096,0.375,5,0.3125,3,0.89739126,1.0,0.9911858147157466
097,0.25,1,0.375,3,0.8262278,6.0,0.960764359088534
098,0.625,5,0.5,8,0.9053675,6.0,0.9651675490964694
099,0.1875,2,0.0625,2,0.793271,3.0,0.9889962378408982
100,0.3125,4,0.0,0,0.9554066,1.0,0.9954150017873336
101,0.25,2,0.25,1,0.9076221,1.0,0.994038863493568
102,0.625,5,0.375,4,0.81883574,5.830951894845301,0.9450080709004196
