ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.4375,5,0.375,3,0.74750394,7.0,0.9359066989260963
072,0.625,5,0.125,3,0.8925352,7.031980515339257,0.963879145898714
073,0.3125,1,1.125,17,0.9037896,2.0,0.9724097110030524
074,0.125,0,0.0625,2,0.9733566,1.0,0.9974632544952624
075,0.25,5,0.5,9,0.8941339,3.0,0.9765818280722864
076,0.125,1,0.9375,12,0.8976685,1.4142135623730951,0.983936430792652
077,0.0625,0,0.1875,2,0.9056821,3.0,0.9739202428591142
078,0.4375,4,0.6875,10,0.6937787,5.0,0.8520027518787439
079,1.6875,22,0.875,15,0.899994,4.242640687119285,0.959273568165491
080,0.8125,12,0.9375,12,0.8263068,2.0,0.9593479568015874
081,0.5,1,0.3125,5,0.7700314,6.4031242374328485,0.935418933079586
082,0.6875,4,1.4375,14,0.7544546,2.8284271247461903,0.9555953143020318
083,0.375,6,0.3125,5,0.9538989,1.4142135623730951,0.991796133170774
084,0.3125,1,0.0625,1,0.96298295,1.0,0.999034189685146
085,0.125,0,0.0,0,0.8695994,3.0,0.993889197515277
086,0.3125,1,0.6875,12,0.8541693,4.0,0.9715043074884028
087,0.625,2,1.0625,14,0.7808918,6.0,0.9339496971145748
088,1.5,17,0.875,16,0.854141,4.47213595499958,0.9649797674208522
089,0.5,5,0.25,2,0.78192645,5.0,0.9822385114180998
090,0.5625,5,0.3125,4,0.7671242,6.0,0.9533754924458224
091,0.75,6,0.625,8,0.824887,8.0,0.9443251088534108
092,0.125,2,0.0,0,0.94767046,2.0,0.9957796775240776
093,0.625,7,0.5625,11,0.9552228,1.0,0.98571131014372
094,0.1875,2,0.1875,3,0.90415674,3.0,0.9914415170330592
095,0.3125,5,0.25,2,0.91976213,1.0,0.9976279731129364
096,0.5625,8,0.125,0,0.8952007,1.4142135623730951,0.9970372522294364
097,0.25,0,0.5,3,0.81869924,6.708203932499369,0.9535312273104404
098,0.4375,6,0.5625,8,0.9003258,7.0,0.9605139085337104
099,0.0625,0,0.0625,2,0.77970785,3.0,0.9853236629290976
100,0.5,5,0.0625,1,0.9556315,1.0,0.9952611126907402
101,0.125,1,0.5,4,0.8786793,2.0,0.9940650629384438
102,0.625,5,0.3125,5,0.81181246,6.0,0.9450769515638658
103,1.5,24,0.6875,11,0.78177625,4.47213595499958,0.9616849170382228
104,0.6875,4,0.125,1,0.7931321,7.0,0.9482663659150924
105,0.0625,0,0.0,0,0.9341368,1.4142135623730951,0.999737578726382
106,0.0,0,0.0625,1,0.96212494,1.0,0.9977900832814796
107,0.1875,1,0.3125,2,0.6576339,2.8284271247461903,0.9844355725279176
108,1.625,22,0.75,11,0.87676036,2.0,0.98100426681125
109,0.625,4,0.375,5,0.7628931,7.0,0.9564707592422114
110,1.4375,19,1.1875,17,0.80887294,2.23606797749979,0.9690524089092936
111,0.0,0,0.1875,3,0.91264296,2.0,0.9927992974924384
112,0.25,2,0.3125,2,0.8095336,2.0,0.9887762776828848
113,1.125,13,1.3125,21,0.7867081,2.8284271247461903,0.947315615437622
114,0.5625,5,0.4375,7,0.7961596,6.324555320336759,0.9410790895668744
115,0.3125,3,0.0,0,0.94871104,1.0,0.9953533731128262
116,0.1875,1,0.125,1,0.92807436,2.0,0.990986605257594
117,0.125,0,0.25,0,0.9062105,1.0,0.9972507464644332
118,0.5625,6,0.5625,9,0.90860677,2.0,0.9898846854137164
119,0.25,1,0.125,1,0.9541406,1.0,0.9975424314568774
120,0.1875,1,0.4375,3,0.8364571,2.0,0.9980701667573854
121,1.8125,24,0.375,4,0.88175786,3.0,0.9645615341462672
122,0.375,1,0.125,3,0.8025187,4.123105625617661,0.901055179790385
123,0.125,0,0.0625,2,0.96347934,1.0,0.9980224456732651
124,8.1875,103,6.5625,122,0.50502753,14.0,0.4932183792744801
