ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,6.3125,56,0.3125,35,0.6865284,8.246211251235321,0.8904584032306099
072,4.75,43,0.25,24,0.8367731,9.219544457292889,0.9334282088336916
073,8.5625,47,8.25,204,0.8424856,2.8284271247461903,0.9577434740077924
074,9.8125,89,3.6875,119,0.89847916,2.0,0.9792046942931146
075,8.4375,92,0.125,35,0.7977849,6.0,0.93386999811523
076,7.0,34,8.6875,204,0.83248097,2.0,0.9724052443457586
077,6.5,47,1.125,47,0.78999436,5.0,0.927696596676926
078,9.875,95,0.6875,61,0.6102071,7.0,0.8233366356310803
079,7.0,95,0.625,11,0.7415172,19.6468827043885,0.8521168377065357
080,10.75,118,1.5,47,0.72628933,5.0,0.9064375505370827
081,5.875,47,0.3125,38,0.7061154,8.0,0.9061185925662396
082,6.3125,42,7.875,184,0.6754276,4.0,0.9103596118206528
083,5.125,44,1.1875,40,0.85034525,7.0,0.9326186266189104
084,6.4375,63,1.375,65,0.879227,3.0,0.9757581249464546
085,6.0,50,0.0625,43,0.8073074,4.0,0.9716707258936688
086,5.5625,46,0.5625,38,0.7884329,5.0990195135927845,0.9515471751305844
087,6.75,53,0.8125,48,0.7249537,7.0,0.8977707855267236
088,4.625,53,0.4375,3,0.7321008,12.041594578792296,0.9039400213261998
089,5.75,63,0.5,27,0.6938351,9.0,0.9115122230976104
090,6.5,50,0.1875,43,0.71110475,7.615773105863909,0.9220624256823804
091,5.25,47,0.1875,26,0.7812103,9.0,0.9290381288300732
092,3.5625,23,1.25,38,0.8511978,5.0,0.9460722422862362
093,8.0,72,2.875,92,0.8673455,2.8284271247461903,0.96707338662658
094,6.375,59,0.125,32,0.8133975,4.123105625617661,0.9727477715834764
095,8.625,40,6.6875,200,0.8421119,2.0,0.9777092735972366
096,11.125,108,1.5,74,0.7913522,2.8284271247461903,0.94691162298193
097,5.625,51,0.125,37,0.76675034,7.615773105863909,0.9265345436936986
098,5.4375,58,0.3125,24,0.83877295,9.0,0.9267802746725956
099,9.1875,80,2.125,91,0.7293973,4.0,0.9620931830895788
100,7.6875,65,1.1875,67,0.86189955,3.0,0.975463868207307
101,8.125,42,8.0625,204,0.7986043,2.23606797749979,0.9721383131606828
