ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.5625,7,0.25,2,0.76752484,6.0,0.9464368416900604
072,0.5,5,0.125,2,0.9055331,6.324555320336759,0.9725377605792036
073,0.4375,2,0.5,1,0.93072444,1.0,0.9834382233601792
074,0.0625,0,0.0625,0,0.9773714,1.0,0.996858238807489
075,0.5625,7,0.25,4,0.878523,3.0,0.9804737905489708
076,0.375,2,0.5,11,0.9390639,1.0,0.9919866701150694
077,0.125,0,0.0625,1,0.9342932,2.0,0.9975890568746392
078,0.5,6,0.75,10,0.7109678,5.0,0.8714322700994935
079,1.0,7,0.1875,3,0.8476901,7.0,0.9692342826157088
080,0.5,6,0.75,9,0.79805315,3.0,0.9586599790849032
081,0.375,1,0.25,4,0.7866924,6.0,0.9450369196740436
082,1.0625,12,1.3125,16,0.8088922,2.0,0.9638923305017878
083,0.3125,4,0.375,6,0.951251,2.0,0.9927957356827832
084,0.125,0,0.0,0,0.9668475,1.0,0.9997092861756144
085,0.125,0,0.0,0,0.8851626,3.0,0.9950580406523762
086,0.5,4,0.375,6,0.88316834,3.1622776601683795,0.9784749162561068
087,0.625,4,0.5625,7,0.8073142,5.0,0.9446438763927468
088,1.125,12,0.0625,2,0.8394416,4.242640687119285,0.977715388664678
089,0.3125,2,0.25,2,0.7857747,5.0,0.9848540201056588
090,0.4375,2,0.125,0,0.790908,5.656854249492381,0.9601792363570396
091,0.5,4,0.375,4,0.8404894,7.0,0.9524621457827528
092,0.0625,2,0.0,0,0.94880396,2.0,0.9958860973792916
093,0.3125,3,0.6875,12,0.95867574,1.0,0.9841034346856292
094,0.125,1,0.0,0,0.89689314,3.0,0.996653603894156
095,1.25,17,1.0,16,0.9556997,1.0,0.9924102971587584
096,0.4375,6,1.0,14,0.85658747,2.0,0.97739749908696
097,0.25,3,0.3125,3,0.8388478,6.0,0.9633787455399612
098,0.4375,7,0.4375,6,0.91278005,6.0,0.9694429736876944
099,0.0625,0,0.125,0,0.8307182,2.8284271247461903,0.9896475825024283
100,0.4375,4,0.0625,0,0.95724094,1.0,0.9961363508428812
101,0.25,2,0.25,4,0.9419555,1.0,0.9945246298451248
102,0.6875,4,0.25,1,0.83605105,5.0,0.9526176475248488
103,0.625,9,0.1875,2,0.7526809,5.0,0.9838758152398054
104,0.5,5,0.25,3,0.8168218,6.0,0.9557389617207814
105,0.0,0,0.125,2,0.9553649,1.0,0.9982607183233324
106,0.1875,0,0.125,2,0.96469486,1.0,0.9966618800885962
107,0.25,0,0.1875,2,0.73769903,2.0,0.9889081725893611
108,1.5,20,1.0625,16,0.8319031,2.23606797749979,0.959420999275098
109,0.875,6,0.375,5,0.78079826,6.0,0.9625542771047124
110,1.125,15,0.25,2,0.8288413,2.0,0.9791635039776112
111,0.0,0,0.0,0,0.92881954,1.0,0.9944892705167808
112,0.25,2,0.25,0,0.8059276,2.0,0.9899390348050868
113,0.75,11,1.125,18,0.7677481,3.605551275463989,0.946714448339596
114,0.75,5,0.3125,4,0.820784,6.0,0.9508851211053164
115,0.3125,4,0.0625,2,0.9510178,1.0,0.9945661424996008
116,0.0625,0,0.0625,0,0.943795,2.0,0.997978431120108
117,0.0,0,0.375,4,0.9626868,1.0,0.9975578219761756
118,0.1875,0,0.0,0,0.9430079,2.0,0.9990748298802582
119,0.125,2,0.0625,2,0.96572256,1.0,0.9969692457530304
120,0.125,1,0.25,1,0.93018407,1.0,0.997234381379458
121,2.3125,23,1.0625,0,0.87676847,3.605551275463989,0.9349911379017498
122,0.4375,5,0.875,7,0.793928,4.47213595499958,0.8961174642101466
123,0.1875,2,0.4375,8,0.9577389,1.0,0.9969199848763028
124,14.375,197,3.1875,57,0.39257917,14.317821063276352,0.3635807542431107
125,0.1875,0,0.5625,14,0.8641618,3.605551275463989,0.9478542201256804
126,0.1875,3,0.0,0,0.95701665,2.8284271247461903,0.9960006093056228
127,0.25,2,0.375,6,0.94934946,1.0,0.9947703010311864
128,0.125,1,0.0,0,0.95815295,2.8284271247461903,0.9977053179668436
129,0.625,5,0.3125,5,0.96233964,1.0,0.990118451441391
130,2.875,41,0.4375,6,0.83615583,14.866068747318506,0.8981194377484644
131,0.3125,2,0.5,3,0.90017533,3.605551275463989,0.9636876704901264
132,0.25,4,0.0,0,0.924593,4.123105625617661,0.9896683327840218
133,6.6875,95,1.5625,2,0.7345785,7.0,0.7968672889145376
134,0.875,13,0.75,7,0.9144693,3.0,0.9725672747166608
135,0.3125,3,0.0,0,0.9361156,2.8284271247461903,0.98902910578712
136,7.1875,98,2.8125,47,0.5979148,12.0,0.5988150655598973
137,0.125,1,0.0,0,0.9479069,1.0,0.9967608464522092
138,0.1875,3,0.0625,0,0.90020555,3.1622776601683795,0.9869288788551956
139,10.75,160,1.5625,25,0.79531693,43.18564576337837,0.7235211081173964
140,0.375,3,0.125,2,0.90222967,5.0,0.9757992811196494
141,1.0625,14,0.0,1,0.84258115,5.0990195135927845,0.9687113967807296
142,5.3125,79,1.25,21,0.79488504,12.16552506059644,0.8353451760636651
143,0.6875,8,0.625,10,0.9247578,4.242640687119285,0.983953702768356
144,3.25,47,0.625,10,0.8081561,24.08733429706476,0.8427397792051652
145,0.6875,8,0.5625,9,0.90965205,4.0,0.9758952102065404
146,1.0,6,0.3125,6,0.87927806,3.0,0.9651504674403184
147,8.1875,97,4.0625,70,0.5000337,15.0,0.4802291233283662
148,0.3125,2,0.0625,0,0.8299131,4.242640687119285,0.9824466212020804
149,0.125,0,0.0625,1,0.94722086,2.23606797749979,0.9938663335018916
150,2.5,33,0.4375,8,0.7488701,19.026297590440446,0.8555438344419556
151,3.8125,58,2.25,36,0.7875856,8.94427190999916,0.8449343225433297
152,0.3125,1,0.4375,6,0.9195359,3.0,0.988135754582586
