ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.4375,5,0.25,1,0.7491427,7.0,0.938113882254892
072,0.3125,2,0.25,4,0.90064144,7.0,0.9689530554393426
073,1.125,9,0.9375,5,0.91325575,2.0,0.9668932435414904
074,0.5625,9,0.1875,3,0.9668636,1.0,0.9873433292210192
075,0.6875,10,0.25,3,0.87715214,3.0,0.9802206080736884
076,0.6875,10,0.75,2,0.9182842,1.0,0.9816965234845888
077,0.5625,9,0.3125,2,0.9143692,3.0,0.9806138250436222
078,0.875,11,0.5625,6,0.7038514,5.0,0.8508530221771861
079,0.9375,5,0.1875,3,0.8806413,5.656854249492381,0.9764808014441212
080,0.4375,5,0.875,7,0.8141573,3.0,0.9493915300726036
081,0.25,3,0.5,5,0.7658508,7.0,0.9309165017160712
082,0.875,10,1.0,5,0.78348,2.8284271247461903,0.9518473551260248
083,0.8125,8,0.1875,3,0.9393784,2.0,0.9793502159879184
084,0.1875,0,0.0,0,0.95724463,1.0,0.995485988920977
085,0.125,0,0.0,0,0.86815655,3.0,0.9899182935070364
086,0.25,1,0.5625,9,0.8598623,4.0,0.9743161940741136
087,1.0,9,0.875,10,0.78761697,6.0,0.9348944507483998
088,0.875,10,0.0625,2,0.85458404,4.0,0.9796351272727154
089,0.5,6,0.25,2,0.76987934,5.0,0.979633682683584
090,0.5625,5,0.25,2,0.7665791,7.0,0.9439551913641504
091,0.875,10,0.375,4,0.8263089,8.0,0.9467737432245888
092,0.5625,9,0.1875,4,0.94022954,2.0,0.9823577572764012
093,0.625,7,0.625,8,0.94513863,1.4142135623730951,0.9729072552444286
094,0.125,1,0.0,0,0.89272904,3.0,0.9905287748998478
095,1.125,16,0.5,8,0.94941694,1.0,0.9874066317315536
096,0.5625,6,0.625,4,0.87483907,2.0,0.9738437903805908
097,0.5625,5,0.3125,0,0.8197774,7.0,0.9522493065330526
098,0.5625,9,0.5,7,0.8990846,7.0,0.962331793235304
099,0.6875,10,0.4375,4,0.8013035,3.0,0.9812423268880934
100,0.1875,2,0.0,0,0.9489632,1.4142135623730951,0.9924323406207108
101,0.6875,11,0.5625,6,0.9244372,1.0,0.992120540908114
102,0.5625,5,0.3125,1,0.81811965,7.0,0.9379883951837586
103,0.125,1,0.0625,0,0.77297825,5.0,0.9849437672948842
104,0.3125,3,0.0625,1,0.79950607,7.0,0.9507731376736832
105,0.375,5,0.3125,3,0.9350647,1.4142135623730951,0.9913448529345356
106,0.4375,5,0.125,1,0.9571838,1.0,0.989365478041037
107,0.875,10,0.25,1,0.71088105,2.0,0.9812546442861084
108,0.75,10,0.5625,7,0.8576496,2.0,0.9667290826843862
109,0.5625,3,0.625,8,0.76773673,6.324555320336759,0.9603294351332768
110,0.6875,9,0.3125,3,0.8204119,2.8284271247461903,0.9726529886253342
111,1.125,17,0.1875,3,0.9151126,2.0,0.9838797891042884
112,0.875,12,0.25,2,0.8163694,2.0,0.98421464826706
113,0.4375,5,1.0625,15,0.7780153,3.605551275463989,0.941478858961154
114,0.3125,1,0.125,3,0.7982128,6.708203932499369,0.9444509895113652
115,0.3125,4,0.1875,3,0.93973035,1.0,0.9855402610814248
116,1.125,13,0.125,1,0.92497855,2.0,0.9840164838081882
117,0.75,10,0.1875,2,0.9566491,1.0,0.9927295541204731
118,0.375,5,0.125,0,0.91947746,2.0,0.9910284764207848
119,0.375,6,0.125,3,0.95229083,1.0,0.9885555701426711
120,0.8125,13,0.375,3,0.89824426,1.0,0.9964379144738196
121,1.5625,13,0.375,13,0.87263834,3.605551275463989,0.9488413809309912
122,0.9375,11,0.25,5,0.802266,5.0,0.8934915621890339
123,2.625,43,0.1875,1,0.9496507,1.0,0.9875412103989812
124,5.8125,69,3.1875,63,0.512201,14.0,0.5141290197851786
125,0.6875,7,0.5,14,0.8527873,4.0,0.9389487372438642
126,0.25,4,0.125,3,0.94547606,3.1622776601683795,0.98275020211953
127,2.125,30,0.4375,7,0.9360787,1.0,0.981713760563424
128,0.3125,2,0.125,2,0.94752955,3.605551275463989,0.987027658126719
129,0.875,13,0.0625,3,0.9412176,1.4142135623730951,0.9818764932832322
130,1.625,22,0.1875,3,0.8549016,9.433981132056603,0.923487993135709
131,0.6875,7,0.3125,10,0.8846837,5.0990195135927845,0.93848628250012
132,0.1875,1,0.0,0,0.91645503,5.0,0.9779999093413976
133,3.375,48,1.4375,0,0.72420526,8.54400374531753,0.7869262104639383
134,1.4375,17,0.625,13,0.90399486,3.0,0.9652679040179408
135,1.1875,15,0.125,2,0.93307316,3.0,0.9860141528078864
