ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.75,9,0.375,4,0.7708231,6.0,0.9422660875889858
072,0.75,8,0.375,6,0.9048041,6.0,0.9635680778863512
073,0.625,3,0.9375,11,0.9278834,1.0,0.982038467234862
074,0.0625,1,0.6875,9,0.97480506,1.0,0.9938765092165276
075,0.6875,8,0.1875,3,0.8831417,3.0,0.9841286192748
076,0.3125,3,0.5625,6,0.9437999,1.0,0.9936237188896686
077,0.0625,0,0.0625,0,0.9394545,2.0,0.9977690005975258
078,0.125,3,0.625,9,0.727174,4.0,0.8793752120184094
079,1.4375,14,0.25,4,0.85797316,6.0,0.9646119214482658
080,0.5625,7,1.0625,12,0.8092188,2.23606797749979,0.9600899980416088
081,0.8125,8,0.5625,10,0.78892386,6.0,0.93672086268608
082,1.25,14,1.5625,3,0.81805885,2.0,0.9637942373376466
083,0.75,11,0.4375,6,0.950031,2.0,0.988716748190383
084,0.3125,0,0.25,3,0.9688063,1.0,0.9984523668438064
085,0.25,2,0.0625,1,0.8863008,3.0,0.9967240510521964
086,0.375,2,0.5,8,0.88268906,3.0,0.9776995082645018
087,0.9375,6,1.125,18,0.8107482,5.0,0.9397370344862328
088,1.1875,13,0.0,1,0.8514546,4.0,0.9783592524102492
089,0.375,4,0.1875,1,0.79261893,4.47213595499958,0.9857249981103462
090,0.75,6,0.5,6,0.79328877,5.385164807134504,0.9563189679681718
091,0.6875,6,0.8125,12,0.8412762,6.4031242374328485,0.9492238810621434
092,0.375,5,0.125,2,0.94420344,2.0,0.9949124096655324
093,0.4375,5,1.0,16,0.95819134,1.0,0.9835669739653868
094,0.0625,1,0.0625,1,0.89597046,3.0,0.9949736746668256
095,0.625,7,0.875,16,0.9573111,1.0,0.9923602455429148
096,0.5625,7,0.625,8,0.8675038,2.0,0.98479698946049
097,0.1875,2,0.25,2,0.8410847,5.830951894845301,0.9619012370912592
098,0.9375,11,0.5,8,0.91279596,6.0,0.9673452639809248
099,0.125,1,0.1875,0,0.8400462,2.23606797749979,0.9881680642620424
100,0.5,4,0.125,1,0.9557684,1.0,0.9945622292503862
101,0.125,0,0.3125,5,0.94048893,1.0,0.9954796599052282
102,0.4375,4,0.4375,4,0.83674204,5.0990195135927845,0.9466588381847394
103,0.1875,4,0.0625,0,0.7698203,5.0,0.9853566628267034
104,0.9375,9,0.5625,9,0.8179592,6.0,0.9482936356167144
105,0.1875,3,0.1875,3,0.96394134,1.0,0.9980428826164484
106,0.25,0,0.125,3,0.96707076,1.0,0.99628447120653
107,0.1875,0,0.1875,2,0.7442526,2.0,0.9888134863351054
108,1.25,16,0.5625,8,0.84824455,2.0,0.9734064526791976
109,0.8125,5,0.625,9,0.7811591,6.0,0.959351504452516
110,0.75,8,0.3125,0,0.8404072,2.0,0.9860590855886088
111,0.125,0,0.25,2,0.9240312,1.0,0.9935411894260044
112,0.5,6,0.4375,0,0.8122764,2.0,0.9871490446644934
113,0.6875,10,1.1875,22,0.78122914,3.0,0.9548235583090592
114,0.75,7,0.5625,9,0.8281157,5.0990195135927845,0.9497063746940057
115,0.1875,1,0.375,1,0.95406353,1.0,0.9932561771385142
116,0.125,0,0.0625,1,0.94733596,1.4142135623730951,0.9983158112831848
117,0.1875,0,0.4375,4,0.9639621,1.0,0.9969991570327826
118,0.125,0,0.0,0,0.94672716,1.4142135623730951,0.9992777943464628
119,0.125,1,0.1875,0,0.96663773,1.0,0.9948496928284604
120,0.125,1,0.3125,3,0.9405128,1.0,0.9965471528707506
121,2.3125,23,0.8125,3,0.8654628,4.242640687119285,0.929192345358139
122,1.4375,17,1.4375,16,0.7763534,5.0,0.8756837494269385
123,0.8125,11,0.4375,9,0.9422131,1.0,0.9913564295413632
124,9.1875,113,3.6875,64,0.4198771,14.0356688476182,0.3877266859637442
125,1.0625,12,1.375,2,0.8507903,3.605551275463989,0.9383917412313388
126,0.3125,5,0.1875,3,0.95611167,2.8284271247461903,0.994072437813736
127,0.5,5,0.5,9,0.9433789,1.0,0.9931461146038852
128,0.6875,9,0.5,8,0.94987583,3.0,0.9887946994407004
129,0.6875,7,0.625,3,0.9541477,1.0,0.9835350747132912
130,3.25,45,0.5625,9,0.83952445,16.846057867934906,0.8824248107813126
131,0.625,7,0.875,1,0.89217407,3.605551275463989,0.9606327473757238
132,0.75,12,0.25,4,0.9267044,3.605551275463989,0.986114434751579
133,6.4375,89,1.6875,11,0.7372041,7.280109889280518,0.7906828251307114
134,0.8125,7,0.8125,6,0.91030407,3.0,0.9711161406407968
135,0.25,1,0.5625,9,0.9321019,3.0,0.9879482200373124
136,7.1875,97,2.875,49,0.6190386,13.0,0.6140007876396727
137,1.0,18,0.0625,1,0.9344069,1.4142135623730951,0.9847552925455474
138,0.25,4,0.125,1,0.90176964,3.1622776601683795,0.9865954073325902
139,10.125,148,1.0625,17,0.80421895,37.20215047547655,0.7456741579561066
140,0.5625,6,0.1875,3,0.9069645,4.242640687119285,0.9847613563894836
141,1.125,16,0.1875,3,0.842617,5.0990195135927845,0.9666274732920928
142,6.6875,101,1.0625,18,0.8133277,12.0,0.8409601377026042
143,1.0,16,0.25,4,0.9230219,4.123105625617661,0.9748999858959156
144,3.4375,52,0.5625,9,0.8209024,23.08679276123039,0.8621084544465941
145,0.5625,8,0.4375,7,0.9060451,4.0,0.979379945065782
146,1.1875,12,0.9375,6,0.86571366,3.1622776601683795,0.9479552151152638
147,6.25,65,4.5,77,0.5195581,15.0,0.4774948446475852
148,0.25,2,0.0,1,0.83557355,4.0,0.9806691147131588
149,0.25,2,0.125,3,0.946361,2.23606797749979,0.9933253995258776
150,2.3125,30,0.5,9,0.75328225,18.0,0.8534553474010347
151,4.1875,59,1.8125,28,0.80038804,8.54400374531753,0.8542088889158305
152,0.625,10,0.6875,8,0.9119206,3.1622776601683795,0.9784464189691284
153,6.0625,87,2.3125,44,0.748535,12.36931687685298,0.7759549054295009
154,1.625,14,0.4375,16,0.88150966,3.605551275463989,0.9543366606420048
155,6.75,81,2.3125,40,0.42832065,14.0,0.4090422908066908
156,0.9375,10,0.5,7,0.9067546,3.605551275463989,0.9739007808116844
157,3.0625,47,1.0625,18,0.8476441,14.281018332372756,0.8648748472703132
158,2.125,29,0.0,0,0.8660969,5.0,0.9648178253148944
159,0.125,2,0.0625,1,0.94629425,3.605551275463989,0.9910418392125564
160,1.9375,19,0.8125,6,0.90515727,3.605551275463989,0.9544056040582276
161,5.125,65,2.4375,40,0.6899509,8.94427190999916,0.7350155983618787
162,1.25,10,0.5,17,0.90661603,2.8284271247461903,0.963822523918514
163,0.8125,8,1.4375,26,0.87535954,5.0,0.9350653096139632
164,0.25,3,0.25,2,0.89944685,2.0,0.9945168406351216
165,0.875,14,0.1875,3,0.9383337,1.4142135623730951,0.9844244395099312
166,0.0625,1,0.125,1,0.9141314,2.23606797749979,0.9869514048539472
167,1.25,15,0.4375,3,0.85094553,3.0,0.9700694228360648
168,2.1875,32,0.125,2,0.83001083,15.132745950421556,0.9136978950745106
169,1.375,18,0.875,15,0.8688289,6.4031242374328485,0.9364434141225992
170,0.8125,2,2.0625,28,0.87928426,5.0,0.9392597333843274
171,10.0625,120,8.0,136,0.47836483,7.0,0.467837794234439
172,6.5,80,11.375,188,0.63005704,6.264107122827124,0.63776889586679
173,3.1875,46,7.75,131,0.79676056,5.385164807134504,0.8384442620622764
174,16.5625,211,8.4375,127,0.4064017,11.180339887498947,0.400775487900804
175,28.75,390,3.0,0,0.14102156,9.0,0.0909483313896469
176,28.25,364,2.375,5,0.32448897,10.04987562112089,0.2999478771624506
177,29.625,386,2.5,14,0.1905527,8.94427190999916,0.1641328350538447
178,3.8125,50,7.625,125,0.6309037,7.615773105863909,0.6159525665932478
179,14.875,198,12.8125,178,0.42366123,6.4031242374328485,0.4449387426830499
180,18.0625,213,9.3125,118,0.38029686,7.0,0.3751740539434035
181,19.1875,240,5.1875,38,0.11794286,27.49180396483383,0.1164865694203319
182,6.1875,67,14.8125,252,0.5809907,5.0,0.5876269660067563
183,6.4375,82,6.0625,102,0.5971632,7.0,0.6071287365103171
184,15.8125,187,6.375,178,0.59962773,5.0,0.6793199408387116
185,2.375,31,8.375,142,0.78921455,5.0,0.8208651750541132
186,13.1875,169,9.125,151,0.42664152,10.0,0.3898500476045122
187,11.125,151,8.5625,139,0.538077,8.06225774829855,0.5405386063895743
188,26.5,366,8.3125,125,0.16965106,19.6468827043885,0.1642026127064235
189,23.125,299,3.375,15,0.20198542,10.0,0.1838833725644179
190,3.4375,39,9.1875,150,0.7396791,6.0,0.8078565051739595
191,15.625,208,10.75,158,0.5346288,8.0,0.5280910697670417
192,16.25,214,3.75,26,0.17122984,12.0,0.147222983040416
193,6.5,88,5.875,105,0.7773852,10.0,0.7754055271569739
194,2.9375,30,17.5625,295,0.72282815,4.0,0.7783664788502186
195,6.375,80,9.9375,160,0.67495495,7.0,0.6926118450605744
196,2.625,29,6.875,120,0.7845817,5.0,0.8130961028997276
197,4.5625,61,5.5625,90,0.7037872,7.0,0.7328362699508874
198,15.25,209,8.4375,134,0.39910898,9.219544457292889,0.3816688217547919
199,1.5625,22,8.0,137,0.81604373,5.0,0.8976280253996763
200,25.875,371,11.9375,191,0.09298462,20.12461179749811,0.0887727907810849
201,19.875,262,3.625,34,0.13455735,14.0,0.1100605680175517
202,6.8125,88,11.5625,199,0.53871065,8.0,0.531853544537496
203,17.5,214,8.375,107,0.4267109,8.0,0.4123913872036197
204,16.875,215,10.1875,133,0.44629347,7.0,0.4104719755394261
205,2.0625,23,14.0,237,0.76131153,4.123105625617661,0.8119383105814015
206,24.3125,304,4.0,34,0.17388378,5.0,0.1156710182752644
207,8.0,101,9.375,153,0.57104963,7.0,0.5624680760554686
208,0.3125,3,0.125,0,0.89667284,3.605551275463989,0.9776152027270713
209,34.3125,479,11.375,188,0.31674644,23.0,0.2139753587816599
210,15.0,184,7.75,103,0.34165615,10.0,0.3143748387463549
211,0.6875,6,3.75,61,0.91543955,3.605551275463989,0.977843645886489
212,16.5,217,5.125,37,0.26009116,11.0,0.255245587400108
213,2.3125,27,10.625,178,0.70785636,8.0,0.7496622774786769
214,14.9375,194,9.375,136,0.5391931,8.599409190956202,0.5409029345134352
215,21.5,289,4.75,25,0.37072808,10.0,0.3624407260796032
216,13.875,182,7.625,126,0.54484516,15.524174696260024,0.5361785253011159
217,19.3125,235,7.1875,89,0.27763534,6.0,0.2462215986372765
218,5.8125,70,9.8125,172,0.7116744,6.0,0.7218397076208033
219,0.75,11,0.4375,7,0.88709986,5.0,0.9566016867618552
220,31.75,423,10.8125,194,0.24982977,22.02271554554524,0.128493411322161
221,8.25,113,3.0625,18,0.43770725,24.020824298928627,0.497460627272595
222,2.25,25,1.6875,33,0.4955353,75.0,0.5974144186843966
223,4.625,69,0.75,9,0.8166661,32.0,0.8064163299053019
224,1.6875,26,0.1875,5,0.8607449,20.0,0.9203463454245268
225,20.875,279,13.3125,240,0.11988082,49.0,0.1098194185700834
226,8.625,131,10.0,175,0.3778745,42.0,0.3904103622896981
227,0.5625,5,0.0,7,0.70521915,42.7551166528639,0.8272606579141466
228,1.1875,9,4.125,71,0.65624887,26.0,0.7727969942691364
229,1.0,10,1.4375,26,0.59158915,22.0,0.7888098103937687
230,3.75,58,1.875,27,0.30366036,81.77988607462537,0.3293875169255142
231,0.25,1,0.3125,10,0.71875226,22.0,0.863538597779883
232,0.5625,6,1.3125,28,0.67276335,30.0,0.7771006174691144
233,2.5,37,0.25,7,0.33213693,82.1764982343253,0.4139811660522687
234,1.6875,25,0.6875,11,0.36337075,95.51701386845188,0.4590945275542868
235,4.0625,36,1.875,5,0.4561705,19.34419189276378,0.6596468530564114
236,7.625,95,11.75,204,0.50508195,95.00526301210895,0.6156928753311901
237,0.5625,10,1.4375,22,0.8788252,7.0,0.9303213704214603
238,4.5,56,2.375,46,0.40815398,61.21804449597095,0.4821516170818168
239,8.4375,120,6.3125,100,0.15366758,38.19162023357716,0.1615728147786985
240,10.0625,139,4.625,83,0.4437515,57.0,0.4049297011487405
241,6.875,100,2.5,45,0.44363895,32.7566787083184,0.5379909180946298
242,7.625,104,3.875,38,0.57180774,19.1049731745428,0.6819078942583164
