ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.625,7,0.375,3,0.7466463,6.4031242374328485,0.9371975430345048
072,0.5625,4,0.1875,3,0.8965709,7.0,0.9710687118094524
073,0.5625,6,1.125,20,0.92536277,1.4142135623730951,0.9770492470809936
074,0.0625,0,0.25,3,0.9716719,1.0,0.9966765866566214
075,0.25,2,0.5625,9,0.8882354,3.0,0.9831647973375628
076,0.25,3,0.9375,12,0.92621434,1.0,0.987281216796116
077,0.0,0,0.1875,2,0.9248243,2.0,0.9931918136719164
078,0.5625,7,0.375,4,0.70131207,5.0,0.8354567511658779
079,0.5,5,0.625,10,0.90040857,4.0,0.9750412760815416
080,0.5625,6,1.0625,12,0.8469629,2.0,0.965201730675908
081,0.375,0,0.3125,4,0.772881,6.082762530298219,0.940669466111349
082,1.0625,13,1.1875,2,0.7945445,2.23606797749979,0.9593242545192688
083,0.375,5,0.3125,5,0.9553935,1.4142135623730951,0.994706180148925
084,0.3125,2,0.0,0,0.9564041,1.4142135623730951,0.9993712157663396
085,0.25,2,0.0625,1,0.8674027,3.0,0.9947551211007484
086,0.4375,3,0.3125,5,0.8549239,4.0,0.9767117480201192
087,0.8125,5,0.875,12,0.7998631,5.0,0.9483225267245432
088,1.125,13,1.125,19,0.86919177,3.1622776601683795,0.975868484980491
089,0.3125,1,0.5,6,0.77274704,5.0,0.977198298464214
090,0.375,2,0.125,1,0.76916075,6.0,0.953190124669349
091,0.8125,5,0.375,4,0.82667166,7.280109889280518,0.950668024207948
092,0.125,1,0.0625,1,0.9457279,2.0,0.9952411844400656
093,0.4375,5,0.6875,12,0.9530048,1.0,0.9866156500145632
094,0.0625,0,0.125,2,0.8939309,3.0,0.9945239913931688
095,0.1875,2,0.0625,1,0.95411706,1.0,0.9963836691872312
096,0.625,5,0.0625,0,0.90262944,1.0,0.9940225977822784
097,0.25,0,0.375,2,0.8186674,6.324555320336759,0.9577897955965512
098,0.5625,4,0.5,7,0.90348566,6.324555320336759,0.967415973465968
099,0.375,5,0.1875,3,0.78402865,3.0,0.9840080175505848
100,0.5625,6,0.0,1,0.9547684,1.0,0.99441781152937
101,0.375,4,0.25,3,0.92218363,1.0,0.9930535731677252
102,0.3125,1,0.625,7,0.8201193,5.385164807134504,0.9460524675825208
103,0.6875,10,0.625,9,0.7887161,4.242640687119285,0.9812591431968264
104,0.75,8,0.0625,0,0.79674965,6.324555320336759,0.954205241550244
105,0.125,1,0.1875,3,0.930487,1.4142135623730951,0.9996519211738206
106,0.1875,0,0.125,0,0.95832384,1.0,0.996955622583526
107,0.3125,1,0.1875,1,0.70810694,2.0,0.9854281950584034
108,0.4375,6,0.5,8,0.87917596,2.0,0.9764936404632462
109,0.6875,4,0.25,3,0.7637717,6.0,0.9607490205076372
110,1.625,23,0.4375,3,0.8370407,2.0,0.970981610760381
111,0.0625,0,0.25,3,0.9190444,1.4142135623730951,0.990216520486239
112,0.5,5,0.125,0,0.8264359,2.0,0.9863079777903472
113,1.125,12,1.1875,21,0.80232835,2.23606797749979,0.9542647971619512
114,0.5,6,0.5,8,0.79780287,6.0,0.943579884714535
115,0.1875,2,0.3125,5,0.945015,1.0,0.9954662130523796
116,0.125,1,0.0,0,0.93694675,2.0,0.9968207826075298
117,0.125,0,0.25,1,0.9453836,1.0,0.9972132375715776
118,0.1875,0,0.0,1,0.91905457,2.0,0.9967575572090688
119,0.25,1,0.0625,0,0.9526769,1.0,0.9977351236782834
120,0.0,0,0.25,0,0.8821375,1.4142135623730951,0.9979599039065596
121,1.6875,15,0.875,1,0.87783825,3.1622776601683795,0.9477433738370334
122,1.0625,10,0.0625,1,0.8045054,4.47213595499958,0.8988550116063743
123,0.125,1,0.4375,5,0.9585411,1.0,0.997214060283742
124,10.1875,129,3.25,60,0.51069003,13.0,0.5148088314485729
125,1.5625,20,0.8125,8,0.8653238,3.605551275463989,0.9365548758417735
126,0.6875,11,0.9375,15,0.94512534,3.0,0.979603343520536
127,0.1875,2,0.125,2,0.9436565,1.0,0.994994925851727
128,1.3125,18,0.875,15,0.9472615,3.0,0.9835170493834628
129,1.1875,19,0.5625,7,0.9415051,1.0,0.9846927808504268
130,3.625,52,0.4375,6,0.86180204,8.94427190999916,0.9015403212398204
131,1.4375,14,0.8125,4,0.8995213,4.47213595499958,0.9339715246119564
132,1.3125,20,0.625,10,0.91282845,4.47213595499958,0.971314626280769
133,4.8125,65,2.625,21,0.7252405,6.324555320336759,0.8018845413984307
134,1.125,12,0.5625,18,0.8967776,3.1622776601683795,0.9615148368235422
135,0.25,1,0.25,4,0.9261715,3.1622776601683795,0.9788461396420683
136,7.5625,99,4.625,76,0.6396011,11.40175425099138,0.6316652515471021
137,0.375,6,0.0625,0,0.93167835,1.0,0.9950387518631776
138,1.6875,26,1.75,28,0.90042335,3.0,0.9606656667123094
139,10.875,162,4.3125,71,0.77254975,34.655446902326915,0.7462702100581137
140,0.375,6,0.9375,16,0.91514313,3.605551275463989,0.9712917571981876
141,1.1875,19,1.25,20,0.861551,4.0,0.9489561158342096
142,5.0,74,2.125,36,0.79458106,9.219544457292889,0.8293546708638619
143,2.25,35,0.5625,9,0.90436184,5.0,0.9485052384340136
144,3.25,44,1.625,25,0.8068597,23.021728866442675,0.8484050978756759
145,1.125,18,0.8125,13,0.90541095,3.605551275463989,0.9693520222144276
146,1.4375,14,0.0625,9,0.88077056,3.0,0.9616706245560104
147,10.0,128,2.3125,39,0.62358075,12.0,0.6411448155825147
148,0.375,5,0.9375,15,0.84116393,4.0,0.9713833408900536
149,2.1875,32,0.8125,15,0.9271603,2.8284271247461903,0.973295423078354
150,2.9375,33,1.1875,18,0.74791634,17.69180601295413,0.8402192733056211
151,4.4375,64,1.5,27,0.8082797,7.0,0.8644277502658908
152,1.0,14,0.75,10,0.9126113,2.8284271247461903,0.9752331349417496
153,5.5625,73,3.75,67,0.72159827,11.0,0.7421900042023737
154,1.1875,8,0.8125,12,0.86582804,3.605551275463989,0.9400225394755294
155,8.6875,112,3.1875,54,0.4781796,14.0,0.4963000668944842
156,1.875,20,1.25,19,0.9059525,3.605551275463989,0.9549207207850232
157,3.5,52,2.1875,34,0.84706426,11.0,0.8513273402708181
158,3.125,42,1.1875,21,0.89195234,4.0,0.9428271684502332
159,1.5,24,0.75,12,0.91652834,3.605551275463989,0.9650888392536648
160,2.6875,30,1.0625,18,0.90104187,6.0,0.9021102841855676
161,4.1875,54,2.5,41,0.6703767,8.0,0.7316398031804711
162,2.0625,20,1.0,21,0.89629567,3.0,0.9486339742018542
163,0.8125,10,0.6875,10,0.89507806,4.0,0.9500366442117928
164,0.4375,3,0.3125,5,0.91042,2.0,0.9920311302501736
165,0.125,2,0.125,2,0.9432569,1.0,0.9934647648284224
166,1.25,18,0.5,7,0.903816,2.8284271247461903,0.9764092790923607
167,0.875,13,1.0,10,0.8352636,3.1622776601683795,0.9670443330953388
168,1.8125,25,0.3125,5,0.79056036,19.1049731745428,0.863250143743494
