ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.3125,3,0.3125,2,0.7635333,6.0,0.9523653686841242
072,0.3125,3,0.1875,1,0.9155952,6.324555320336759,0.9756916381722102
073,0.25,0,0.6875,8,0.9512271,1.0,0.9846997473314976
074,0.0625,0,0.0625,2,0.9833171,1.0,0.9970530085425447
075,0.25,1,0.0625,2,0.88492936,3.0,0.9896429612008588
076,0.0625,0,0.625,0,0.9588703,1.0,0.9928091859083388
077,0.0,0,0.0625,0,0.94401765,2.0,0.996859578286227
078,0.625,3,1.0625,15,0.6775914,6.0,0.8819590938273869
079,1.125,8,0.0,0,0.82257265,8.0,0.972687967942634
080,0.375,2,0.9375,13,0.7823606,3.1622776601683795,0.9610988245622504
081,0.25,0,0.1875,3,0.7822682,6.0,0.9508268776440856
082,0.5,3,1.25,4,0.79705364,2.0,0.9739687742957364
083,0.25,3,0.125,2,0.94196486,2.0,0.9911484339536994
084,0.1875,0,0.0,0,0.9715545,1.0,0.9999029126213592
085,0.125,0,0.0,0,0.9025937,3.0,0.9967186632338836
086,0.3125,1,0.3125,5,0.89872134,3.0,0.9811649987169616
087,0.8125,4,0.5,6,0.80794585,5.0990195135927845,0.9577677474296922
088,0.5625,4,0.0,1,0.8237423,5.0,0.9769577116623996
089,0.3125,1,0.125,0,0.78277093,5.0,0.9833929849677882
090,0.8125,4,0.1875,2,0.791726,5.830951894845301,0.9653189781456148
091,0.625,4,0.3125,4,0.84680176,6.4031242374328485,0.9638563234116314
092,0.0,0,0.0,0,0.94679004,2.0,0.9945073052839724
093,0.4375,5,0.625,10,0.96085256,1.0,0.9876450175380288
094,0.125,1,0.0,0,0.9071111,3.0,0.9973896266031096
095,0.1875,2,0.25,2,0.9808602,1.0,0.9967267635694238
096,0.125,1,0.375,4,0.84729165,2.0,0.9860602756794642
097,0.25,2,0.1875,2,0.8412544,6.0,0.9657461049552843
098,0.8125,6,0.125,2,0.92247087,5.385164807134504,0.9761119942570334
099,0.125,0,0.0625,0,0.87707037,2.0,0.9884747295026488
100,0.3125,3,0.0,0,0.9550531,1.4142135623730951,0.9954084560933616
101,0.1875,0,0.1875,2,0.9453433,1.0,0.9979342432944548
102,0.3125,2,0.1875,1,0.8379344,5.0,0.9561233749599688
103,0.75,11,0.375,8,0.70116156,8.0,0.9509846445942042
104,0.6875,4,0.0625,0,0.81949574,6.0,0.960198388813488
105,0.0,0,0.0,0,0.9625801,1.0,1.0
106,0.0625,0,0.0625,0,0.979405,1.0,0.9978322494580624
107,0.1875,0,0.1875,1,0.73640335,2.0,0.9906745237141712
108,0.1875,1,0.625,9,0.8188181,2.0,0.9735206470838654
109,0.625,5,0.1875,2,0.78510827,6.0,0.9703382480485688
110,0.125,0,0.75,10,0.8137268,2.8284271247461903,0.9742369201219258
111,0.0,0,0.0,0,0.939777,1.4142135623730951,0.9958142916172772
112,0.1875,1,0.25,1,0.8033793,2.0,0.9914533790468372
113,0.3125,4,0.375,5,0.7693466,3.0,0.9707461660724258
114,0.6875,3,0.0625,1,0.8241373,5.0990195135927845,0.9682539044826972
115,0.1875,1,0.0,0,0.950839,1.0,0.9972543948582656
116,0.125,0,0.0,0,0.95179975,2.0,0.9968106697593506
117,0.0,0,0.0625,0,0.97758037,1.0,0.9981677731199374
118,0.0625,0,0.0,0,0.956537,1.0,0.9969094467909756
119,0.0,0,0.0,0,0.9719714,1.0,0.9987714044383016
120,0.0,0,0.1875,1,0.93193644,1.0,0.999384052717395
121,1.4375,17,1.0625,14,0.8349872,5.0990195135927845,0.9406424669350556
122,0.5,4,0.25,2,0.80295146,4.123105625617661,0.9111090024503272
123,0.0,0,0.125,0,0.9823123,1.0,0.9991029630419456
124,4.0625,33,4.4375,94,0.43070117,15.0,0.4203895220905396
125,0.3125,0,0.5,12,0.83411473,4.0,0.9502173246503158
126,0.125,2,0.0,0,0.9603198,2.8284271247461903,0.9983154348283848
127,0.125,0,0.125,1,0.9590199,1.0,0.9965661011739964
128,0.0625,0,0.0,0,0.9642069,2.8284271247461903,0.9996190476190476
129,0.0625,1,0.0625,1,0.97774667,1.0,0.9965854728634856
130,2.6875,38,0.25,4,0.79575753,24.698178070456937,0.882173095014111
131,0.25,1,0.25,3,0.8648736,5.0,0.9621316438513982
132,0.1875,2,0.0625,1,0.921154,4.123105625617661,0.989958158995816
133,2.9375,35,3.625,49,0.6835407,7.0,0.7874690162514212
134,1.0625,10,0.3125,3,0.88870794,3.605551275463989,0.980053729584134
135,0.3125,2,0.0,0,0.90377283,4.123105625617661,0.9819419495130944
136,3.0,32,3.875,78,0.54212487,14.0,0.5605930337276918
137,0.125,0,0.0,0,0.9615631,1.0,0.998240894647335
138,0.125,3,0.0,0,0.88299716,4.0,0.9859766579209264
139,8.375,118,0.9375,17,0.71046865,54.56189146281496,0.6429823536286082
140,0.0625,1,0.0,1,0.88514733,7.0,0.975743935983996
141,0.875,13,0.0,0,0.82043433,6.324555320336759,0.9752464403066812
142,5.8125,71,1.5,28,0.7190276,17.46424919657298,0.7526939460886757
143,0.375,3,0.0,0,0.927099,4.242640687119285,0.9893657424990504
144,2.875,46,0.375,8,0.77122194,30.0,0.841961542837638
145,1.8125,22,0.125,3,0.8607089,7.615773105863909,0.937305900621118
146,0.4375,1,0.125,4,0.88012296,3.0,0.9671396120495052
147,3.0625,28,4.9375,98,0.55465704,18.0,0.5309207234211775
148,0.25,2,0.0,0,0.81366843,5.0,0.9827663989894432
149,0.25,0,0.0,1,0.93412524,3.605551275463989,0.9939330844982012
150,2.1875,29,0.375,8,0.7216199,23.323807579381203,0.843911612599906
151,4.1875,54,2.0,34,0.7423531,11.04536101718726,0.8127244602101091
152,0.3125,2,0.1875,1,0.90561104,3.605551275463989,0.9851242165672432
153,4.0625,52,2.25,44,0.6738357,14.0,0.734719114808472
154,0.6875,5,0.125,0,0.84392834,4.47213595499958,0.9495171784284304
155,4.0625,38,3.0625,60,0.38360307,16.0,0.3978997564134893
156,0.1875,2,0.0,0,0.88536763,5.0,0.979498861047836
157,4.125,56,0.75,13,0.77711964,28.0,0.8030568290824674
158,1.8125,22,0.0625,1,0.83410937,8.0,0.9591836734693878
159,0.3125,4,0.0,0,0.93925786,5.0,0.9883025734338444
160,0.375,1,0.375,6,0.9061116,3.605551275463989,0.9724811461632232
161,2.8125,32,3.8125,71,0.6309516,8.94427190999916,0.7362033586144604
162,0.6875,9,0.4375,2,0.86011994,4.47213595499958,0.9546046631385656
163,0.25,2,0.0625,0,0.9060308,4.0,0.961102356283833
164,0.25,0,0.125,1,0.9031209,2.0,0.996085828813959
165,0.0,0,0.0,0,0.95530814,1.4142135623730951,0.9953476238097309
166,0.125,1,0.125,1,0.90822494,2.8284271247461903,0.9876006647066344
167,0.0625,0,0.125,2,0.853366,3.0,0.9849732152056082
168,1.75,22,0.0625,1,0.78124315,26.0,0.8818719335765505
169,1.625,19,1.375,23,0.82073253,11.0,0.8857610265308968
170,0.375,1,0.0,4,0.91172665,4.0,0.9726884183630568
171,2.5,22,13.4375,246,0.5238526,8.0,0.5407326795408789
172,1.125,14,11.875,223,0.65245867,7.280109889280518,0.6826193677845089
173,1.125,14,10.9375,183,0.73604816,9.0,0.7918286454726222
174,4.75,51,14.0625,252,0.497339,12.0,0.5224218068117048
175,16.125,177,3.6875,23,0.12654789,9.848857801796104,0.0834620413191059
176,18.875,207,2.5625,1,0.27117372,11.0,0.2748319443789162
177,9.0625,77,9.0625,141,0.1816473,9.0,0.1652890746304323
178,0.6875,6,11.625,201,0.5462941,9.0,0.594700987301284
179,2.25,23,19.9375,344,0.4201875,6.0,0.4609257209204287
180,4.0625,34,16.5625,260,0.3994735,6.0,0.4145652532269762
181,11.375,117,9.625,132,0.12681754,11.704699910719626,0.1334609049775403
182,1.0,8,19.0625,337,0.596386,5.656854249492381,0.6390377019902428
183,1.3125,15,7.5,137,0.58621895,9.0,0.6416967918072876
184,4.25,32,5.0,120,0.6070873,4.0,0.717199416725891
185,0.8125,12,7.5,132,0.7321628,8.06225774829855,0.8014614117555332
186,2.8125,28,11.9375,222,0.5146207,11.0,0.5379013280625012
187,3.0625,32,12.875,232,0.5570598,7.071067811865476,0.5959465228208493
188,16.75,212,14.3125,240,0.17921677,18.0,0.1755276316871654
189,8.6875,75,7.9375,122,0.20662893,9.0,0.209453128986978
190,0.875,10,10.875,188,0.74583805,7.0,0.8140212516481009
191,3.9375,43,15.75,278,0.47731662,8.0,0.5404138053849029
192,10.75,121,7.375,94,0.17721252,9.0,0.1724580263152137
193,4.125,47,6.5,118,0.68863124,14.317821063276352,0.7597075065767467
194,0.875,3,20.6875,355,0.6934609,6.0,0.7627244903061267
195,0.9375,7,11.6875,207,0.6479481,9.934671708797437,0.6853853931008747
196,0.5625,7,10.375,184,0.73964655,7.0,0.8060834754032221
197,0.75,9,10.625,183,0.6500282,9.0,0.7005958763545568
198,4.1875,43,12.875,242,0.51535434,9.0,0.5571241346740182
199,0.4375,2,8.875,156,0.7712385,6.0,0.8592552242717194
200,17.5,216,21.8125,357,0.104965165,19.0,0.0998057786981369
201,10.8125,105,6.875,101,0.14534262,13.0,0.1283013522761157
202,1.375,11,11.875,213,0.50869846,10.0,0.5491774909497762
203,2.8125,19,19.5625,332,0.46115026,7.0,0.4743358897378051
204,2.3125,23,16.5,270,0.44268516,7.0,0.447742650834617
205,0.5,0,15.5625,270,0.7103762,5.830951894845301,0.7854418877018247
206,3.75,21,9.8125,181,0.30979067,5.0,0.2153234776859595
207,1.875,20,9.9375,192,0.551963,8.54400374531753,0.5922224366945467
208,0.625,7,0.0625,0,0.839837,5.0990195135927845,0.9696540929342448
209,16.5,195,18.25,309,0.27060646,23.53720459187964,0.2059571042054735
210,6.3125,54,12.3125,210,0.3440543,11.0,0.3402232363063917
211,0.75,5,1.0,16,0.8686504,5.0,0.9712060098498884
212,10.5625,114,7.6875,88,0.23565316,8.0,0.2550002522005994
213,0.4375,3,12.6875,225,0.6190766,11.0,0.6924432647355976
214,4.0625,44,14.3125,250,0.4859063,8.246211251235321,0.5289341042144563
215,11.4375,122,11.0625,155,0.34702978,7.0,0.3574250447909899
216,5.125,58,7.1875,125,0.5190469,16.492422502470642,0.5426649683108651
217,3.375,29,13.5,241,0.36470002,5.0,0.3347313089717941
218,1.4375,14,12.5,232,0.7008576,7.071067811865476,0.7243845234100156
219,0.75,8,0.25,5,0.8661505,5.385164807134504,0.9701780837493296
220,14.1875,159,19.0,328,0.21139029,22.0,0.1367840010422227
221,5.3125,67,2.375,5,0.52599376,19.026297590440446,0.6344964577520391
222,2.1875,23,1.0,22,0.47187445,80.0,0.580780754692009
223,2.75,33,0.5625,5,0.7764317,30.0,0.8157971967183747
224,0.875,14,0.1875,4,0.76939404,30.0,0.8331600059426534
225,11.125,119,17.9375,318,0.13059498,48.25504726141008,0.1141703831250318
226,3.625,52,7.125,117,0.43819475,39.376375031057066,0.4619825901364879
227,0.5,4,0.0,7,0.69220465,45.16579716372786,0.8232174425456689
228,0.3125,0,1.75,32,0.60129744,35.77708763999664,0.8512739859228953
229,0.625,5,0.5,13,0.5811609,24.0,0.7843837857320306
230,4.8125,69,0.125,2,0.35379592,37.0,0.3426840379486249
231,0.3125,0,0.25,7,0.7060871,20.396078054371134,0.8670227719988755
232,0.25,0,0.125,6,0.64187557,27.018512172212592,0.7967694955646764
233,2.75,39,0.0625,3,0.3623308,48.0,0.4777101252528527
234,2.3125,32,0.5,8,0.48249578,50.32891812864648,0.6325797882808277
235,1.8125,11,0.5,21,0.41485363,47.43416490252569,0.7790235265861689
236,3.625,40,4.6875,86,0.47427613,96.0,0.6853619615710692
237,0.3125,3,0.3125,3,0.8632552,9.433981132056603,0.9600501331662228
238,2.5,31,2.25,39,0.39504856,50.00999900019995,0.6091233474298361
