ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.25,3,0.25,2,0.81904763,3.1622776601683795,0.9908950185005674
072,0.3125,4,0.3125,3,0.94015515,2.23606797749979,0.9948982345191688
073,0.5,4,0.3125,0,0.9357191,1.0,0.9933689286787988
074,0.125,0,0.0625,2,0.9710914,1.0,0.9978026443142948
075,0.125,1,0.0,1,0.92469627,2.0,0.9965461284308024
076,0.25,1,0.75,15,0.9146698,1.0,0.9973433103500684
077,0.0,0,0.0,0,0.91762054,1.0,0.9999113553762964
078,0.25,3,0.0625,0,0.82689553,2.0,0.9631140297569706
079,0.6875,6,0.0,0,0.9229694,3.0,0.9936437360995762
080,0.1875,2,0.25,4,0.8895789,2.0,0.995984572027045
081,0.3125,3,0.1875,2,0.8441228,3.0,0.9911358681832052
082,1.375,12,1.0625,12,0.8390643,2.0,0.9857053980040374
083,0.8125,10,0.1875,2,0.95339984,2.0,0.9951647497268624
084,0.25,1,0.0,1,0.9654768,1.0,0.9994199676138416
085,0.0625,0,0.0,0,0.9284768,2.0,0.9992479318124844
086,0.1875,0,0.0,0,0.92122054,2.0,0.9955622840780084
087,1.1875,10,0.5625,7,0.8572931,3.0,0.9862935842022038
088,0.5,4,0.0,1,0.9078908,2.23606797749979,0.9938064059458503
089,0.5,2,0.0,1,0.8895148,2.23606797749979,0.9949766330573306
090,0.5,1,0.125,1,0.8406243,3.0,0.9901457939820866
091,0.8125,5,0.0625,1,0.8964687,3.0,0.9954503718018948
092,0.25,2,0.0,0,0.9466563,2.0,0.9977689503183328
093,0.375,1,0.375,8,0.9597029,1.0,0.9874723749916726
094,0.125,0,0.0,0,0.93234366,2.0,0.9995490417136416
095,0.5,7,0.4375,4,0.92576057,1.0,0.9949174012206856
096,0.0625,0,0.0625,0,0.90841705,1.0,0.9993091271973592
097,0.75,6,0.25,3,0.88651067,3.0,0.9943259237921818
098,0.625,3,0.1875,4,0.9401853,2.0,0.996776264425763
099,0.3125,4,0.0,2,0.9116262,1.0,0.9957692826123772
100,0.25,0,0.0,0,0.9587052,1.0,0.9983338887037654
101,0.25,0,0.125,3,0.9160231,1.0,0.9986083662264392
102,0.375,3,0.125,0,0.882903,3.0,0.9925440077725668
103,1.1875,18,0.4375,5,0.8711299,3.0,0.979451314317352
104,0.6875,3,0.125,1,0.8719652,3.0,0.9926795683536008
105,0.0,0,0.0,0,0.96247447,1.0,1.0
106,0.25,0,0.0625,1,0.9315058,1.0,0.9984651724906776
107,0.3125,0,0.1875,1,0.79389596,2.0,0.99224120653577
108,0.3125,3,0.0,0,0.89763045,1.4142135623730951,0.9961230509903076
109,0.6875,1,0.0625,0,0.8307411,3.605551275463989,0.9929119762734218
110,0.5,6,0.25,2,0.8768091,2.0,0.9935746321064544
111,0.0625,0,0.3125,3,0.91053534,1.0,0.9966916470700038
112,0.125,1,0.25,0,0.87317705,1.4142135623730951,0.9952341243359012
113,0.6875,7,0.0625,0,0.86437815,2.0,0.9973630486560056
114,0.4375,3,0.125,2,0.8738495,3.0,0.9901058061268412
115,0.3125,4,0.0,0,0.9508948,1.0,0.9975965199714604
116,0.1875,0,0.0625,0,0.9395172,1.0,0.9987039436936902
117,0.1875,1,0.25,2,0.93544644,1.0,0.9989696942612112
118,0.125,1,0.0,0,0.9466379,1.0,0.9988233279051656
119,0.25,2,0.0,0,0.9633809,1.0,0.9975580162748988
120,0.125,1,0.1875,0,0.9449023,1.0,0.999315677161632
121,4.625,53,2.375,18,0.8669173,3.605551275463989,0.9273196469657384
122,0.6875,8,0.1875,2,0.8313707,4.0,0.9253189937092474
123,0.125,1,0.3125,3,0.9373877,1.0,0.997755352096664
124,18.125,255,6.3125,100,0.520119,10.0,0.4337241465564129
125,1.4375,13,0.6875,22,0.899244,3.0,0.9385431968866498
126,0.1875,0,0.125,2,0.92446643,2.8284271247461903,0.9965193544984706
127,0.125,1,0.125,0,0.9384818,1.0,0.9972396717914624
128,0.0,0,0.125,2,0.91452515,2.8284271247461903,0.997701198838871
129,0.875,8,0.4375,13,0.92204183,2.0,0.9896969430436048
130,0.4375,6,0.125,0,0.9499149,2.23606797749979,0.9920326410374984
131,0.5625,5,0.1875,3,0.9113888,3.0,0.9595692493388668
132,0.0625,0,0.3125,5,0.9362265,2.23606797749979,0.9985566257545292
133,11.5625,167,2.0,6,0.7975732,4.0,0.8237020076407974
134,2.3125,19,1.0,24,0.90535724,3.0,0.9468517532243744
135,1.5625,15,0.75,10,0.89648217,5.0,0.9503026453198576
136,11.75,172,4.125,63,0.7261089,9.0,0.6984352527707139
137,0.125,0,0.125,0,0.9148532,1.0,0.9987678873204964
138,0.125,1,0.0625,1,0.93366516,2.23606797749979,0.9923916523595212
139,3.1875,49,1.5,24,0.9241672,7.071067811865476,0.9194657993644808
140,0.125,2,0.125,2,0.9351687,3.0,0.9877209863072977
141,0.1875,3,0.0625,1,0.9118808,2.8284271247461903,0.991453622494441
142,5.8125,90,1.125,18,0.8945043,4.47213595499958,0.9409234415920856
143,0.125,0,0.375,6,0.9092273,2.8284271247461903,0.997403561920452
144,1.0625,16,0.375,6,0.9342789,3.0,0.9793376293309896
145,0.75,9,1.1875,20,0.93289447,2.8284271247461903,0.9733616789803932
146,1.0,9,0.4375,1,0.89290076,2.23606797749979,0.9756583774658868
147,14.5625,202,7.3125,119,0.726908,8.94427190999916,0.6567346230069947
148,0.625,8,0.0625,0,0.8927105,2.8284271247461903,0.9819780781887976
149,0.125,0,0.375,6,0.93834203,2.23606797749979,0.994375168644026
150,1.9375,25,0.1875,2,0.89926463,3.605551275463989,0.9568381224590288
151,8.0625,115,2.0,31,0.8595967,4.086173937932005,0.922068991444856
152,0.125,0,0.25,2,0.9260619,2.0,0.9979838695288183
153,8.625,133,1.5,24,0.8685899,4.123105625617661,0.9122789714090576
154,2.0,17,1.125,11,0.8934306,3.605551275463989,0.9300450299922476
155,18.5625,256,4.9375,78,0.47860423,12.0,0.4315689687729228
156,0.375,2,0.0625,0,0.92260987,3.0,0.9862646491132928
157,3.375,51,0.5625,9,0.9383206,3.0,0.9706830799378248
158,1.1875,15,0.0,0,0.9271215,3.0,0.9846816658688368
159,0.1875,1,0.6875,11,0.9254529,3.0,0.99697248914045
160,0.6875,7,0.625,16,0.92931575,3.1622776601683795,0.9476821942426924
161,11.0,158,3.5,49,0.75732434,6.082762530298219,0.7778289929407016
162,3.75,42,1.0,28,0.8886842,2.8284271247461903,0.9359057655561084
163,0.625,6,0.3125,2,0.8985235,4.0,0.9630760820458872
164,0.3125,1,0.0,1,0.92404807,1.0,0.9976187296886508
165,0.0,0,0.0,0,0.90861154,1.0,0.998794498691268
166,0.0625,1,0.0,0,0.9285198,2.0,0.9955667903652682
167,0.9375,7,0.5625,16,0.9084148,2.0,0.983048239149764
168,0.875,9,0.125,2,0.9265329,3.0,0.9652136857568996
169,1.0,12,2.5625,40,0.91644466,3.1622776601683795,0.9703181570034308
170,0.5,5,0.0,5,0.9041525,4.0,0.974408978586033
171,64.75,955,18.3125,289,0.397439,18.06926332679739,0.3702883144854241
172,46.1875,680,16.4375,258,0.63914686,12.0,0.6641882959698497
173,16.6875,246,15.4375,240,0.7356222,6.0,0.7928639467980215
174,75.25,1128,21.1875,335,0.38559884,19.0,0.3557052193355025
175,77.8125,1149,8.8125,98,0.10212367,12.0,0.0658198300020872
176,73.375,1083,6.125,57,0.2849634,11.0,0.2528407950583028
177,86.4375,1258,20.5,287,0.1453545,11.0,0.1363044173143559
178,21.75,306,17.125,281,0.667393,5.0,0.6495381419335979
179,19.625,268,13.0625,182,0.5372408,4.0,0.5554702340212027
180,35.8125,479,11.0,132,0.46502826,4.47213595499958,0.444572094937156
181,92.0,1354,10.8125,128,0.10079201,13.92838827718412,0.0967674994947004
182,17.875,224,14.8125,209,0.6269723,4.0,0.6488762965140764
183,43.5625,663,12.625,207,0.63445395,17.0,0.6445643837773093
184,30.375,396,11.5,280,0.6803328,3.0,0.7601553623120186
185,10.0,152,10.25,164,0.8051913,5.0,0.8713578725622447
186,75.625,1129,24.125,390,0.36582252,19.0,0.3296736660911717
187,28.5625,414,13.125,205,0.6526904,5.0,0.6650239824744862
