ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.25,4,0.3125,3,0.8112796,4.0,0.9859546226269488
072,0.3125,4,0.125,0,0.9420003,2.23606797749979,0.9954308320580386
073,0.375,1,0.5625,7,0.94004434,1.0,0.9920090374720346
074,0.125,1,0.1875,2,0.9722985,1.0,0.9975826546171296
075,0.1875,1,0.0,1,0.92340267,2.0,0.9956166071098348
076,0.3125,3,0.5,5,0.935351,1.0,0.9976100564588478
077,0.0625,0,0.0625,0,0.9236206,1.0,0.9999556088249656
078,0.25,4,0.0,0,0.8166331,3.0,0.9509184368234068
079,1.3125,14,0.0625,1,0.9154217,3.0,0.9819715340010544
080,0.0625,1,0.125,2,0.888156,2.0,0.997635351037372
081,0.375,1,0.3125,5,0.84090716,3.0,0.9929990734067744
082,1.125,14,0.3125,7,0.82347286,2.0,0.9839826477876285
083,0.3125,5,0.125,2,0.9517811,2.0,0.9933641889254446
084,0.25,0,0.0,0,0.9677546,1.0,0.999710843373494
085,0.0625,0,0.0625,1,0.9227238,2.0,0.9986008394963022
086,0.125,0,0.0,0,0.9173749,2.0,0.9921842863019332
087,0.75,3,0.5625,2,0.8389083,4.0,0.9805848444216352
088,0.375,2,0.0,1,0.90385574,2.23606797749979,0.9923138086403392
089,0.125,0,0.0,0,0.89155966,2.0,0.9946610308896332
090,0.625,1,0.125,0,0.8411342,3.0,0.9877803930061204
091,1.0,6,0.25,4,0.8972298,3.0,0.9914885124975452
092,0.3125,2,0.0625,1,0.94790536,2.0,0.996143190830572
093,0.3125,1,0.4375,8,0.959005,1.0,0.9866452324363876
094,0.125,0,0.0,0,0.9318032,2.0,0.99898717083052
095,0.25,4,0.4375,3,0.94125926,1.0,0.996225393621382
096,0.25,2,0.125,0,0.9045226,1.0,0.9985450647063328
097,0.3125,3,0.1875,2,0.88670886,3.0,0.9927723050555464
098,0.625,2,0.0625,1,0.94222367,2.0,0.995964536037196
099,0.4375,5,0.125,3,0.916704,1.0,0.9942932143178016
100,0.25,1,0.0,0,0.9595138,1.0,0.9981934462247116
101,0.0625,0,0.125,1,0.92920244,1.0,0.9976785013569874
102,0.3125,2,0.25,2,0.88146394,3.0,0.989465076165462
103,2.5,35,1.1875,18,0.86317575,4.0,0.95609714206884
104,0.3125,0,0.25,3,0.86585134,3.0,0.9912256614805214
105,0.0,0,0.0,0,0.96123713,1.0,0.9999129374891172
106,0.375,1,0.0625,1,0.9380484,1.0,0.99809162597758
107,0.3125,2,0.1875,1,0.77349406,2.0,0.9904149719844136
108,0.25,2,0.0625,0,0.8950846,1.4142135623730951,0.9972588875300468
109,0.6875,1,0.0625,0,0.8292411,4.0,0.9917073593667364
110,0.5625,7,0.0625,0,0.8791072,2.0,0.9939668902618908
111,0.0625,0,0.0625,1,0.92492557,1.0,0.99639676635242
112,0.1875,1,0.1875,1,0.8620128,1.4142135623730951,0.9960062186205654
113,0.3125,2,0.0625,0,0.8626609,2.0,0.996933821650626
114,0.5,4,0.1875,2,0.86763006,3.0,0.9890348016984232
115,0.3125,3,0.0,0,0.95052993,1.0,0.9970669018555952
116,0.3125,2,0.0625,0,0.93651634,1.0,0.998854961832061
117,0.25,2,0.125,0,0.9500068,1.0,0.9989441390203369
