ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,4.875,36,0.1875,36,0.75446695,4.47213595499958,0.9628556211670656
072,4.5,36,0.1875,28,0.9126236,3.1622776601683795,0.9860254189454836
073,1.5,7,2.3125,47,0.89555705,1.4142135623730951,0.9875454792432894
074,5.0,26,3.3125,103,0.9123739,1.4142135623730951,0.985079744163044
075,3.9375,27,0.0625,33,0.8628469,3.0,0.9822027279525356
076,0.5625,7,1.3125,16,0.9411492,1.0,0.9960552565239632
077,5.0,26,0.625,58,0.92730635,2.0,0.989912395301846
078,8.0625,73,0.75,64,0.7576544,3.0,0.9309780361870532
079,2.3125,29,0.125,1,0.8823379,4.0,0.9714262989213084
080,6.1875,53,0.75,50,0.8177574,2.0,0.9789369264907772
081,5.4375,41,0.1875,35,0.77815086,4.0,0.9715162784525854
082,2.375,22,3.4375,68,0.74244934,2.23606797749979,0.976304324343422
083,4.0,33,1.0,46,0.9015691,3.0,0.9788972777916126
084,4.8125,37,1.5625,67,0.9219093,2.0,0.9880875845881476
085,4.8125,34,0.1875,33,0.8728261,3.0,0.9891066608787484
086,4.125,28,0.5,42,0.8733819,3.0,0.9783411402520892
087,5.875,38,0.8125,53,0.78945047,4.0,0.9620467183373768
088,4.375,56,0.3125,6,0.8241707,4.47213595499958,0.9535330628049978
089,4.6875,48,0.5625,26,0.8590786,3.0,0.9716627914148152
090,4.75,34,0.125,39,0.7764126,4.0,0.972728159738992
091,5.625,48,0.125,30,0.8592941,3.605551275463989,0.9784283118914114
092,3.0625,21,1.25,45,0.90820116,2.8284271247461903,0.9877246924035272
093,5.4375,35,2.5625,85,0.89568365,2.0,0.9731667886441266
094,4.3125,35,0.0,31,0.8657732,3.0,0.9864070830305012
095,1.25,6,2.625,54,0.9536597,1.0,0.9949907581607846
096,3.1875,21,0.9375,41,0.8684525,2.0,0.9919166759670662
097,4.4375,33,0.1875,33,0.8259099,4.0,0.9795328389891712
098,5.25,53,0.0,27,0.9085097,3.0,0.9780682487099076
099,2.6875,8,1.5625,53,0.8786605,2.0,0.9896301195997654
100,5.75,38,1.1875,64,0.8893736,2.0,0.9847371336599096
101,1.6875,13,1.875,43,0.91817725,1.0,0.993719982366378
102,6.125,49,0.25,44,0.81259024,4.0,0.9654285083423284
103,9.9375,130,0.6875,16,0.81376874,5.0,0.9177129563171806
104,5.75,42,0.1875,37,0.8105393,4.0,0.972630156553126
105,5.1875,39,3.4375,91,0.9074488,2.0,0.9860665854681878
106,4.8125,26,1.3125,65,0.94757813,1.0,0.9894369397052214
107,1.875,10,2.375,55,0.7120348,2.0,0.9867502398876434
108,7.3125,76,1.0,43,0.83483285,2.0,0.9775762552424936
109,4.25,29,0.125,33,0.77597743,5.0,0.9738564159899168
110,5.8125,48,1.375,56,0.8287545,2.0,0.9800024033593048
111,2.3125,12,2.125,51,0.89061147,2.0,0.9890569155714012
112,2.6875,10,1.3125,48,0.7891254,2.0,0.9868579925957564
113,6.5625,58,0.625,53,0.80170643,2.0,0.9782806677320112
114,4.5625,42,0.375,30,0.7974785,4.123105625617661,0.9643151413385632
115,4.875,28,2.3125,86,0.8870644,2.0,0.981646984682415
116,5.375,40,0.625,43,0.927027,2.0,0.9884067705104508
117,2.125,8,2.25,54,0.94048834,1.0,0.9950824453743372
118,4.25,27,0.3125,37,0.9210925,2.0,0.990225076404908
119,5.5625,32,3.0625,98,0.9006993,2.0,0.9853742282073332
120,1.0,3,2.375,46,0.9177611,1.0,0.9962711138208636
121,9.875,123,1.3125,13,0.84096026,4.123105625617661,0.922745393901069
122,3.8125,33,0.3125,26,0.7680297,5.0,0.9027408821651812
123,3.0625,23,2.1875,50,0.93022054,1.0,0.9917360317219054
124,2.1875,29,14.875,280,0.2953776,18.97366596101028,0.319524886185488
125,4.625,44,0.8125,29,0.81609756,4.242640687119285,0.9244416028181016
126,2.1875,23,0.0,9,0.9606012,2.0,0.9901712357610246
127,3.75,25,1.75,53,0.91105145,1.4142135623730951,0.9845962343971936
128,3.125,35,0.125,7,0.94685495,2.8284271247461903,0.9838445294522696
129,5.0,32,1.6875,72,0.9439835,1.4142135623730951,0.98202551224965
130,9.5,137,0.125,3,0.8766126,30.59411708155671,0.8719415174243564
131,3.875,36,0.75,23,0.8344054,5.0,0.9320182347023144
132,1.625,17,0.1875,4,0.94130564,2.8284271247461903,0.9833092977203888
133,11.3125,156,4.8125,66,0.6169546,8.54400374531753,0.7176020094402703
134,6.8125,81,1.25,40,0.8840146,4.0,0.9443238419601756
135,6.625,86,1.3125,10,0.89724916,5.0990195135927845,0.9129193643131492
136,16.9375,245,15.375,274,0.42560956,19.92485884517128,0.3350789896983814
137,6.1875,56,1.5,31,0.89445186,2.0,0.9696056302488308
138,2.8125,29,0.1875,8,0.88178414,4.0,0.9687657963776576
139,29.25,454,0.5625,9,0.8367964,48.17571188845759,0.7110662267945956
140,2.5625,27,0.3125,1,0.9147206,4.0,0.9598225391171454
141,2.75,37,0.1875,0,0.85482836,4.123105625617661,0.963450502659668
142,18.5625,262,3.4375,50,0.6548397,21.587033144922906,0.622471040176546
143,3.125,41,0.1875,4,0.93884367,2.8284271247461903,0.9788742049878492
144,10.5625,148,0.375,1,0.8691987,27.73084924772409,0.8573141389241486
145,6.75,92,0.6875,0,0.8901274,5.0,0.9255102703578556
146,3.75,30,0.875,17,0.8274428,3.605551275463989,0.9591440067677472
147,2.5625,27,16.0,283,0.38489997,23.778127871583678,0.3767260666870361
148,3.125,37,0.5625,3,0.8160879,4.242640687119285,0.9566829720864056
149,1.75,22,0.1875,2,0.94401765,3.0,0.974212926940503
150,12.0,170,0.6875,6,0.7474144,33.60059523282288,0.7501550126841723
151,16.875,242,2.875,35,0.69661194,16.1245154965971,0.738603643213869
152,4.6875,52,0.625,15,0.89606816,3.1622776601683795,0.9719062615630516
153,17.5,235,3.75,53,0.6350101,19.0,0.6068571374118612
154,8.6875,104,1.0625,23,0.8374403,4.242640687119285,0.9139788683935548
155,3.5625,43,20.3125,370,0.3065102,19.0,0.3171835309934073
156,2.625,29,0.4375,3,0.88658994,4.242640687119285,0.9512012497714296
157,21.75,330,0.5,5,0.83037907,34.713109915419565,0.7684741827486271
158,4.1875,58,0.0,0,0.86495316,6.0,0.9474161143912636
159,1.9375,22,0.125,2,0.94328,3.605551275463989,0.9665369332739252
160,4.75,43,0.8125,35,0.9011657,4.0,0.94753148073157
161,12.6875,163,3.3125,38,0.5689665,11.0,0.6400657228859168
162,11.375,143,1.5,23,0.8368861,5.0,0.9122346183579152
163,3.875,35,0.1875,25,0.85871583,4.47213595499958,0.955819745919252
164,4.6875,28,0.625,45,0.9061093,1.4142135623730951,0.9861458939055416
165,3.625,16,1.0,28,0.94184464,1.4142135623730951,0.9876926843882722
166,6.75,69,0.5,35,0.90270936,2.23606797749979,0.9685837779776972
167,5.125,37,1.3125,51,0.83659035,2.8284271247461903,0.9664696296562252
168,7.4375,102,0.1875,3,0.8557511,26.019223662515376,0.8861139471133206
169,4.125,51,0.6875,0,0.87836546,4.47213595499958,0.9409120568593076
170,4.3125,36,0.125,28,0.8712294,4.123105625617661,0.9664791354779716
171,2.5625,29,15.1875,282,0.3918512,19.0,0.4113387417339055
172,3.125,42,20.8125,380,0.4999469,19.0,0.5145352477225373
173,23.375,332,3.625,49,0.7862627,22.20360331117452,0.7202062783645372
174,2.1875,22,9.8125,182,0.28032953,18.0,0.3056251301463267
175,2.25,16,19.4375,346,0.20637219,11.0,0.1735752330794494
176,2.4375,16,20.0625,359,0.2559086,11.04536101718726,0.2625364740363085
177,1.75,17,15.8125,259,0.1981247,11.0,0.1962732255046116
178,4.0625,51,18.9375,327,0.45892867,17.0,0.4742929963221943
179,1.375,13,12.0,190,0.3292184,11.180339887498947,0.3393527464575984
180,1.1875,13,13.6875,208,0.3311078,10.770329614269007,0.3174503893311276
181,2.375,22,15.5,248,0.23017412,12.649110640673518,0.2346666236754239
182,4.9375,52,20.625,349,0.4756161,13.0,0.5096324259728913
183,2.1875,30,18.8125,341,0.46040976,23.0,0.4830429264839967
184,2.0,18,9.875,130,0.5089501,6.0,0.6165205145374848
185,35.4375,523,3.0,45,0.760175,23.0,0.6617898340644534
186,1.25,13,11.25,210,0.2790735,18.83463716129452,0.283712598362735
187,2.5,22,12.625,238,0.40010414,15.556349186104043,0.4195055369604085
188,3.25,41,14.0625,243,0.29357308,17.46424919657298,0.2938488861701346
189,2.0625,23,14.4375,244,0.23929957,11.0,0.2296619142736689
190,17.5625,247,14.0625,240,0.60661167,19.0,0.5465461101295704
191,2.6875,35,17.0625,282,0.38877842,13.0,0.4001673766086676
192,2.75,28,12.0,200,0.2534122,12.0,0.2387779253251928
193,9.375,122,25.4375,445,0.51868933,24.0,0.4770470840450798
194,23.9375,324,4.4375,46,0.70187086,10.770329614269007,0.7573431568058103
195,7.1875,91,23.5,416,0.5310094,19.95115824936122,0.5127485928665946
196,20.125,292,1.8125,16,0.8508789,15.0,0.8471980840766566
197,25.3125,381,1.8125,17,0.8238694,17.0,0.7940934035968306
198,1.6875,13,9.6875,172,0.24835402,16.1245154965971,0.2599398890206938
199,16.6875,236,1.25,10,0.85330033,16.0,0.8579729060898917
200,2.875,31,12.375,221,0.2034898,19.0,0.2169881467123448
201,2.25,19,13.8125,243,0.24334478,14.0,0.2496009910580083
202,2.875,29,18.0,311,0.43396273,17.0,0.4638438068046213
203,1.1875,16,12.0625,192,0.37272918,12.083045973594572,0.3736846193687515
204,0.9375,6,14.5,231,0.37009934,12.0,0.3792904497987149
205,28.875,398,7.1875,104,0.6713411,14.0,0.6786987946595373
206,2.625,27,18.0625,306,0.2548494,9.909545442950352,0.2180690996544857
207,2.9375,31,18.625,323,0.45762986,18.0,0.4586965367917675
208,29.75,441,3.25,47,0.75805384,25.0,0.6516673762871472
209,2.1875,24,15.875,280,0.31168637,23.0,0.2587419295649852
210,2.75,24,15.0,267,0.31722584,15.0,0.3247937171076764
211,14.9375,212,0.875,1,0.90742993,11.0,0.8862417079443398
212,4.6875,43,13.625,204,0.3094233,12.0,0.2985140348264047
213,22.625,327,2.625,31,0.7458139,18.0,0.7386676948716291
214,2.875,25,16.5,286,0.41106996,13.0,0.4164990459934817
215,2.0,21,12.6875,204,0.36134544,11.0,0.3534816492333935
216,14.75,181,19.75,351,0.52697164,20.0,0.464512514269272
217,2.0625,24,23.875,404,0.3814978,10.0,0.3759913480693853
218,4.9375,71,23.375,428,0.4999387,18.842210040076672,0.5001258071326425
219,30.4375,446,5.3125,92,0.7481806,27.0,0.6152595402715513
220,3.375,31,12.9375,235,0.26849994,22.0,0.2232616765322551
221,9.75,118,8.5625,141,0.6908186,13.0,0.7052380870036236
222,8.0625,109,1.4375,25,0.46400687,81.0,0.5142237934753802
223,8.625,119,0.3125,0,0.77903455,31.0,0.7923540796935367
224,2.0625,30,0.1875,4,0.7949354,29.0,0.8635377962334092
225,24.5625,292,25.9375,476,0.22915894,52.0,0.1849109056585718
226,24.375,362,11.1875,195,0.49477252,39.01281840626232,0.4335123768093452
227,1.1875,13,0.0,5,0.7418349,45.02110357326155,0.8043672740145873
228,1.5,13,0.5,3,0.61292934,33.95585369269929,0.8067811171325944
229,8.5625,108,1.25,12,0.5995861,28.0,0.6896163575264522
230,27.4375,405,3.25,51,0.36394843,34.0,0.3492115789922329
231,1.0,9,0.25,7,0.7461107,21.0,0.8588783270263578
232,1.1875,10,0.1875,3,0.6462294,27.0,0.7844021448300005
233,19.0625,290,1.1875,20,0.3715427,44.0,0.4638689710223404
234,10.1875,148,3.25,61,0.6273154,62.0,0.6450161979718633
235,3.1875,29,0.75,21,0.45872638,35.65947700890146,0.8257614949509962
236,9.6875,112,12.5,230,0.4271413,95.0,0.5161488881588813
237,0.875,8,0.3125,1,0.8816134,5.0,0.9595181492033114
238,6.4375,76,3.3125,57,0.41531384,45.044422518220834,0.552810329255369
239,19.0625,261,17.75,303,0.22565623,38.3275357934736,0.2752145515739913
240,12.8125,173,27.625,495,0.49909627,55.0,0.487948895861911
241,15.25,206,3.0625,49,0.5251141,31.016124838541646,0.5759701816300278
242,7.8125,70,1.5,26,0.81184685,9.0,0.884359653897767
243,4.5,36,0.5,23,0.90669495,2.8284271247461903,0.9725824914788068
244,17.875,241,15.625,286,0.43425375,43.0,0.3915866773385157
245,9.0625,141,1.0,17,0.38364422,37.01351104664349,0.4416179444349364
246,35.0625,458,17.375,321,0.14235935,59.0,0.1186926049356096
247,24.9375,371,1.875,36,0.7869308,41.0,0.6954937595795928
248,1.25,15,0.0,2,0.93274444,3.605551275463989,0.992186269184465
249,2.125,21,0.375,5,0.7339203,28.284271247461906,0.8129001334632137
250,14.5,200,0.625,9,0.7845014,32.21641690322874,0.6787037317711305
251,15.5625,210,3.75,38,0.31483835,20.0,0.3539843064437979
252,11.3125,151,2.0625,6,0.2605895,25.0,0.3955247226448443
253,4.5,53,0.6875,5,0.80049664,13.0,0.8869062160348158
254,3.0625,36,4.3125,81,0.6481981,32.0,0.736326772211408
255,18.9375,272,11.9375,215,0.36148986,35.4400902933387,0.3693009760294901
256,5.875,79,7.5625,138,0.5591814,51.0,0.6217428277855475
257,8.125,110,1.25,17,0.6414303,30.0,0.7211702274406855
258,5.4375,68,1.1875,17,0.6507044,27.0,0.7479562490308058
259,8.0,106,17.375,334,0.28944921,35.0,0.3358970238215792
260,22.1875,299,27.0625,463,0.38895068,46.0,0.3825272560654063
261,2.8125,29,0.375,16,0.83857894,5.0990195135927845,0.9485515819222964
262,5.8125,52,1.0625,30,0.8159313,12.0,0.9105452592836674
263,4.75,42,1.5625,1,0.7815576,7.0,0.8780333942984964
264,5.6875,62,0.8125,0,0.4994828,22.0,0.7048869813646247
265,16.1875,228,4.875,83,0.32531935,53.0,0.4134865310770382
266,9.9375,119,1.0,12,0.42882216,21.0,0.6707057114965517
267,25.75,388,3.4375,58,0.6907831,64.0,0.5398105484602542
268,4.3125,67,0.3125,7,0.771122,28.0,0.8049894054655571
269,11.3125,159,2.0,33,0.72310966,41.08222344680028,0.6326400772155288
270,23.625,320,4.4375,52,0.22944729,21.840329667841555,0.278173176465372
271,3.125,38,0.3125,3,0.48865935,140.7188626372115,0.7351400852951775
272,7.4375,97,1.25,19,0.47749943,98.04437652554338,0.595352745628541
273,14.625,204,2.5,40,0.52373445,209.63873624024,0.3692837131322935
274,6.0,82,2.375,48,0.55607253,78.1056975498903,0.6123011831298609
275,4.125,28,4.9375,94,0.6846189,2.0,0.9321900574238486
276,2.6875,31,1.4375,17,0.4814166,115.06453229709582,0.7492454405372617
277,4.375,53,45.375,820,0.15130286,342.20972732901873,0.1223516798033623
278,1.75,18,0.5,2,0.7825538,63.0,0.863052385264347
279,8.625,112,3.0,55,0.29682606,154.12738130055507,0.4414492576591837
280,6.375,75,0.5625,11,0.66776365,163.79850031909066,0.7127273397904555
281,5.125,56,1.9375,36,0.29647282,91.6624241442479,0.5935683870940583
282,4.6875,44,2.1875,14,0.38471562,22.84731931759173,0.8148224673822384
283,3.625,30,0.8125,26,0.6365735,43.28972164382672,0.8747746710675925
284,1.5,23,1.0625,22,0.2733998,398.0434649283479,0.3450292397660819
285,4.5625,62,2.0,37,0.55827224,85.60224683055047,0.7221894305012859
286,4.625,57,10.25,184,0.26780838,243.29385458819556,0.4916376562025647
287,4.875,20,1.3125,42,0.50706214,3.605551275463989,0.9160554045414117
288,9.0,130,4.0625,76,0.32295993,164.3882536539876,0.4867474874844765
289,9.8125,143,1.6875,34,0.40504056,302.0711831739009,0.4001201562030639
290,1.75,24,0.9375,7,0.019814374,221.0,0.0631274384642
291,8.375,101,14.8125,260,0.1457347,299.2139588718009,0.1544216878243293
292,4.4375,46,3.0,37,0.5346329,116.2497311824849,0.6625899579441059
293,2.9375,33,0.3125,1,0.65754944,19.4164878389476,0.8978990624129873
294,3.0,24,2.125,9,0.8111428,1.4142135623730951,0.9539152179789468
295,24.5,362,3.5625,62,0.1574269,81.0527605364646,0.1031007341952515
296,9.875,131,7.0,121,0.47513044,166.02168497651277,0.5706800501522505
