ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.5625,7,1.0,14,0.82681763,3.1622776601683795,0.986787454130798
072,0.3125,4,0.4375,7,0.94527906,2.8284271247461903,0.9944616102795876
073,0.6875,6,0.625,2,0.94654447,1.0,0.9938931647449694
074,0.0625,1,0.1875,2,0.9794903,1.0,0.9978414131817928
075,0.25,4,0.0,0,0.9288423,2.0,0.9987153423272735
076,0.125,0,0.75,10,0.9289599,1.0,0.997099204887124
077,0.0,0,0.0,0,0.93743664,1.0,0.9995555160458708
078,1.3125,17,0.0,2,0.84142894,2.0,0.9789302306156056
079,0.8125,7,0.0625,1,0.92119175,3.0,0.989279588336192
080,0.125,2,0.1875,3,0.8648434,2.0,0.995587475123831
081,0.5,3,0.5,8,0.84892577,3.0,0.9870357958784156
082,2.9375,34,2.0,30,0.8526414,1.4142135623730951,0.9812582521591358
083,0.4375,6,0.0625,0,0.95474696,1.4142135623730951,0.9936003758242818
084,0.25,1,0.4375,6,0.97060555,1.0,0.9988388969521044
085,0.0625,0,0.0,0,0.92534333,2.0,0.999398435933427
086,0.6875,6,0.0625,1,0.9286073,2.0,0.9947487644151564
087,1.0625,9,1.375,21,0.86090064,3.0,0.9836837568521504
088,0.375,2,0.0,1,0.9085104,2.23606797749979,0.9939566299324564
089,0.375,3,0.6875,10,0.8874142,2.23606797749979,0.9891837386607186
090,1.0,4,0.875,9,0.8537511,3.0,0.984250428233958
091,0.9375,7,0.4375,8,0.90073025,3.0,0.992519078253266
092,0.25,1,0.0625,1,0.95443213,2.0,0.9975463909614204
093,0.5,5,0.6875,12,0.96632314,1.0,0.9865849016076946
094,0.125,0,0.0,0,0.9339663,2.0,0.9990400361398158
095,0.6875,10,0.375,6,0.94218916,1.0,0.9951781714495412
096,0.0,1,0.125,0,0.90339607,1.0,0.9988867363312458
097,0.5,3,0.1875,2,0.89634204,2.8284271247461903,0.9931694085181236
