ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.3125,5,0.375,4,0.82101554,3.1622776601683795,0.9905663150922434
072,0.25,3,0.3125,2,0.94025284,2.8284271247461903,0.9945713565426624
073,0.5,2,0.3125,0,0.94230354,1.0,0.9940411244667884
074,0.1875,1,0.125,2,0.97517383,1.0,0.9981025303110744
075,0.0625,1,0.0625,1,0.92728376,2.0,0.9982143354330996
076,0.4375,5,0.6875,10,0.9235641,1.0,0.9972330342191832
077,0.125,0,0.0,0,0.9244335,1.0,0.9998668146503884
078,0.8125,6,0.0625,2,0.8477966,2.0,0.9753413580739366
079,0.8125,6,0.5,8,0.91892344,3.0,0.9776923912127786
080,0.1875,0,0.1875,3,0.8911193,2.0,0.9976335581340507
081,0.4375,1,0.3125,4,0.84272534,3.0,0.9914724833146552
082,1.0625,13,1.0,10,0.8416916,2.0,0.9854227953907032
083,0.875,14,0.0625,1,0.9565688,1.4142135623730951,0.9955646395498856
084,0.25,0,0.0,1,0.9702902,1.0,0.9997584097558389
085,0.125,1,0.0,0,0.9289412,2.0,0.9990488645575588
086,0.5,6,0.125,2,0.92221504,2.0,0.9948633655229094
087,0.9375,5,0.9375,7,0.8482795,3.1622776601683795,0.98401123711056
088,0.5,5,0.0625,2,0.90685475,2.23606797749979,0.9932203389830508
089,0.0625,1,0.125,2,0.8913476,2.23606797749979,0.990097656256143
090,0.6875,1,0.5625,4,0.8456656,3.0,0.9873650742380548
091,0.75,2,0.25,4,0.89723194,3.0,0.9949599069488412
092,0.125,0,0.0,0,0.95056885,2.0,0.9971550114333748
093,0.4375,3,0.4375,8,0.9632885,1.0,0.985261859539271
094,0.0625,0,0.0,0,0.93318355,2.0,0.9987614007431596
095,0.1875,1,0.1875,0,0.93020993,1.0,0.9977599829717708
096,0.1875,1,0.0625,0,0.91040164,1.0,0.9993482374019416
097,0.375,2,0.1875,3,0.8902301,3.0,0.9957777084649806
098,0.8125,1,0.25,4,0.9441204,2.0,0.998434028840892
099,0.3125,1,0.1875,4,0.9112142,1.0,0.9950232666497898
100,0.3125,1,0.0,0,0.9631982,1.0,0.999189356112868
101,0.375,2,0.1875,3,0.9244361,1.0,0.9982140684497008
102,0.3125,3,0.125,1,0.8852935,3.0,0.991911033289196
103,2.4375,34,2.3125,35,0.8631751,3.0,0.9619466726926682
104,0.625,4,0.125,1,0.8743455,3.0,0.9934010448704684
