ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.5,4,0.625,8,0.823584,3.1622776601683795,0.98841931655441
072,0.375,3,0.1875,1,0.9449433,2.23606797749979,0.9968003249374418
073,0.25,0,0.5625,7,0.9499403,1.0,0.9925988126552036
074,0.1875,2,0.125,2,0.9771869,1.0,0.9976196665216732
075,0.0625,0,0.1875,3,0.9294347,2.0,0.9972661192551976
076,0.25,4,0.875,9,0.93258965,1.0,0.9974716402959865
077,0.125,0,0.0,0,0.9350961,1.0,0.9998666607404774
078,0.4375,6,0.0,0,0.8463934,2.0,0.9823846756199288
079,0.8125,6,0.0,0,0.9233499,3.0,0.9884692690151275
080,0.25,2,0.3125,0,0.8696019,2.0,0.9937651180117284
081,0.1875,0,0.375,6,0.8473988,3.0,0.9923226532910226
082,1.8125,23,0.4375,13,0.8446455,1.4142135623730951,0.9839632899175093
083,0.5625,8,0.625,10,0.9480454,2.0,0.9882898115446624
084,0.375,2,0.1875,2,0.9703525,1.0,0.9988393040363464
085,0.0,0,0.0,0,0.92810565,2.0,0.9996491403939652
086,0.375,4,0.0625,1,0.9228667,2.0,0.9939097996028112
087,1.125,6,0.75,6,0.85562104,3.0,0.9860785079129838
088,0.375,2,0.125,3,0.9111279,2.0,0.9950984760716516
089,0.3125,3,0.25,4,0.89529186,2.0,0.9919183790970504
090,1.0,5,0.625,6,0.84882396,3.0,0.9862819448733896
091,0.6875,2,0.3125,5,0.89763975,3.0,0.9933086054552384
092,0.25,3,0.0625,1,0.9525222,2.0,0.9984229041929392
093,0.5625,6,0.4375,8,0.96344763,1.0,0.987931450968882
094,0.375,0,0.0,0,0.9340768,2.0,0.9988176341422218
095,0.125,2,0.125,1,0.94250166,1.0,0.9983184411516948
096,0.3125,4,0.125,0,0.90687174,1.0,0.9986581707901172
097,0.4375,4,0.125,2,0.89257085,3.0,0.9955347447337424
098,1.375,8,0.4375,7,0.94440746,2.0,0.995591197265792
099,0.25,2,0.125,3,0.9125034,1.0,0.994460495854124
100,0.375,3,0.125,2,0.9662094,1.0,0.99942931422478
101,0.25,2,0.125,0,0.9265188,1.0,0.9981659889589662
102,0.375,1,0.375,3,0.89198375,3.0,0.9914714813630284
103,5.125,78,3.3125,53,0.84597117,3.605551275463989,0.9397062518299922
