ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.1875,2,0.125,0,0.82047784,3.605551275463989,0.9900605820318013
072,0.1875,3,0.25,2,0.9425585,2.23606797749979,0.9962587828576108
073,0.875,9,0.6875,8,0.94583017,1.0,0.9922626546417528
074,0.25,2,0.125,3,0.9757272,1.0,0.9969207939157856
075,0.25,3,0.0,0,0.92782885,2.0,0.9977073094073806
076,0.3125,3,0.6875,10,0.92564815,1.0,0.9979326911940304
077,0.125,1,0.0,0,0.92643744,1.0,0.9989790029742086
078,0.6875,6,0.75,12,0.83704686,2.0,0.9684619074384768
079,1.1875,10,0.5,8,0.9179516,3.0,0.9714946881245398
080,0.25,4,0.25,4,0.8886996,2.0,0.99656726558721
081,0.3125,2,0.375,6,0.8475533,3.0,0.9936170873351168
082,1.75,16,1.0,18,0.8480506,1.4142135623730951,0.9841770323154724
083,0.4375,7,0.125,2,0.9521634,2.0,0.995358784141306
084,0.4375,3,0.0,0,0.9693429,1.0,0.9995184436097468
085,0.125,1,0.0625,1,0.9275118,2.0,0.9992985950963416
086,0.375,3,0.0,0,0.9203658,2.0,0.995413553207936
087,1.1875,8,0.625,7,0.84979856,3.605551275463989,0.9832037156875316
088,0.375,3,0.0625,2,0.9128578,2.0,0.9939716312056738
089,0.4375,3,0.1875,3,0.8898103,2.0,0.9931301317667398
090,0.6875,2,0.3125,1,0.8432163,3.0,0.9879942865362598
091,0.875,5,0.4375,7,0.8988083,3.0,0.9931993453482236
092,0.125,2,0.0625,1,0.9485095,2.0,0.9972192375495348
093,0.6875,8,0.3125,7,0.96344775,1.0,0.9857851988427436
094,0.25,0,0.0625,1,0.9350261,2.0,0.999267450059536
095,0.25,4,0.1875,0,0.93672466,1.0,0.9978598399716944
096,0.1875,1,0.0625,0,0.91203594,1.0,0.9991950219027752
097,0.5625,3,0.25,4,0.89022946,3.0,0.995421885155583
