ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.5625,5,0.25,0,0.8541144,3.0,0.991754320718699
072,0.0625,1,0.125,0,0.9283761,2.8284271247461903,0.9958741411905614
073,0.4375,3,0.3125,5,0.9306493,1.0,0.9927033261058918
074,0.0625,1,0.125,1,0.96703655,1.0,0.9981354687807936
075,0.1875,2,0.0,0,0.92059124,2.0,0.9973241784873736
076,0.4375,2,1.375,23,0.9278665,1.0,0.9944849865875246
077,0.125,1,0.125,1,0.93948066,2.0,0.9987955569433912
078,10.1875,135,1.1875,16,0.7518834,6.0,0.8603813628034539
079,0.9375,13,0.0,0,0.93294144,2.8284271247461903,0.9893336149540606
080,0.625,9,0.25,4,0.8449385,2.0,0.9925329498682754
081,0.25,0,0.1875,2,0.88411266,2.23606797749979,0.9945386701198
082,1.0625,6,0.875,12,0.8328929,2.0,0.9845999553517524
083,0.5,7,0.3125,4,0.9350163,2.0,0.9866610666978723
084,0.375,0,0.0,1,0.9634318,1.0,0.9987422552841708
085,0.25,3,0.0,0,0.9224016,2.0,0.997841376041597
086,0.0,0,0.0,0,0.9231851,2.0,0.9951935500542664
087,1.375,16,0.25,2,0.8783668,2.8284271247461903,0.9856137758846064
088,0.5625,6,0.125,3,0.90800846,2.23606797749979,0.9808247964276332
089,0.4375,2,0.0,0,0.84855056,3.605551275463989,0.988332942875468
090,0.875,6,0.1875,1,0.8686419,3.0,0.9880921584700948
091,0.8125,1,0.0625,1,0.9043094,3.0,0.9959856370904936
092,0.75,8,0.8125,13,0.94293725,2.0,0.990399686524897
093,0.5625,4,0.3125,5,0.96026284,1.0,0.9878905003084604
094,0.1875,0,0.0625,1,0.92926115,2.0,0.9995484371182968
095,0.1875,3,0.4375,5,0.93773854,1.0,0.9962617316357064
096,0.0625,2,0.0625,0,0.8848662,2.0,0.9976600560052168
097,0.125,0,0.125,2,0.91652226,2.0,0.997194699827164
098,0.875,3,0.0,0,0.9301104,2.23606797749979,0.9967357134500944
099,0.125,1,0.125,3,0.9058238,2.0,0.9959387448891626
100,0.3125,1,0.0,1,0.95995915,1.0,0.9976180941797927
101,0.3125,2,0.1875,2,0.92648405,1.0,0.9979442638123522
102,0.8125,12,0.25,4,0.89875364,2.23606797749979,0.9885569676035628
103,8.375,124,5.6875,100,0.67570287,8.0,0.7445897566305337
104,0.5625,4,0.0625,0,0.8930701,2.8284271247461903,0.9928931952093012
105,0.0625,0,0.0,0,0.9681782,1.0,1.0
106,0.3125,0,0.0625,1,0.95267373,1.0,0.9981720808873896
107,0.5625,3,0.1875,1,0.73477066,2.0,0.9888482214342904
108,0.75,9,0.0625,0,0.8718346,2.0,0.9939791747114404
109,0.5625,2,0.0,1,0.86568916,3.0,0.9958088113965128
110,0.5,5,0.25,2,0.8523398,2.0,0.992563212692117
111,0.375,1,0.25,2,0.92716336,1.0,0.9957150232997414
112,0.5,2,0.25,1,0.8285988,2.0,0.9949373370558464
113,1.0625,14,0.0625,0,0.82475305,2.0,0.9925351251528536
114,0.5625,5,0.375,3,0.890095,2.8284271247461903,0.9887933864883154
115,0.3125,3,0.125,2,0.95791554,1.0,0.9964532844348366
116,0.125,1,0.0625,0,0.9454922,1.0,0.9990885194426062
117,0.125,0,0.1875,1,0.9396377,1.0,0.9992846606802664
118,0.1875,1,0.0,0,0.94860697,1.0,0.9991799077396206
119,0.125,0,0.125,1,0.9638998,1.0,0.9972791868649694
120,0.3125,1,0.5,3,0.92982155,1.0,0.998480086764984
121,27.4375,380,1.6875,1,0.6890284,10.63014581273465,0.7416523873543457
122,1.0625,11,0.4375,3,0.83788705,3.1622776601683795,0.9184401861325544
123,0.0625,1,0.1875,2,0.9627489,1.0,0.9985005077839796
124,18.3125,254,11.1875,197,0.028523251,20.0,0.0429897410845139
125,1.625,12,0.75,20,0.8839816,5.0,0.9008094518629232
126,0.4375,2,0.4375,7,0.9350682,2.23606797749979,0.9976053100778476
127,0.4375,4,0.0,2,0.94669163,1.0,0.99634211467153
128,0.3125,4,0.8125,13,0.9154633,2.8284271247461903,0.9966649487871012
129,1.4375,13,1.125,27,0.9305185,2.0,0.979219531738982
130,0.75,11,0.375,5,0.94251096,2.8284271247461903,0.9859516642216712
131,5.25,71,1.125,1,0.9065281,5.0,0.8896054502321332
132,0.0625,1,0.5625,9,0.9368307,2.23606797749979,0.993528957782745
133,26.875,397,1.25,19,0.71545994,7.071067811865476,0.6739545432994684
134,8.625,115,0.8125,23,0.86353695,4.0,0.9289744490933768
135,5.5,77,3.125,51,0.87944424,4.47213595499958,0.9683923526574296
136,19.4375,241,10.0625,163,0.29270527,20.0,0.3279521932222574
137,0.25,1,0.0,0,0.94807166,1.0,0.9981700535488858
138,0.1875,2,0.0625,1,0.9394928,2.0,0.991469298509294
139,3.9375,64,0.875,16,0.9116602,6.4031242374328485,0.9231078153231308
140,1.125,16,1.0625,17,0.93558055,2.8284271247461903,0.9675301251906164
141,0.375,6,0.25,4,0.9199978,2.8284271247461903,0.9859297816410212
142,17.4375,264,0.875,13,0.85196525,13.0,0.8505549274085142
143,0.0625,0,0.1875,3,0.92734456,2.23606797749979,0.9940940767305572
144,3.3125,49,4.125,66,0.9245083,4.0,0.918750873243428
145,21.6875,317,3.0,46,0.7206099,24.413111231467404,0.7289066146432637
146,1.0,3,0.25,6,0.8926574,2.23606797749979,0.9698593649040638
147,19.375,262,19.0,321,0.09976882,25.96150997149434,0.1508944970193127
148,0.625,10,0.125,2,0.9042488,2.23606797749979,0.9762336876674444
149,1.5,22,0.25,5,0.9314602,2.8284271247461903,0.9903821895001608
150,4.6875,69,2.3125,35,0.86285996,8.54400374531753,0.8818963132004688
151,14.25,210,1.0625,12,0.8490725,8.06225774829855,0.8661045567038236
152,0.1875,0,0.6875,9,0.9294708,2.23606797749979,0.9937386975657782
153,15.1875,227,1.0625,21,0.83391416,11.0,0.8411576541548148
154,20.9375,295,2.0,10,0.7682585,9.219544457292889,0.8198433747692377
155,19.25,273,8.8125,146,0.053462453,19.0,0.1010808108765524
156,1.8125,21,0.875,13,0.9148377,3.0,0.9669602764683178
157,6.75,103,1.4375,22,0.9026989,6.0,0.943493552783295
158,2.0625,25,0.8125,13,0.92110115,3.605551275463989,0.949973217913222
159,0.375,3,0.25,4,0.93909574,2.8284271247461903,0.996096994799786
160,6.6875,86,4.125,49,0.9067503,9.504934221569425,0.8397152633681134
161,22.3125,320,1.875,20,0.70575154,9.0,0.6940971778585004
162,17.625,254,1.5,1,0.8013003,7.211102550927978,0.8848608359362401
163,1.0,8,0.125,4,0.89489275,3.0,0.9635233254784622
164,0.25,0,0.0,1,0.9108314,2.0,0.9963424927318766
165,0.0625,1,0.0,0,0.9421119,1.0,0.9975444645386536
166,0.5,3,0.0,5,0.92651856,2.0,0.9922529996237444
167,1.25,5,0.6875,24,0.89668995,2.23606797749979,0.9757770762603843
168,2.125,31,2.5,41,0.9044773,4.123105625617661,0.9335147666652984
169,19.875,288,3.5625,55,0.67660403,18.384776310850235,0.7164530729731856
170,1.5625,13,0.1875,12,0.90041316,3.1622776601683795,0.9629821627153472
171,33.1875,481,11.5625,183,0.024401713,21.0,0.0456638105826646
172,40.625,595,17.25,276,0.063945755,21.0,0.0954218944440778
173,52.125,764,9.4375,154,0.1336408,22.0,0.1768825978598985
174,18.4375,248,11.3125,176,0.009233375,18.110770276274835,0.0148888807794766
175,38.375,504,6.6875,73,0.076987684,11.0,0.0505940619747793
