ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.4375,4,0.375,4,0.8558926,3.0,0.990096988259316
072,0.4375,5,0.125,1,0.9285604,2.8284271247461903,0.9963231907205616
073,0.5,1,0.4375,3,0.93070453,1.0,0.9914637112098932
074,0.0625,1,0.0625,1,0.9642371,1.0,0.9979909126162968
075,0.125,2,0.0,0,0.92029816,2.0,0.9963897990005754
076,0.5625,5,1.5,22,0.9240803,1.0,0.9937154042502712
077,0.0625,0,0.0625,0,0.9385397,2.0,0.998042356291155
078,11.3125,155,1.875,26,0.7345364,6.0,0.8535364901902266
079,1.9375,27,0.1875,3,0.9325806,2.8284271247461903,0.9793201804816049
080,0.6875,10,0.375,5,0.83474797,2.0,0.9834787615715108
081,0.25,3,0.0625,1,0.87983394,2.8284271247461903,0.9938322368421052
082,0.9375,7,0.6875,8,0.8209036,2.0,0.9812776234292534
083,0.25,3,0.3125,5,0.94055796,2.0,0.9884041515201012
084,0.375,1,0.0,1,0.96089786,1.0,0.9987429053358432
085,0.0625,0,0.0,0,0.9247329,2.0,0.9980502924561316
086,0.1875,1,0.0625,1,0.92172045,2.0,0.9940980241211188
087,1.0,8,0.25,1,0.88378173,2.23606797749979,0.9866178413520864
088,0.625,6,0.375,7,0.9077408,2.23606797749979,0.976913730255164
089,0.4375,2,0.0625,0,0.83498144,4.0,0.983271442705605
090,0.625,2,0.1875,1,0.8715088,3.0,0.989406869626987
091,0.625,1,0.0625,1,0.9015944,3.0,0.9948930201523556
092,0.625,8,0.9375,14,0.94240105,2.0,0.9917171562889698
093,0.375,3,0.625,9,0.95365006,1.0,0.9845751416392702
094,0.25,1,0.125,2,0.93291175,2.0,0.9991021324354658
095,0.625,9,0.75,5,0.9281889,1.0,0.9938393571254164
096,0.4375,5,0.5,7,0.8744168,2.0,0.9923809523809524
097,0.1875,1,0.0,0,0.91268295,2.0,0.9967586478959264
098,1.3125,11,0.0625,1,0.92897046,2.23606797749979,0.9943379115625788
099,0.5,5,0.125,2,0.90643525,2.0,0.99586906286306
100,0.4375,5,0.0,0,0.9578357,1.0,0.9986218875683878
101,0.3125,1,0.25,5,0.9276246,1.0,0.9964741915804272
102,0.5,5,0.25,1,0.90077096,2.23606797749979,0.9893304818712492
103,9.375,140,9.8125,170,0.633284,11.0,0.6867641055614826
104,1.0,4,0.3125,4,0.8892254,3.0,0.990417115566136
105,0.0625,0,0.0625,0,0.9689252,1.0,0.9999131605147508
106,0.4375,0,0.125,4,0.9513596,1.0,0.997505735873789
107,0.1875,0,0.25,2,0.7205574,2.0,0.9898072805139186
108,1.5625,20,0.125,0,0.8637904,2.0,0.9897745369206268
109,0.5625,3,0.0625,1,0.86585665,3.0,0.9942138644709024
110,0.3125,2,0.3125,3,0.8486205,2.0,0.9871609627213804
111,0.0625,0,0.0,1,0.9265497,1.0,0.996687924996352
112,0.0625,0,0.25,1,0.81746274,2.0,0.9945854366292682
113,1.125,18,0.1875,4,0.81968457,2.0,0.9856653558289992
114,0.5,8,0.25,5,0.8928744,2.8284271247461903,0.985522343153728
115,0.1875,1,0.0625,0,0.9618551,1.0,0.9973148388947416
116,0.125,0,0.0625,0,0.94584423,1.0,0.9989487767584098
117,0.125,0,0.3125,2,0.9400138,1.0,0.9988104737828372
118,0.1875,1,0.0,0,0.94836026,1.0,0.9984113155332344
119,0.0625,0,0.0625,0,0.9622962,1.0,0.998395640132558
120,0.0625,1,0.1875,1,0.91724646,1.0,0.9989215204006564
121,31.1875,445,1.375,4,0.64266837,12.529964086141668,0.6734512974832345
122,0.6875,5,0.25,3,0.8397879,3.0,0.9238920054611286
123,0.0625,0,0.0,1,0.963828,1.0,0.9981539736913356
124,18.625,258,6.375,107,0.04529298,19.0,0.0649756516122206
125,2.6875,25,1.0625,14,0.88768554,3.605551275463989,0.904536630793099
126,0.6875,6,1.1875,19,0.9259415,2.8284271247461903,0.9928936384564409
127,0.1875,1,0.25,3,0.9459823,1.0,0.9958754001477468
128,0.25,3,0.9375,15,0.9090852,2.8284271247461903,0.9952338519375524
129,1.1875,11,0.6875,19,0.9250349,2.0,0.984656980337975
130,2.8125,44,1.625,27,0.9381866,3.1622776601683795,0.960692054207998
131,2.375,33,3.75,50,0.90782624,3.1622776601683795,0.9254455884262616
132,0.5,6,2.0625,33,0.93251634,2.23606797749979,0.9842605292387688
133,24.625,359,0.5625,10,0.70520866,7.615773105863909,0.6652360985816326
134,11.25,155,0.9375,10,0.85318375,4.242640687119285,0.918873928733562
135,5.1875,69,2.75,47,0.880527,5.0,0.963276314986202
136,17.125,216,6.8125,107,0.2985895,19.0,0.3057603055557948
137,0.3125,1,0.0,1,0.94916844,1.0,0.9973316340754312
138,0.375,5,0.125,2,0.9429681,2.0,0.9896218669258856
139,9.5625,145,1.5,24,0.912664,7.810249675906654,0.8747141084609187
140,2.3125,26,4.375,72,0.93387485,3.0,0.966472339038435
141,1.6875,25,0.875,15,0.92987186,2.23606797749979,0.9644285552783728
142,18.5625,271,1.1875,22,0.83100307,14.317821063276352,0.7985421866610051
143,0.375,3,1.375,22,0.92470306,2.23606797749979,0.9906127793032844
144,6.4375,95,5.1875,85,0.9162955,5.0,0.8958148124029841
145,25.5,371,1.75,27,0.6903081,23.0,0.6913970551649438
146,0.9375,10,0.1875,7,0.89375883,2.23606797749979,0.9713389896125214
147,18.625,241,13.1875,231,0.12611283,26.0,0.1789096989485844
148,0.4375,6,0.1875,2,0.89715695,2.23606797749979,0.9730650234950154
149,1.125,14,0.875,15,0.92808396,2.8284271247461903,0.9811290993685944
150,5.0,70,2.3125,37,0.8557538,7.810249675906654,0.8862375111649089
151,14.375,214,0.875,12,0.8480644,8.246211251235321,0.8522303091014536
152,0.25,2,0.6875,9,0.928876,2.23606797749979,0.9924746743849494
153,15.6875,233,1.375,24,0.8164844,11.04536101718726,0.8109057639524245
154,25.0,359,1.5625,8,0.72714263,11.0,0.7884857337908563
155,20.125,288,4.0625,65,0.07461196,18.43908891458577,0.1043947687207069
156,1.5,11,1.25,19,0.9157437,2.8284271247461903,0.9617195865000616
157,7.75,118,0.375,7,0.9014166,6.0,0.9337651028242816
158,2.5,34,0.6875,11,0.9062737,4.0,0.9352371239163692
159,1.0625,18,1.1875,19,0.9353436,2.8284271247461903,0.9834744887419954
160,6.6875,92,3.0,22,0.9079322,7.071067811865476,0.8616919124443044
161,19.625,276,2.1875,30,0.69246465,9.055385138137416,0.6867643099600041
162,24.8125,363,1.6875,7,0.78140223,10.0,0.851742111040345
163,0.8125,8,0.6875,7,0.8927385,3.0,0.9599985318730678
164,0.5,5,0.1875,3,0.9130069,1.4142135623730951,0.9942611860215554
165,0.0,0,0.0,0,0.9426204,1.0,0.9965045527122082
166,0.1875,1,0.0625,1,0.9274912,2.0,0.9914307858364908
167,0.8125,7,0.5625,11,0.89751446,2.0,0.9813827303955746
168,2.875,39,3.3125,56,0.8880689,5.0,0.91869220635211
169,25.0625,363,2.9375,44,0.6266942,20.518284528683196,0.632996432075196
170,1.5,13,0.1875,7,0.9003697,3.0,0.969761785865196
171,31.6875,453,10.0,165,0.037973184,20.0,0.0620376344470836
172,37.8125,533,13.5625,223,0.09105117,20.615528128088304,0.1324484228140607
173,43.3125,608,9.6875,160,0.17233305,21.213203435596427,0.2222961917816091
174,18.1875,245,8.9375,145,0.024358919,19.4164878389476,0.0364558077657213
175,28.1875,357,7.4375,84,0.069058284,11.0,0.0529006427559696
176,25.75,291,6.0625,61,0.20004527,11.704699910719626,0.2259219707273816
177,24.3125,306,7.875,90,0.06334858,11.0,0.0827909697730563
178,24.3125,354,5.75,84,0.055621028,16.0,0.0956377386612957
179,28.875,379,8.3125,93,0.06358147,9.055385138137416,0.0842478700167848
180,28.5,357,7.875,79,0.10711528,9.0,0.1316916773488775
181,22.8125,286,9.375,104,0.054708067,14.422205101855956,0.0731346863367787
182,32.5625,434,11.375,161,0.04553213,12.0,0.0662350752273478
183,32.5,443,16.1875,266,0.07674663,24.0,0.1015148630239679
184,29.125,365,5.875,171,0.43906298,5.0,0.4953749415955629
185,48.6875,678,12.125,203,0.14251406,23.0,0.1885908173250872
186,20.0,273,9.625,152,0.012074189,20.0,0.0227420348896759
187,30.5,418,8.875,135,0.055379104,17.46424919657298,0.0994681309575341
188,31.1875,433,13.0625,199,0.15658478,18.027756377319943,0.1618509540272955
189,26.0,334,5.1875,51,0.07705449,11.0,0.1172732366512034
190,39.375,534,12.0,199,0.13463807,18.0,0.1928784630967563
191,38.0625,488,7.75,90,0.21189421,13.0,0.2578210662218307
192,21.5,284,6.75,74,0.059439044,12.0,0.0702343393049133
193,32.5,455,5.1875,70,0.39993662,24.08318915758459,0.3836122152483504
194,38.25,528,8.1875,103,0.07397846,10.770329614269007,0.1058717533451193
195,43.125,611,13.625,219,0.10074706,21.0,0.1386271895598748
196,49.4375,693,10.625,162,0.18165028,20.0,0.2393637213385563
197,41.9375,606,9.0,148,0.13667446,21.254292158305308,0.1911260594543285
198,15.4375,206,8.5,134,0.010680849,20.0,0.0183477462881534
199,43.6875,631,8.8125,140,0.16095987,19.0,0.2092411223892308
200,34.5625,467,20.6875,332,0.06969672,21.0,0.0767569927949346
201,23.875,322,8.625,120,0.0464536,15.0,0.0591596387135023
202,20.625,295,5.3125,81,0.021429252,17.0,0.0292351074014199
203,28.375,379,5.1875,42,0.15151076,10.0,0.1816375536994453
204,28.4375,358,7.9375,81,0.14681488,11.0,0.1772230705486055
205,47.875,666,13.9375,213,0.12104627,14.0,0.1696891250288293
206,15.3125,161,16.6875,251,0.0066571166,9.0,0.0004658969412073
207,35.125,498,8.8125,139,0.053263485,20.0,0.0853101843361047
208,28.4375,409,5.1875,85,0.55166954,24.08318915758459,0.5589614818920947
209,36.25,489,13.75,223,0.25197634,25.0,0.1922263593444349
210,24.9375,362,8.4375,113,0.123139024,15.0,0.1741257727007056
211,43.5,591,10.6875,174,0.28708535,16.76305461424021,0.3697400926004799
212,28.4375,362,5.25,43,0.0834537,11.0,0.1032934368803132
213,38.625,571,3.6875,50,0.06612336,18.0,0.0983646620369427
214,33.0625,415,8.4375,107,0.20209934,12.0,0.2621621463749126
215,26.75,334,6.4375,62,0.14392512,10.0,0.1606437974721882
216,24.9375,336,6.0625,91,0.31291714,18.0,0.325849814658038
217,20.625,246,14.6875,199,0.0061351014,9.486832980505138,0.0006997787622528
218,39.625,550,13.0,206,0.12085029,20.0,0.17204151052094
219,30.8125,447,5.9375,93,0.49108642,26.83281572999748,0.5045086792648324
220,32.6875,429,15.625,269,0.21736728,23.194827009486403,0.1445569710360386
221,10.0625,129,2.5625,13,0.6225046,13.0,0.7604553938656574
222,7.25,86,4.1875,72,0.4529444,79.00126562002605,0.5049741867211691
223,5.25,84,1.0625,12,0.7892781,36.12478373637688,0.7901970200117727
224,5.0625,79,1.625,26,0.8285556,21.633307652783937,0.8454356371149464
225,39.8125,527,10.5,184,0.08371661,52.0,0.0875261168087665
226,13.3125,198,12.6875,219,0.41362,42.0,0.4155538988960832
227,1.625,24,2.3125,45,0.75769496,42.0,0.8081197550464958
