ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,3.4375,29,0.4375,9,0.78651106,4.0,0.9773002168807886
072,2.875,25,1.0,3,0.9329041,3.0,0.9899186508081456
073,3.375,28,3.5,59,0.9099927,1.0,0.9862984217773516
074,4.3125,35,2.625,63,0.9520813,1.0,0.9875947337667014
075,5.375,58,0.1875,23,0.9016714,2.23606797749979,0.9808508856712054
076,2.875,30,3.5625,64,0.9005983,1.0,0.9901731100796278
077,3.8125,13,0.9375,52,0.9054168,2.0,0.9880415975059704
078,26.5625,370,2.125,16,0.68603075,7.071067811865476,0.7840861909772661
079,5.8125,74,0.6875,16,0.8614627,5.0,0.944340980944254
080,8.5,108,0.5,37,0.7847171,3.0,0.9719634048796854
081,3.875,30,0.5,15,0.82018477,3.0,0.97930943174413
082,4.3125,55,2.25,30,0.7467804,2.23606797749979,0.971106106883215
083,3.1875,27,0.875,24,0.93098134,2.0,0.9846847715867288
084,3.3125,24,1.125,47,0.95191354,1.4142135623730951,0.9903672022165824
085,3.8125,26,0.25,27,0.88977724,2.0,0.9892099637603892
086,3.125,20,0.3125,28,0.9006362,2.8284271247461903,0.983426689130593
087,5.8125,43,1.3125,21,0.83478034,3.0,0.9637477573078224
088,9.25,131,0.8125,6,0.82594347,4.47213595499958,0.925529386900438
089,4.125,50,0.3125,16,0.79399025,4.0,0.9697429223562402
090,4.5,24,0.1875,35,0.83506644,3.0,0.9827005629418656
091,2.9375,15,0.875,7,0.8757187,3.0,0.987435731430916
092,3.375,26,0.625,27,0.92848134,2.23606797749979,0.9825155090040476
093,3.25,16,1.6875,46,0.93878436,1.4142135623730951,0.9797335312185288
094,2.4375,11,0.1875,22,0.9200318,2.0,0.994023968826496
095,4.3125,42,3.3125,69,0.9098134,1.0,0.9884453551642997
096,6.4375,72,1.125,26,0.8176436,2.0,0.9749448732370524
097,2.6875,12,0.5,14,0.87299293,3.0,0.9882499382379226
