ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.9375,9,0.4375,1,0.8459405,3.0,0.9880883947406524
072,0.3125,3,0.1875,0,0.9351404,2.8284271247461903,0.9949626740568976
073,0.25,0,0.375,3,0.94903064,1.0,0.9937153117644848
074,0.0,0,0.1875,1,0.97263104,1.0,0.9974277718384078
075,0.125,2,0.0,0,0.9229447,2.0,0.9978200193608724
076,0.3125,4,1.25,16,0.93719137,1.0,0.9953699449341136
077,0.125,0,0.0,0,0.94327176,1.4142135623730951,0.9995102622323138
078,16.1875,227,0.3125,2,0.72488105,6.0,0.8406839935726343
079,0.9375,11,0.0625,1,0.9223223,3.0,0.9880162636422
080,0.625,8,0.25,0,0.8430906,2.0,0.990000009652788
081,0.5625,7,0.1875,3,0.871567,2.8284271247461903,0.99073318284952
082,1.25,14,1.125,22,0.8305985,2.0,0.984803932199212
083,0.625,8,0.125,1,0.9483211,2.0,0.9941796271786448
084,0.375,0,0.75,11,0.9652348,1.0,0.997580081484895
085,0.25,1,0.0,0,0.9265866,2.0,0.9991967871485944
086,0.5,5,0.1875,3,0.9217937,2.0,0.9953129023950554
087,1.375,11,0.25,2,0.8771574,3.0,0.984275051142233
088,0.25,1,0.0,1,0.9117654,2.23606797749979,0.9954419519170614
089,0.4375,2,0.0625,1,0.8531448,3.0,0.9930000107509236
090,1.125,6,0.3125,1,0.86668956,3.0,0.9920250368690134
091,0.875,4,0.25,3,0.902546,3.0,0.9941563058151012
092,0.5,6,0.5,8,0.94286054,2.0,0.9955290416754612
093,1.1875,10,0.5625,7,0.961324,1.0,0.986910146522879
094,0.125,0,0.0625,1,0.932092,2.0,0.9993788018668748
095,1.0,13,0.3125,3,0.9475071,1.0,0.994865021488279
096,0.625,4,0.25,3,0.88082665,2.0,0.9949683118878432
097,0.1875,4,0.4375,6,0.9153559,2.0,0.9956508522941476
098,1.5,9,0.3125,5,0.93555826,2.23606797749979,0.995301917723448
099,0.1875,1,0.0625,1,0.90226066,2.0,0.9963779298441238
100,0.25,3,0.3125,5,0.96376425,1.0,0.9987156108517984
101,0.3125,3,0.1875,3,0.9383762,1.0,0.9978700060043398
