ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.5,5,0.1875,1,0.85589164,3.0,0.9919809747373624
072,0.375,3,0.3125,1,0.92579556,3.0,0.9942371021079812
073,0.5,3,0.4375,3,0.9363797,1.0,0.9928015200098652
074,0.0,0,0.0625,1,0.96484095,1.0,0.997990119148022
075,0.125,2,0.0,0,0.92056394,2.0,0.9987135788980228
076,0.75,8,1.0,17,0.93277556,1.0,0.9945944106558724
077,0.0,0,0.125,2,0.9368009,2.0,0.9974222222222222
078,10.875,153,1.25,16,0.7455207,6.0,0.8661049977527907
079,1.0,12,0.1875,5,0.92388743,3.0,0.9850746268656716
080,0.8125,11,0.25,1,0.84038293,2.0,0.9869398022498626
081,0.0625,2,0.25,4,0.8801256,2.23606797749979,0.9947532911592424
082,1.25,14,1.0625,13,0.82467836,2.0,0.98365661781768
083,0.625,8,0.5625,9,0.9386301,2.0,0.983658406639058
084,0.375,0,0.0625,0,0.96467566,1.0,0.9993230313866964
085,0.25,1,0.0,0,0.92415047,2.0,0.9994476721245068
086,0.1875,2,0.125,2,0.92311865,2.0,0.9964876033057852
087,1.0,10,0.4375,2,0.8802464,2.8284271247461903,0.9845837465945876
088,0.4375,5,0.0625,3,0.9016796,2.23606797749979,0.9824070021881838
089,0.625,4,0.3125,5,0.840974,3.605551275463989,0.9880551552284348
090,0.875,1,0.0625,5,0.8675834,3.0,0.9898368533010788
091,0.6875,2,0.0625,1,0.90182525,3.0,0.9970607857597384
092,0.4375,4,0.375,5,0.9349859,2.0,0.9947098005572242
093,0.6875,7,0.375,3,0.9544403,1.0,0.9849207419584328
094,0.125,0,0.0,0,0.93057513,2.0,0.9988724771676628
095,0.625,8,0.5,5,0.9389178,1.0,0.9951295963663084
096,0.25,2,0.3125,3,0.8817424,2.0,0.9961598818292992
097,0.1875,0,0.1875,3,0.91151446,2.0,0.9977851985349948
098,0.6875,4,0.0625,1,0.93063515,2.23606797749979,0.9967948533223012
099,0.5625,4,0.1875,4,0.9039814,2.0,0.995169657080584
100,0.25,2,0.0,0,0.95971614,1.0,0.9988094430657302
101,0.3125,2,0.25,4,0.9340264,1.0,0.9968894634580582
102,0.625,7,0.1875,0,0.9002,2.23606797749979,0.989492676930195
