ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.75,7,0.3125,2,0.8465414,3.0,0.9904071022089148
072,0.25,2,0.125,1,0.9291276,3.0,0.994545851957928
073,0.5,3,0.25,2,0.94529927,1.0,0.9941341464641524
074,0.125,1,0.3125,0,0.96853584,1.0,0.9979877430462636
075,0.4375,2,0.0,0,0.92184675,2.0,0.996483621854746
076,0.375,0,1.0,18,0.9344835,1.0,0.9956971588535242
077,0.0,0,0.0,0,0.941379,1.4142135623730951,0.999910936943356
078,13.875,202,0.625,6,0.74352056,6.0,0.8660937962484861
079,1.0,12,0.125,2,0.9225597,3.0,0.988637570351492
080,2.3125,34,0.375,0,0.84052175,2.0,0.981906915678842
081,0.5625,4,0.375,4,0.8676742,3.0,0.9882270338032366
082,1.5625,16,0.875,17,0.82517123,2.0,0.9833530906875214
083,0.4375,6,0.4375,7,0.945659,2.0,0.9944331023508995
084,0.3125,1,1.0625,16,0.9636848,1.0,0.9983058231279346
085,0.1875,2,0.0,0,0.9250633,2.0,0.9989448066265736
086,0.3125,3,0.0625,1,0.9203794,2.0,0.996794540378451
087,1.6875,16,0.6875,3,0.8714482,3.0,0.985086896894809
088,0.5,4,0.0625,2,0.90998405,2.23606797749979,0.9949238578680204
089,0.625,4,0.0,0,0.8504512,3.0,0.989335959095052
090,1.125,4,0.125,5,0.8649159,3.0,0.9866731172164508
091,0.6875,4,0.0,1,0.90155596,3.0,0.9952621651893554
092,0.375,2,0.5625,8,0.94174176,2.0,0.9957729218308476
093,0.9375,11,0.6875,11,0.96089345,1.0,0.9886249655596014
094,0.1875,1,0.0,0,0.9294015,2.0,0.9991535147275956
095,0.5,6,0.5625,9,0.9427777,1.0,0.9961400549735928
096,0.9375,14,0.25,3,0.8831425,2.0,0.9923107426664056
097,0.375,2,0.4375,7,0.90819013,2.23606797749979,0.9955455450422822
098,0.8125,4,0.0625,1,0.93149024,2.23606797749979,0.9954207099578536
099,0.125,1,0.1875,3,0.9064127,2.0,0.995973749439828
100,0.3125,3,0.0,0,0.96071285,1.0,0.9988570735382464
101,0.25,1,0.3125,5,0.9367241,1.0,0.9975995686170832
102,1.125,14,0.375,2,0.8984092,2.23606797749979,0.9893143642263732
103,5.625,82,5.0625,85,0.6875495,6.0,0.773634973312188
104,0.625,0,0.0625,0,0.8895125,3.0,0.9929266796044682
105,0.125,0,0.375,6,0.97163355,1.0,0.9995222999088028
106,0.1875,0,0.125,2,0.9555182,1.0,0.9977955678694216
107,0.25,0,0.125,0,0.7494746,2.0,0.9886174588342932
108,3.0,43,0.4375,6,0.86773676,2.0,0.9812261172952318
109,0.625,2,0.375,5,0.8576026,3.0,0.9945121583724236
110,0.625,7,0.25,2,0.8492431,2.0,0.991105254488552
111,0.125,1,0.0625,0,0.9321024,1.0,0.997124673722658
112,0.5625,5,0.25,0,0.8319178,2.0,0.9935657118522472
113,2.6875,39,0.1875,2,0.82276475,2.0,0.9866538121983942
114,1.125,12,0.5625,8,0.8879554,3.0,0.9826449171532744
115,0.375,4,0.3125,1,0.9597568,1.0,0.9965357511830834
116,0.1875,0,0.0625,0,0.9484501,1.0,0.9992806418680436
117,0.5,4,0.375,4,0.9434687,1.0,0.998569054790402
118,0.1875,0,0.0,0,0.9511503,1.0,0.9992316964403588
119,0.375,3,0.25,0,0.9666988,1.0,0.9983914266974068
120,0.0,0,0.25,4,0.9342385,1.0,0.9993151248450844
121,30.375,433,2.0,9,0.6736396,11.31370849898476,0.7226500736660456
122,0.8125,10,0.3125,3,0.8361381,4.0,0.9219004719297008
123,0.25,3,0.375,7,0.9623272,1.0,0.9985527148998796
124,34.0625,507,10.4375,176,0.049882274,20.0,0.0888964948351546
125,1.625,11,0.4375,23,0.8825944,4.0,0.9192397755366124
126,0.25,1,0.3125,6,0.92693657,2.8284271247461903,0.9962158854508516
127,0.125,1,0.125,1,0.9505029,1.0,0.9987969769326354
128,0.0625,0,0.75,12,0.9124178,3.0,0.9977920706537392
129,1.5,7,0.875,28,0.9344298,2.0,0.983024180587528
130,1.125,17,0.0625,0,0.9439093,2.8284271247461903,0.9876342180463462
131,1.5625,15,0.4375,18,0.9136727,3.605551275463989,0.93187806555904
132,0.0625,0,0.3125,5,0.9374401,2.23606797749979,0.9975661272417076
133,37.625,556,1.3125,1,0.70238924,7.071067811865476,0.6559052581471558
134,9.5625,121,1.125,15,0.8678886,4.0,0.9111075503046228
135,2.375,28,0.4375,6,0.8957037,4.0,0.9775315228007878
136,26.9375,369,8.5625,140,0.33644596,19.0,0.378264945213229
137,0.1875,1,0.0625,0,0.948756,1.0,0.9987233982415198
138,0.25,1,0.0,1,0.9390792,2.0,0.9924755094218498
139,8.4375,133,0.25,4,0.89929855,31.906112267087632,0.8683766173303903
140,0.1875,2,0.0625,1,0.9393874,2.8284271247461903,0.9938293478772549
141,0.8125,13,0.0,0,0.9147809,2.8284271247461903,0.9898219077458684
142,25.9375,386,1.3125,20,0.8415692,15.633230670562568,0.7904159542926398
143,0.125,0,0.1875,3,0.9223729,2.8284271247461903,0.9987134074433957
144,1.5625,26,0.0625,1,0.92559564,4.0,0.9796511627906976
145,24.0,350,1.25,14,0.72365445,23.021728866442675,0.7310866184978876
146,1.625,14,0.5,5,0.89124924,2.23606797749979,0.96921323503731
147,41.0625,593,13.6875,223,0.11212554,27.0,0.1854769645917393
148,0.125,1,0.125,1,0.90018475,2.23606797749979,0.9929203056963846
149,0.0,0,0.25,4,0.9391191,2.23606797749979,0.9964447022174578
150,3.5625,48,0.1875,0,0.8610935,9.0,0.9321103016049468
151,23.375,353,0.9375,11,0.85097796,9.848857801796104,0.8346440010348966
152,0.0625,1,0.25,2,0.93094206,2.23606797749979,0.9973157844099678
153,24.3125,358,1.625,28,0.8046171,13.0,0.7812064084535597
154,22.8125,325,2.3125,20,0.7641242,9.848857801796104,0.8108276393244471
155,30.1875,431,7.5,123,0.075193316,18.0,0.1490172938728875
156,0.4375,0,0.3125,2,0.9218671,3.0,0.980955428549916
157,8.3125,128,0.8125,14,0.9132688,7.0,0.918838574711332
158,1.5,20,0.0625,1,0.92410666,3.0,0.9849968164513664
159,0.0,0,0.1875,3,0.9390398,2.8284271247461903,0.9985720151829256
160,3.125,37,0.8125,23,0.9132837,8.0,0.8898661822800915
161,30.1875,444,2.375,28,0.6936666,9.0,0.6795695289425648
162,14.6875,212,2.0625,1,0.8311974,4.47213595499958,0.8879049892557833
163,1.0625,8,0.5625,2,0.8996424,3.0,0.961270260743282
