ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.6875,5,0.5625,4,0.84597486,3.0,0.988169483954874
072,0.375,3,0.125,1,0.92991376,2.8284271247461903,0.9964839547730152
073,0.5625,4,0.1875,2,0.93863803,1.0,0.992815062218059
074,0.25,4,0.0625,0,0.9667581,1.0,0.9975417849259348
075,0.125,1,0.0,0,0.9223868,2.0,0.998436352886551
076,0.75,7,1.375,19,0.9366853,1.0,0.9947088224970404
077,0.1875,2,0.125,1,0.94284815,1.4142135623730951,0.9983130604634644
078,10.25,148,0.4375,3,0.7576867,6.0,0.8862143245876978
079,1.3125,15,0.125,2,0.92541856,3.0,0.980357059907406
080,0.3125,4,0.375,2,0.84357876,2.0,0.986971993591037
081,0.3125,4,0.1875,3,0.873081,3.0,0.9930989269190124
082,1.25,11,0.9375,15,0.8270035,2.0,0.982726303896605
083,0.375,6,0.6875,11,0.9359614,2.0,0.9792896994363938
084,0.4375,1,0.0625,0,0.96383893,1.0,0.998984420859458
085,0.125,0,0.0,0,0.929736,2.0,0.9988423212167792
086,0.3125,1,0.0,0,0.9215089,2.0,0.9973554576095413
087,0.875,8,0.625,5,0.87421703,3.0,0.9859969189666548
088,0.5625,6,0.125,3,0.9085797,2.23606797749979,0.9849086576648134
089,0.75,7,0.125,2,0.835873,4.0,0.9844350283473744
090,0.9375,5,0.0625,5,0.86752075,3.0,0.9894146855720748
091,0.625,5,0.25,4,0.8992321,3.0,0.9961028885683764
092,0.3125,2,0.5625,1,0.9441075,2.0,0.9931650133907688
093,0.6875,9,0.625,7,0.95381504,1.0,0.9843908780208888
094,0.1875,1,0.0,0,0.92933345,2.0,0.9994364927307562
095,0.8125,13,0.5,4,0.94133645,1.0,0.9936316970477668
096,0.375,3,0.25,3,0.8832077,2.0,0.9937454433828324
097,0.625,2,0.1875,3,0.90793633,2.23606797749979,0.9959426166690216
098,0.8125,6,0.25,4,0.9333876,2.23606797749979,0.9958291304571264
099,0.5,3,0.1875,4,0.9105381,1.4142135623730951,0.9948318835826696
100,0.25,2,0.0625,1,0.960093,1.0,0.9987607107024534
101,0.3125,1,0.1875,3,0.93477404,1.0,0.99716034571168
102,0.6875,8,0.125,1,0.8972122,2.23606797749979,0.9896813053670483
103,6.0,81,6.5,107,0.6804237,6.0,0.7746385801372729
104,1.0625,3,0.3125,3,0.88411725,3.0,0.990240143488799
105,0.0625,0,0.0,0,0.96785986,1.0,1.0
106,0.25,1,0.125,1,0.9544632,1.0,0.9981304403029057
107,0.4375,2,0.125,0,0.7400788,2.0,0.9919703872437357
108,0.875,12,0.0625,0,0.87546223,2.0,0.9947829013800068
109,0.375,3,0.0625,0,0.8602711,3.0,0.9932436582940504
110,0.4375,4,0.375,4,0.8428856,2.0,0.9885942346461376
111,0.0,0,0.1875,3,0.9346208,1.0,0.9966571971277464
112,0.5625,4,0.25,2,0.83395475,2.0,0.9933224484748764
113,0.8125,9,0.0625,0,0.8268052,2.0,0.9928161530286927
114,0.8125,8,0.375,6,0.8895853,3.0,0.9858836558474592
115,0.375,3,0.0625,2,0.9585854,1.0,0.997392061720731
116,0.125,0,0.0,0,0.9476635,1.0,0.9996636717436216
117,0.125,0,0.25,2,0.9429355,1.0,0.9989148993792152
