ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.5,3,0.375,0,0.83971435,3.0,0.9909712672372002
072,0.125,1,0.0625,1,0.93540204,2.8284271247461903,0.9962782095790732
073,0.375,0,0.1875,4,0.94894964,1.0,0.99396142860535
074,0.0625,1,0.3125,2,0.9698068,1.0,0.9978001428448984
075,0.125,1,0.0,0,0.9246078,2.0,0.9983788707764468
076,0.0625,0,1.0625,14,0.94274986,1.0,0.9962867502511904
077,0.0625,1,0.0,0,0.9424542,1.4142135623730951,0.9995996499411288
078,9.25,127,0.625,8,0.7471947,6.0,0.8903810170021795
079,0.8125,10,0.0,0,0.92158365,3.0,0.9899850841679096
080,0.25,1,0.25,2,0.84197813,2.0,0.9911646202876412
081,0.3125,0,0.0625,1,0.86650795,3.0,0.994081568016066
082,1.0625,9,0.8125,11,0.82806915,2.0,0.9865792192861842
083,0.1875,2,0.125,1,0.9477881,2.0,0.9962249548995824
084,0.3125,0,0.0625,0,0.9653152,1.0,0.9982580641969624
085,0.25,1,0.0,0,0.9315489,2.0,0.999195994808302
086,0.0625,0,0.0,0,0.9275802,2.0,0.997721623860812
087,0.6875,9,0.25,0,0.87359357,3.0,0.986342970114342
088,0.375,2,0.0,1,0.9102763,2.23606797749979,0.993633952254642
089,0.4375,1,0.0,0,0.85149133,3.0,0.9898402923317972
090,1.0625,4,0.0625,4,0.86715645,3.0,0.9916872206771156
091,0.5625,1,0.0625,1,0.90229714,3.0,0.9974457772758972
092,0.6875,3,0.3125,1,0.93614215,2.0,0.9888667174650624
093,0.5625,4,0.4375,8,0.96105564,1.0,0.9891817727495634
094,0.0625,0,0.0,0,0.93308485,2.0,0.99926648348664
095,0.375,6,0.4375,3,0.9481183,1.0,0.996950576482585
096,0.25,1,0.5625,7,0.8826765,2.0,0.9944159895251666
097,0.25,1,0.0625,1,0.9116501,2.23606797749979,0.9972318823097746
098,0.75,3,0.0,0,0.93646586,2.23606797749979,0.9980087789188468
099,0.1875,1,0.0625,2,0.9111731,1.4142135623730951,0.996009908446461
100,0.1875,2,0.0625,1,0.96187323,1.0,0.9991903682831992
101,0.25,1,0.1875,3,0.9384172,1.0,0.9984336663794768
102,0.875,6,0.125,3,0.8981466,2.23606797749979,0.9917795971895425
103,6.0625,85,5.6875,96,0.6755586,5.830951894845301,0.7679509168104711
104,0.5625,0,0.25,2,0.8907149,3.0,0.993836676831086
105,0.0,0,0.125,2,0.9734195,1.0,1.0
106,0.1875,0,0.0625,1,0.9541986,1.0,0.998337597221396
107,0.3125,1,0.1875,1,0.74543726,2.0,0.990319904854225
108,0.5625,6,0.25,3,0.869179,2.0,0.9931737738075174
109,0.625,3,0.0,1,0.8609649,3.0,0.9956448977046972
110,0.125,0,0.3125,3,0.8507203,2.0,0.9908774257754188
111,0.0625,0,0.25,2,0.93759495,1.0,0.9968624804147704
112,0.4375,3,0.125,1,0.8350211,2.0,0.9945875642691436
113,0.5625,6,0.0625,1,0.82303,2.0,0.9902044293015332
114,0.625,5,0.5,5,0.88379496,3.0,0.9860013616003618
115,0.3125,1,0.1875,0,0.95943916,1.0,0.9975143048869476
116,0.125,0,0.0625,0,0.94915575,1.0,0.9995679930878896
