ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,1.5625,11,0.25,9,0.59939516,5.0,0.9288460060361656
072,1.1875,2,0.125,5,0.44313923,7.071067811865476,0.9235059800370808
073,1.0,10,1.0,6,0.7812494,2.0,0.9763678658391312
074,0.3125,3,0.5625,4,0.5931207,4.0,0.9795526946571166
075,0.4375,2,0.0,0,0.5450152,4.0,0.9665373859680898
076,0.625,4,1.1875,15,0.8197198,2.0,0.9662770514160612
077,0.25,1,0.1875,3,0.63001186,3.0,0.9855147355168729
078,1.0,8,0.1875,3,0.7077863,2.23606797749979,0.9060647896634172
079,0.5625,1,0.0,0,0.4024199,7.0,0.9646278229754924
080,0.75,5,0.25,7,0.7444593,2.23606797749979,0.9744325514015876
081,1.375,10,0.0625,9,0.5900501,5.0,0.9314614534073284
082,1.5625,17,1.5,22,0.7994489,2.0,0.938799150911512
083,0.6875,8,0.125,5,0.49025622,6.0,0.9754026148207234
084,0.5,2,0.1875,5,0.5235043,5.0,0.9749984940106692
085,0.1875,2,0.0,1,0.56737244,4.0,0.9764866633945442
086,0.8125,6,0.125,3,0.5592997,4.0,0.9747866850764668
087,1.8125,16,0.5,11,0.60535854,4.47213595499958,0.9164412982262686
088,0.3125,4,0.0,1,0.45870367,6.0,0.9702912615021748
089,0.3125,3,0.0625,0,0.62791914,4.123105625617661,0.948467771123846
090,2.25,17,0.0625,18,0.5848064,5.0,0.9160420559331977
091,0.6875,5,0.125,4,0.49767572,6.0,0.8839596932631979
092,1.4375,5,0.5625,6,0.46247387,6.4031242374328485,0.945255263916931
093,0.875,9,0.4375,1,0.55316556,4.123105625617661,0.9650116599234329
094,0.6875,2,0.0,1,0.5514948,4.242640687119285,0.9789123604563916
095,0.6875,5,0.8125,13,0.7966642,2.0,0.98527184028073
096,0.375,0,0.1875,0,0.7538174,2.0,0.9786411052719634
097,1.3125,9,0.0625,8,0.5227112,5.830951894845301,0.9276920787983722
098,0.875,6,0.0,4,0.4416693,7.0,0.9425198870926352
099,0.6875,1,0.25,3,0.7261488,2.0,0.9577430929826934
100,0.9375,8,0.25,3,0.5426394,5.0,0.9782780050017632
101,0.625,8,0.375,3,0.8099809,2.0,0.9746297790273896
