ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.375,3,0.0,1,0.73301035,4.0,0.9682846332496244
072,0.5,4,0.0625,1,0.63223535,6.324555320336759,0.9806718667636354
073,0.8125,6,0.4375,3,0.84696335,2.0,0.984625931590892
074,0.3125,1,0.25,1,0.7006042,3.1622776601683795,0.9944574751313958
075,0.4375,3,0.0,0,0.6967728,4.0,0.9923154436265568
076,0.3125,5,0.375,3,0.8681486,1.0,0.9848334997988668
077,0.25,0,0.0,0,0.78351754,2.8284271247461903,0.99710250268366
078,0.5,4,0.0,1,0.79151964,2.0,0.935341657850824
079,0.375,2,0.0,0,0.6244541,6.0,0.9936467770064044
080,0.5,2,0.25,3,0.8796879,2.0,0.9933792722061574
081,0.3125,0,0.1875,3,0.72521067,4.0,0.9761677519844484
082,1.1875,12,0.375,3,0.81970745,1.4142135623730951,0.959068249960047
083,0.4375,5,0.0,2,0.64988005,5.385164807134504,0.9905334394533948
084,0.1875,0,0.0625,1,0.6510341,4.0,0.9941673957421988
085,0.125,0,0.0,0,0.70723,3.605551275463989,0.9958701479873372
086,0.5625,3,0.0,0,0.7299626,3.605551275463989,0.990647084807192
087,0.625,4,0.4375,1,0.74915236,4.0,0.9688981143147268
088,0.25,2,0.0,1,0.6392597,5.0,0.9947060408658996
089,0.4375,2,0.0625,0,0.8110796,3.0,0.9892371805362928
090,1.125,7,0.125,8,0.7095478,4.0,0.9610962188663272
091,0.375,1,0.1875,3,0.6774853,5.0990195135927845,0.966237032891361
092,1.25,2,0.25,2,0.6475123,5.0,0.979060807415266
093,0.5625,7,0.3125,5,0.6887897,4.0,0.9849956864361298
094,0.25,0,0.0,0,0.73228854,4.0,0.9940982862331176
095,0.25,3,0.25,1,0.89030164,1.0,0.9932717899600166
096,0.4375,0,0.0625,0,0.83981216,2.0,0.9928473852837286
097,0.625,3,0.125,2,0.67263365,5.0,0.976858070297628
098,1.0,5,0.25,3,0.60190386,6.0,0.9857430994325675
099,0.3125,1,0.125,2,0.8052184,2.0,0.979325985924404
100,0.5,0,0.125,0,0.6873209,4.0,0.9949895981788572
101,0.25,3,0.1875,1,0.8694524,1.0,0.9863364581010424
102,0.6875,4,0.125,1,0.704465,4.242640687119285,0.9754247431939492
103,0.9375,14,0.25,4,0.76195073,4.0,0.9759716970963548
104,0.6875,8,0.0625,1,0.70457494,4.47213595499958,0.966294606561606
105,0.1875,1,0.1875,0,0.6708023,4.0,0.996340507101159
106,0.25,0,0.1875,2,0.7713137,3.0,0.9964179162066872
107,0.3125,3,0.0625,0,0.7869179,2.0,0.9799802768714698
108,0.375,2,0.125,0,0.877654,2.0,0.996190345917082
109,0.5,3,0.125,1,0.7143063,4.47213595499958,0.9873008179974154
110,1.0,16,0.9375,14,0.8907201,1.4142135623730951,0.984579136548662
111,0.1875,0,0.125,0,0.89329845,1.0,0.994175962220271
112,0.375,1,0.125,1,0.86800086,1.0,0.9859030681869486
113,0.625,3,0.0625,0,0.8811891,2.0,0.9902322405585916
114,1.625,15,0.0,2,0.7011397,4.242640687119285,0.956639002093365
115,0.8125,6,0.3125,2,0.7218648,3.1622776601683795,0.9893438839675096
116,0.75,0,0.0625,0,0.7409477,3.0,0.9972587663941604
117,0.1875,1,0.125,1,0.8829941,1.0,0.9969939460036548
118,0.375,0,0.0,0,0.7297984,3.0,0.9970215319919552
119,0.4375,0,0.25,0,0.7687055,3.0,0.9976999893862666
120,0.1875,0,0.6875,2,0.85676116,1.0,0.985551330054645
121,6.875,91,1.1875,0,0.679245,5.830951894845301,0.8957452838498996
122,2.5,27,0.875,0,0.72381157,5.0,0.8871281379982651
123,0.1875,0,0.125,1,0.92609644,1.0,0.9978416836059146
124,22.0625,282,4.75,75,0.22087307,17.0,0.2259935612464248
125,1.6875,11,0.8125,22,0.7164655,5.656854249492381,0.9176597023783334
126,0.6875,1,0.1875,3,0.55685014,8.06225774829855,0.974452948151342
127,0.3125,0,0.375,1,0.9025038,1.0,0.9965154233436038
128,0.1875,1,0.0,0,0.59695894,7.280109889280518,0.9833479404031552
129,0.6875,4,0.375,9,0.75998336,3.605551275463989,0.9852065947740076
130,2.1875,31,0.8125,14,0.6426883,9.219544457292889,0.9673930465095132
131,2.5625,24,0.75,23,0.6284835,8.94427190999916,0.8933420200283793
132,0.25,3,0.0,0,0.61201894,6.708203932499369,0.986315789473684
133,5.625,68,3.1875,48,0.73420787,4.47213595499958,0.8435317323437557
134,2.125,23,0.875,8,0.71609634,5.0,0.958251622962619
135,2.3125,24,0.5,6,0.663759,7.810249675906654,0.9302105259469275
136,14.1875,190,4.625,77,0.5471737,12.0,0.5908964558411736
137,0.3125,2,0.0625,2,0.8910428,1.4142135623730951,0.995421964223903
138,0.375,1,0.0,1,0.6666732,5.0,0.99197861999701
139,6.375,100,1.1875,21,0.5938947,17.08800749063506,0.8313444333208251
140,0.375,5,0.1875,3,0.599156,10.0,0.9802172004996418
141,0.3125,1,0.125,2,0.67196167,5.830951894845301,0.9905016810081726
142,9.3125,130,1.5625,25,0.74722624,9.486832980505138,0.9005366805272464
143,0.5625,7,0.0625,1,0.64393646,5.830951894845301,0.9846279992481386
144,2.625,40,1.0625,17,0.66683704,9.0,0.9639904775494604
145,5.625,80,2.3125,36,0.68165356,8.06225774829855,0.8974447403180644
146,2.6875,26,0.75,3,0.7387274,4.47213595499958,0.9393624071178928
147,20.1875,266,3.0625,53,0.4308707,19.0,0.4269076335352788
148,0.0625,1,0.0,0,0.77091557,4.0,0.9899475396477108
149,0.3125,1,0.25,6,0.57023907,8.602325267042627,0.9845866232634698
150,2.5625,41,0.5625,9,0.66880804,8.54400374531753,0.932629919426464
151,4.875,71,1.3125,24,0.77591115,6.0,0.9198052706969316
152,0.1875,1,0.125,0,0.7021342,5.0,0.9898390461969064
153,9.75,140,2.0625,35,0.7549885,8.06225774829855,0.8658862780770509
154,4.0,46,1.5,5,0.70520264,5.385164807134504,0.9308654124996502
155,18.25,247,4.875,79,0.21622832,15.0,0.2479153678485361
156,0.1875,1,0.0625,1,0.64575356,7.071067811865476,0.9797467972422204
157,4.3125,66,1.125,19,0.6365901,9.0,0.9549525115797036
158,0.625,3,0.0,0,0.6224083,7.0,0.9850686751159264
159,0.375,3,0.625,10,0.5669122,9.219544457292889,0.9749798224374496
160,3.8125,40,0.9375,31,0.56434727,12.36931687685298,0.8441441656267468
161,5.875,75,3.625,55,0.6995801,6.0,0.7944405579061224
162,2.4375,27,1.125,4,0.75414366,4.123105625617661,0.9594959974996912
163,2.0625,22,1.5625,19,0.74405843,5.0,0.9229356543736764
164,0.1875,0,0.0,1,0.88240004,2.0,0.9974608246409478
