ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,3.375,47,2.9375,46,0.85744953,3.0,0.980990038592287
072,3.9375,60,4.1875,67,0.8204693,4.123105625617661,0.9911114887351083
073,0.8125,9,1.375,20,0.820493,2.23606797749979,0.9834935781585098
074,0.625,7,0.5625,9,0.9293067,1.4142135623730951,0.9959865974446775
075,0.875,6,0.5625,10,0.91066045,2.0,0.9956422003794247
076,0.5625,5,0.75,4,0.79670805,2.0,0.9905884264584516
077,0.25,1,0.0,0,0.92345977,2.0,0.9984422982776268
078,0.75,10,0.125,0,0.7793649,3.0,0.9756969342182288
079,6.6875,96,1.1875,19,0.7257044,5.0,0.9871060505529468
080,0.5,7,0.1875,2,0.81157535,2.23606797749979,0.9901334881021474
081,1.5,21,1.6875,27,0.87489855,2.23606797749979,0.9867811496316538
082,0.875,7,1.75,15,0.6672485,3.0,0.9753059587630976
083,1.25,19,3.0625,49,0.89701575,3.0,0.9908453945686084
084,0.875,5,1.0625,17,0.9067824,2.0,0.9992051246084068
085,0.6875,11,0.125,2,0.9091158,2.0,0.998261215162204
086,1.8125,22,0.0,0,0.85684973,2.8284271247461903,0.9946084724005136
087,2.5,34,2.1875,36,0.85814095,3.0,0.975565128587523
088,4.75,72,0.9375,15,0.8107492,3.1622776601683795,0.9853104004479436
089,0.6875,5,0.375,7,0.8776354,2.8284271247461903,0.9877950909543892
090,2.5,34,0.375,4,0.8672858,2.8284271247461903,0.9867553668986232
091,1.6875,17,2.9375,48,0.87887436,3.0,0.9905986937430854
092,2.75,35,3.375,56,0.86759585,3.0,0.997135028161959
093,1.3125,9,1.4375,26,0.9049736,2.0,0.9838143047725534
094,1.25,19,0.4375,7,0.887748,2.0,0.9984518412031406
095,0.4375,4,0.5,8,0.82710433,2.0,0.9915582045979808
096,0.8125,8,0.25,1,0.81416446,2.0,0.9942067907155188
097,2.875,44,2.5,41,0.88452154,3.0,0.9876047470690176
098,2.75,41,1.5625,25,0.7856457,4.47213595499958,0.9943440779342366
099,0.3125,2,0.0625,1,0.8584966,2.0,0.9914468948528854
100,0.6875,2,1.3125,21,0.9147539,2.0,0.9968089534292188
101,0.4375,3,0.6875,6,0.7831413,2.0,0.992110889921109
102,2.0,29,2.0625,33,0.88133574,2.8284271247461903,0.9820033298148214
103,6.3125,93,2.4375,40,0.8318758,3.1622776601683795,0.9469256158272492
104,2.0625,23,1.8125,31,0.8904705,2.23606797749979,0.9877178502618584
105,0.625,7,0.25,3,0.8988531,2.0,0.9994824743554764
106,0.75,9,0.125,1,0.94231695,1.0,0.9959094858698676
107,0.375,3,0.5,3,0.606921,3.0,0.9826751811231064
108,1.3125,16,0.375,5,0.79876465,2.23606797749979,0.9861670020120724
109,2.5625,37,3.4375,57,0.8863852,2.23606797749979,0.9896206221196796
110,1.625,21,1.125,16,0.8564289,2.0,0.9775500244021474
111,0.625,4,0.125,1,0.7901359,2.23606797749979,0.989718662542348
112,0.6875,7,0.3125,2,0.7260006,2.8284271247461903,0.9913777934189688
113,1.25,15,0.375,5,0.7823554,2.8284271247461903,0.9874168537897724
114,1.0625,15,2.6875,45,0.888822,2.8284271247461903,0.9824694327820171
115,0.875,11,0.4375,8,0.94124365,1.0,0.9924032316411432
116,0.6875,3,0.0625,2,0.92488855,1.4142135623730951,0.9974224974740636
117,0.4375,4,0.5,2,0.8362671,2.0,0.9933191940615058
118,0.4375,1,0.0625,1,0.91457677,2.0,0.9983731602247756
119,0.1875,1,0.4375,4,0.94157815,1.0,0.9965714285714288
120,0.375,2,0.5,3,0.7898933,2.0,0.9946312377842104
121,2.9375,39,0.625,2,0.8722085,3.605551275463989,0.954437877489718
122,4.625,65,2.3125,37,0.8048656,3.0,0.9125048448677752
123,0.4375,5,0.5625,6,0.84407395,2.0,0.9937001016112644
124,14.1875,186,7.75,148,0.42055097,19.0,0.3978165381200013
125,9.375,136,7.1875,93,0.812667,4.242640687119285,0.919503913739661
126,10.875,167,3.9375,66,0.7258199,6.324555320336759,0.9894481198087588
127,0.625,6,0.5,8,0.8271182,2.23606797749979,0.9879660070715216
128,1.75,24,6.5625,108,0.8586802,4.123105625617661,0.9946685078021984
129,1.125,12,0.125,0,0.9466621,1.0,0.9898604174764974
130,21.0625,323,6.875,116,0.6916889,12.041594578792296,0.9181738463708184
131,5.375,76,12.0625,194,0.85964507,5.0,0.9424972698927228
132,5.375,79,7.3125,118,0.80644894,5.0,0.9815663923622884
133,7.4375,109,1.375,14,0.70610714,5.385164807134504,0.8566366334366071
134,5.0625,62,3.8125,56,0.85223836,3.605551275463989,0.9628049937277756
135,8.875,135,1.3125,19,0.7300599,7.071067811865476,0.9515894576030504
136,17.4375,250,5.0625,91,0.5739212,18.0,0.574864166066888
137,0.5625,6,0.125,2,0.86703503,2.0,0.9916693367510414
138,5.125,72,0.4375,7,0.71895754,5.0,0.9902065629214204
139,30.9375,474,15.4375,255,0.6996393,47.41307836451879,0.7826747816702152
140,12.3125,190,3.25,53,0.6699034,8.94427190999916,0.9815655739866976
141,11.0,173,4.6875,79,0.79668385,4.47213595499958,0.985561828510738
142,13.9375,202,2.6875,45,0.7849112,19.266513603333824,0.7975248135519716
143,3.875,59,5.375,88,0.82032377,4.242640687119285,0.9766284198957834
144,16.0,246,2.25,39,0.6413444,17.846024830667837,0.9158788367331152
