ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,5.0,45,0.25,32,0.6265011,4.242640687119285,0.9446962930510648
072,5.9375,56,0.0625,31,0.4466397,7.0,0.9336653157510164
073,1.375,7,1.5625,20,0.8104908,2.0,0.9874780175177084
074,0.6875,4,0.6875,10,0.63719994,3.605551275463989,0.994217348365498
075,0.25,1,0.0,3,0.57250285,4.0,0.9896793590264016
076,0.375,3,1.0625,14,0.8651977,1.0,0.9950644086374578
077,0.3125,1,0.1875,2,0.6451091,3.0,0.993274789091257
078,2.25,19,0.3125,16,0.75669116,2.0,0.9612003365378404
079,0.75,7,0.0,3,0.4227877,7.0,0.9729912593346676
080,0.625,4,0.3125,7,0.77084357,2.0,0.9861342530981906
081,4.0,31,0.0,32,0.61536324,4.47213595499958,0.9542056569495496
082,2.875,33,3.6875,72,0.85075873,1.0,0.9727594242038344
083,1.8125,13,0.5625,25,0.47373575,6.0,0.9751249853095126
084,0.5625,3,0.25,6,0.56233156,4.47213595499958,0.9898467245924046
085,0.125,0,0.0,0,0.59982264,4.0,0.9962193454668588
086,1.125,12,0.0625,1,0.58549225,4.0,0.9900708807553044
087,5.6875,56,0.6875,35,0.62739086,4.242640687119285,0.938180121455493
088,0.5,3,0.0,4,0.4860892,5.385164807134504,0.98388458242513
089,0.625,3,0.1875,10,0.5978746,4.242640687119285,0.938456095809438
090,4.8125,44,0.0625,33,0.61200094,4.47213595499958,0.9410601437387316
091,3.9375,34,0.0,31,0.51761544,6.0,0.9035558430431758
092,2.125,14,0.75,12,0.48166883,6.0,0.9766856138062746
093,1.3125,10,0.375,1,0.59788275,4.0,0.9834360460910326
094,0.5,0,0.0,1,0.55836946,4.123105625617661,0.993928414790251
095,0.5625,5,0.75,10,0.82999235,1.4142135623730951,0.9963283409085888
096,0.75,4,0.1875,1,0.80326897,2.0,0.9955330563166092
097,4.9375,36,0.0625,32,0.551086,5.184863101655092,0.9490990597142152
098,3.3125,37,0.0625,20,0.45884717,6.708203932499369,0.9503396662837678
099,0.6875,6,0.0625,3,0.7650222,2.0,0.9814837199687344
100,0.5625,1,0.1875,3,0.5647975,4.47213595499958,0.9897219886757792
101,0.375,1,0.4375,7,0.8579992,1.0,0.9968298824148848
102,4.3125,40,0.0625,31,0.59335095,5.0,0.9501116829082792
103,16.3125,239,0.4375,24,0.5098061,5.0,0.7586132192951983
