ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,2.4375,18,0.125,17,0.5851422,5.0,0.9163521283494568
072,1.875,8,0.0625,13,0.41479144,7.280109889280518,0.9160668846285642
073,1.0,6,0.75,5,0.7974608,2.0,0.9803763179667252
074,0.5625,5,0.4375,4,0.6088176,4.0,0.9830751088046572
075,0.25,1,0.0,0,0.53083175,4.242640687119285,0.9628838921078672
076,0.125,1,0.5625,6,0.8506063,1.0,0.9849068418758096
077,0.25,0,0.125,2,0.61214614,3.1622776601683795,0.9766158170128144
078,0.75,3,0.1875,5,0.6958476,2.23606797749979,0.8985240828182678
079,0.6875,3,0.0,2,0.3594429,7.071067811865476,0.9340069393479664
080,0.3125,4,0.3125,4,0.70967096,2.8284271247461903,0.9552380931660694
081,1.625,9,0.0,18,0.5667632,5.0,0.9223137957079848
082,0.9375,10,1.0625,17,0.8211898,1.4142135623730951,0.9565259294557346
083,0.5,4,0.1875,8,0.45634243,6.4031242374328485,0.9600747130191531
084,0.1875,0,0.0625,2,0.5348661,5.0,0.9734100605218772
085,0.25,4,0.0,0,0.5697716,4.0,0.9765227930849708
086,0.75,4,0.0,1,0.55416864,4.123105625617661,0.9678355558983244
087,2.25,18,0.5625,21,0.5848605,5.0,0.9022886430974936
088,0.5625,5,0.0,3,0.43304867,6.0,0.9532421757383318
089,0.375,1,0.125,3,0.5801497,4.47213595499958,0.9151333483547568
090,1.9375,10,0.0,20,0.5719448,5.0,0.8993290938326043
091,1.1875,9,0.0,11,0.47350073,6.0,0.8682928657227084
092,2.0625,18,0.625,9,0.44046035,6.4031242374328485,0.9423252856122812
093,1.0625,10,0.375,1,0.56810653,4.0,0.9670643806043524
094,0.5625,0,0.0,0,0.5361108,4.47213595499958,0.9796341855090966
095,0.5625,6,0.3125,1,0.8195298,2.0,0.9872536095735291
096,0.4375,1,0.1875,1,0.7447446,2.0,0.9701133350196204
097,2.0,14,0.0625,16,0.5070123,5.656854249492381,0.918503987021974
098,1.875,13,0.0,10,0.42222586,7.0,0.9316667562296932
099,0.4375,3,0.1875,4,0.7258277,2.0,0.9511347370024787
100,0.625,3,0.1875,2,0.5418976,5.0,0.9692027982972352
101,0.375,1,0.1875,1,0.8314912,1.4142135623730951,0.9808835753255528
102,2.0,15,0.0625,17,0.55376405,5.0,0.923045700216349
103,4.125,43,0.5,21,0.5125471,5.0,0.8151701568221121
104,1.875,9,0.0,22,0.5326085,5.0,0.9042942096808316
105,0.125,0,0.5,3,0.5592784,4.0,0.9827350200909613
106,0.625,3,0.1875,5,0.59685403,3.1622776601683795,0.9826565251285004
107,0.4375,0,0.0625,1,0.8361576,1.0,0.9671919550559192
108,0.25,2,0.1875,1,0.727611,2.0,0.970472411978717
109,1.75,12,0.0,11,0.5504727,5.0,0.9248018419488718
110,0.375,6,0.125,2,0.73933965,2.0,0.968683113171455
111,0.5,3,0.25,0,0.8040396,2.0,0.9848935627556828
112,0.25,3,0.1875,2,0.81834,2.0,0.9753862181429436
113,0.4375,4,0.0,0,0.7574677,2.0,0.965829162542264
114,1.9375,12,0.0,12,0.5384571,5.0,0.8865019092086568
115,0.75,6,0.3125,2,0.5925152,4.0,0.9700011836313336
116,0.5,1,0.0625,0,0.5816647,4.0,0.983440708795734
117,0.25,1,0.375,3,0.798,2.0,0.9904522729265404
118,0.625,4,0.1875,1,0.558289,4.0,0.9731271195301135
119,0.375,4,0.4375,4,0.6199389,3.605551275463989,0.9793903492293974
120,0.3125,2,0.4375,0,0.8395457,1.0,0.9811776698394328
121,9.8125,128,0.6875,32,0.4115425,7.252506953939402,0.6399899636616668
122,8.4375,101,0.375,33,0.5189586,6.0,0.7544912304796518
123,0.3125,2,0.5,3,0.8393938,1.4142135623730951,0.995809460738495
124,29.5625,444,0.1875,3,0.10789555,12.36931687685298,0.1338103860613911
125,5.6875,73,0.625,39,0.38221833,11.40175425099138,0.7174224193919692
126,3.9375,58,0.0625,8,0.2882001,10.198039027185567,0.8431420233463035
127,0.5625,3,0.3125,2,0.8139049,2.0,0.9934241928941466
128,3.375,48,0.0,9,0.31324473,9.433981132056603,0.8188709129992081
129,3.0,28,1.25,42,0.50242925,5.0,0.9453492342597613
130,7.3125,116,0.25,1,0.24586362,12.206555615733702,0.6950554492194414
131,11.5625,172,0.5625,35,0.25511143,17.701689709754415,0.6116079104044184
132,4.25,59,0.1875,5,0.32325804,8.54400374531753,0.8389197009886665
133,12.875,177,0.5,36,0.5337353,5.385164807134504,0.731606380555855
134,5.875,75,1.0,47,0.43424538,7.071067811865476,0.809460789420961
135,9.5,141,0.125,12,0.28514308,10.816653826391969,0.6933593070985071
136,24.4375,374,0.3125,6,0.34838232,10.44030650891055,0.4725058878943905
137,0.5,4,0.0625,1,0.7501749,2.0,0.9918536957747264
138,1.1875,11,0.0,5,0.37708962,7.071067811865476,0.9244387878842484
139,7.9375,129,0.0625,0,0.1645716,17.489995035739597,0.4252915675101421
140,5.375,87,0.125,5,0.22410735,13.601470508735444,0.6944580676802354
141,0.75,7,0.0,2,0.3649087,8.0,0.9213832715089147
142,8.125,119,0.0625,7,0.40567917,8.06225774829855,0.8152584905432413
143,4.0,53,0.1875,4,0.33750674,8.06225774829855,0.8385256691531373
144,8.0,123,0.1875,4,0.22735932,12.041594578792296,0.6759084297836621
145,11.3125,174,0.625,1,0.32660753,9.899494936611664,0.5175665518634719
146,7.1875,78,0.125,38,0.51855946,6.0,0.8353452826467597
147,30.875,487,0.125,4,0.18884106,12.529964086141668,0.227948765353901
148,0.4375,3,0.0,3,0.45043033,5.830951894845301,0.9401017140704464
149,5.9375,94,0.0,3,0.24449109,10.816653826391969,0.8325462150856835
150,4.875,75,0.0,6,0.32614556,9.899494936611664,0.7503964760727119
151,7.5,103,0.0625,14,0.45249102,6.708203932499369,0.7937274221735781
152,2.25,25,0.1875,11,0.4067533,6.4031242374328485,0.8838693425140649
153,6.6875,92,0.0625,10,0.46277815,7.071067811865476,0.8014779335847189
154,5.75,62,0.6875,39,0.4579261,7.071067811865476,0.7414369371775031
155,20.625,309,0.0625,5,0.20566896,12.16552506059644,0.2687417132175538
156,5.8125,88,0.1875,7,0.30814037,9.219544457292889,0.7796439281073194
157,4.5625,73,0.125,1,0.3035094,10.770329614269007,0.7841479728737019
158,0.75,10,0.0,1,0.3311925,8.94427190999916,0.9055972379163408
159,6.3125,96,0.125,4,0.25802827,11.6619037896906,0.719758064516129
160,6.8125,100,0.875,38,0.23583008,22.47220505424423,0.6058802475094497
161,12.1875,168,0.25,23,0.53541845,5.830951894845301,0.722584018054999
162,6.375,80,0.8125,38,0.4673677,6.082762530298219,0.8269479598340228
163,7.375,96,0.4375,23,0.4729904,7.0,0.7989185796795433
164,0.125,1,0.0,0,0.67954963,3.0,0.9877503340983692
165,0.375,1,0.125,1,0.6927016,2.23606797749979,0.9878987253130284
166,0.75,5,0.0,4,0.5245844,5.0,0.961221609322024
167,4.0625,40,0.875,39,0.5308073,5.0,0.898471663939647
168,5.3125,83,0.0625,6,0.26433372,12.041594578792296,0.7332103311134383
169,10.5625,154,0.625,1,0.32427618,9.899494936611664,0.4174139762571239
170,8.25,99,0.1875,32,0.4608414,7.071067811865476,0.8137389512735511
171,43.3125,651,0.75,2,0.14014925,8.06225774829855,0.1604330389512907
172,42.5625,655,1.125,4,0.19311276,8.06225774829855,0.2413520316181731
173,36.625,573,1.0625,5,0.25975728,7.615773105863909,0.3251901916594882
174,63.5625,986,1.6875,14,0.089480214,18.0,0.093333231391537
175,36.8125,505,0.75,49,0.1299289,7.0,0.0812221030226856
176,35.3125,492,0.6875,41,0.2952102,10.0,0.2754297249068918
177,61.5,909,1.3125,46,0.18859118,7.0,0.2057503229903431
178,38.375,598,0.875,0,0.16585039,10.44030650891055,0.2213555429828251
179,38.4375,569,2.625,22,0.4373864,5.0,0.4951212427809189
180,40.6875,591,1.6875,78,0.41928262,5.830951894845301,0.466895088570478
181,47.75,730,0.875,59,0.095430925,10.0,0.1113037155008411
182,39.3125,584,3.125,9,0.31010893,5.0990195135927845,0.3550365292886093
183,38.375,608,0.5625,2,0.17616133,10.0,0.1759017290634671
184,26.0,329,13.75,322,0.6024073,4.0,0.6747500014420595
185,33.375,528,0.9375,8,0.2869371,7.211102550927978,0.370064501054982
186,59.0625,901,0.875,3,0.07212667,13.601470508735444,0.0646159367964334
187,44.875,696,1.4375,7,0.18612547,8.246211251235321,0.2481852063291066
188,46.125,713,0.375,17,0.10615592,14.142135623730953,0.123102608440257
189,52.5625,794,0.75,49,0.19592394,7.615773105863909,0.2194565875660265
190,33.5625,501,1.625,17,0.3428325,6.708203932499369,0.5054853166755848
191,30.625,433,1.375,44,0.4985909,5.830951894845301,0.5838043190662017
192,40.625,622,0.9375,55,0.08295121,11.0,0.0758421910533421
193,29.75,464,0.875,5,0.2710318,11.0,0.2913132764929869
194,33.25,487,1.25,17,0.44492278,4.47213595499958,0.6333996104353617
195,42.625,671,0.875,2,0.22700587,8.0,0.3235798228662346
196,31.625,485,1.4375,9,0.3303778,7.0,0.4447030532407995
197,38.1875,595,1.0625,5,0.22963531,8.602325267042627,0.2697798604584271
198,60.6875,950,2.0625,21,0.077386305,18.0,0.071386960832265
199,31.0,475,2.25,24,0.3572943,7.0,0.5451402534879152
200,53.625,820,0.25,14,0.09984535,18.0,0.1086826082735041
201,49.5,756,0.875,29,0.11780079,8.54400374531753,0.1233990004856064
202,37.625,587,0.8125,0,0.121122226,10.198039027185567,0.1540464276308364
203,46.375,657,1.3125,60,0.3561545,6.082762530298219,0.3980232574101025
204,41.375,611,2.625,38,0.39202058,6.0,0.4375356166782876
205,28.5625,424,3.625,32,0.44597772,5.0,0.6581642110749825
206,54.5,773,1.3125,30,0.11210655,5.0,0.056526766438865
207,45.25,699,1.1875,4,0.17361844,9.0,0.1984231842900636
208,8.0625,129,0.3125,2,0.3334245,9.0,0.6873825788753763
209,44.8125,641,0.25,5,0.19600862,22.47220505424423,0.0589567256007531
210,40.625,623,0.9375,22,0.25744644,8.0,0.3246554910962478
211,11.9375,172,1.125,4,0.41739437,7.0,0.8202325611671448
212,43.1875,649,0.9375,66,0.20191725,8.06225774829855,0.2205889868416378
213,31.6875,491,2.25,26,0.27268764,8.602325267042627,0.3684959477624531
214,31.375,465,1.8125,58,0.43610063,6.324555320336759,0.5330679528659152
215,45.5625,682,1.75,74,0.3272225,7.071067811865476,0.3695140441713529
216,24.0625,371,0.6875,24,0.20587876,13.0,0.1433751738196209
217,51.25,748,1.0,41,0.19161718,5.656854249492381,0.1540474646056753
218,45.9375,706,1.9375,21,0.24190408,8.126641474326151,0.3434004668348295
219,13.6875,220,0.25,1,0.23482347,13.038404810405298,0.4447255009227028
220,40.375,593,0.4375,1,0.15313476,21.213203435596427,0.0510626666980319
221,20.25,309,1.125,43,0.20698084,19.235384061671343,0.4025215098803836
222,8.875,146,0.1875,2,0.15248828,45.0,0.3310913960247919
223,2.125,32,0.125,4,0.22792622,34.685005040764494,0.7153512981517205
224,3.125,48,0.125,0,0.25619674,14.0,0.7433399756717829
225,33.8125,512,0.25,2,0.019362139,41.0,0.0067423550393666
226,11.4375,195,0.0,4,0.048384104,89.49022201386671,0.0534751118335473
227,3.0625,34,0.0625,1,0.3152999,38.0,0.727858837658755
228,6.875,118,0.0625,6,0.10629562,41.23105625617661,0.2309079569595767
229,7.4375,107,0.0,9,0.37709898,14.0,0.7604301976150297
230,6.125,100,0.0,6,0.018700633,208.6045226232224,0.024343801741327
231,7.5,115,0.0,4,0.2805478,9.486832980505138,0.7054537267837158
232,7.25,114,0.125,2,0.21343225,28.268346401319132,0.5803229202442233
233,6.1875,101,0.0625,0,0.027428338,121.24870837416546,0.049513227798603
234,6.1875,104,0.0,1,0.013236822,130.94461905814882,0.0240021294559489
235,7.4375,128,0.375,33,0.041822646,66.06814663663572,0.0672177000125522
236,5.4375,99,0.0,0,0.012518851,114.31965482760064,0.0
237,2.1875,19,0.125,12,0.34474653,9.0,0.8438871473354232
238,8.5,143,0.0,3,0.08568483,52.02979747625653,0.1742700402283856
239,10.875,185,0.0,8,0.034615386,66.75702199750631,0.0660115176345872
240,12.6875,206,0.1875,2,0.03704816,55.54277630799526,0.0094023243770788
241,11.6875,201,0.0,6,0.06950036,50.30109012849836,0.0800208475559176
242,15.3125,218,0.8125,56,0.27674562,30.89254590181287,0.5794321269094351
243,1.5,17,0.0,2,0.5178008,5.0,0.9421319644255228
244,7.1875,123,0.375,4,0.16604361,27.29468812791236,0.3949807126811666
245,6.1875,114,0.1875,0,0.019512761,110.97612216651522,0.0603815413336444
246,43.0,651,0.0,2,0.025503356,54.0,0.0179780609972215
247,9.0625,147,0.1875,0,0.22532476,15.723986448752871,0.5243772922345635
248,2.0,19,0.0,11,0.29015768,11.0,0.7395442023541198
249,6.1875,100,0.0,3,0.22592285,14.672751583480688,0.6327870331020053
250,7.4375,121,0.125,0,0.18757823,15.277425929795578,0.491830554345709
251,12.5625,205,0.25,32,0.09918872,49.04079934095692,0.1189065734066091
252,8.3125,131,0.3125,31,0.022599109,102.28586973980184,0.0264091971846342
253,5.0,66,0.0,14,0.34681898,10.04987562112089,0.6632769059807924
254,13.4375,226,0.0,5,0.051757295,45.0,0.0714549603659395
255,12.1875,194,0.1875,1,0.054612674,93.98244134208385,0.0772910157298812
256,5.0,86,0.0,1,0.012054188,94.72222174421934,0.0126748971193415
257,11.375,181,0.0625,9,0.18686283,21.095023109728988,0.5159679326759683
258,11.125,175,0.0625,7,0.24193604,13.038404810405298,0.5862810017022618
259,12.375,209,0.0,9,0.029685806,55.16701850733961,0.0618208227843805
260,12.375,205,0.0,4,0.027802916,51.62170071770013,0.0153487551778215
261,1.1875,13,0.3125,15,0.37867275,8.246211251235321,0.8761676569787801
262,9.3125,122,0.75,39,0.33188245,11.6619037896906,0.7534277468725181
263,8.75,114,0.3125,19,0.44434166,6.708203932499369,0.7427163346057972
264,9.125,144,0.125,17,0.06945706,41.23105625617661,0.0685165034784733
265,10.5,173,0.0,3,0.056055855,65.76473218982953,0.098720730499239
266,13.75,216,0.375,32,0.23640595,40.45985664828782,0.3584320883376472
267,4.0625,66,0.1875,1,0.2666416,13.461016370156688,0.6811617327065413
268,4.5625,73,0.125,0,0.2740662,15.25286056371266,0.674187214517496
269,7.5,125,0.1875,3,0.18551199,16.76305461424021,0.558311242078168
270,12.1875,199,0.375,34,0.0150090195,64.35060217278468,0.0193680948791288
271,5.1875,76,0.0,3,0.47307497,80.22468448052632,0.8493598035864109
272,6.5,94,0.0,3,0.3500118,58.17681613230168,0.6780984038095681
273,11.375,191,0.75,12,0.070301816,147.8441743265539,0.1206175299867958
274,3.5,56,0.1875,5,0.33762142,34.0147027033899,0.7896618399007713
275,8.3125,117,2.125,16,0.70224553,7.280109889280518,0.894125935389302
276,6.9375,120,0.125,6,0.034596805,92.14472066242404,0.1386539339392119
277,27.375,416,0.4375,7,0.06179465,307.2764227816025,0.0557101445063607
