ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,2.0,13,0.1875,16,0.603874,4.47213595499958,0.9279001537317154
072,1.5,6,0.0625,12,0.43400496,7.071067811865476,0.9251846058204164
073,0.875,5,1.1875,12,0.7896175,2.0,0.9770064588116164
074,0.9375,6,0.75,10,0.60202277,4.0,0.9836161098449364
075,0.5,0,0.0,3,0.53736365,4.242640687119285,0.9589072943911654
076,0.5625,5,1.0,13,0.839942,1.4142135623730951,0.9793917439421108
077,0.375,1,0.3125,5,0.60829306,3.1622776601683795,0.978250453079985
078,1.9375,19,0.1875,13,0.7107136,2.23606797749979,0.9133513244571976
079,0.875,6,0.0,1,0.38471687,7.071067811865476,0.9489811701497756
080,0.5625,7,0.3125,4,0.72994286,2.23606797749979,0.971397095397894
081,1.6875,12,0.0625,11,0.59145814,5.0,0.9381006781225047
082,2.3125,25,2.25,40,0.80824274,1.4142135623730951,0.9432878827857296
083,1.5625,11,0.375,20,0.4509465,6.4031242374328485,0.9527883911967135
084,0.4375,2,0.125,4,0.52288556,5.0,0.9751386687797148
085,0.25,1,0.0,3,0.56333727,4.0,0.9708855079365438
086,0.9375,7,0.125,2,0.55180836,4.123105625617661,0.9660464138742364
087,2.5,21,0.5,21,0.60057265,4.47213595499958,0.9202312064143338
088,0.75,8,0.0,5,0.44772452,6.0,0.9667703067676472
089,0.5625,5,0.125,2,0.5860453,4.47213595499958,0.9241350996258978
090,2.5,19,0.0,24,0.57975376,4.47213595499958,0.9125558427653218
091,1.6875,11,0.0,18,0.49112836,6.0,0.8725157731428189
092,1.5625,7,0.75,8,0.45301366,6.082762530298219,0.9562142231233648
093,0.9375,8,0.5,1,0.5588534,4.123105625617661,0.9676512252676228
094,0.5625,1,0.0,1,0.52577865,5.0,0.9736877167067722
095,0.8125,5,0.8125,11,0.8115284,2.0,0.987950578291266
096,0.4375,1,0.1875,2,0.75910425,2.0,0.9773888069971226
097,1.625,8,0.0625,14,0.52497053,5.656854249492381,0.9220210305752734
098,1.5,15,0.0,6,0.43194103,7.0,0.9336380782272968
099,0.6875,4,0.3125,8,0.7229412,2.23606797749979,0.9548376471350296
100,0.5625,5,0.3125,4,0.5291863,5.0,0.9678861801699176
101,0.375,2,0.25,3,0.8291377,1.4142135623730951,0.9828615510009168
102,1.3125,4,0.0625,17,0.56934494,5.0,0.9339636571799428
103,3.375,37,0.375,15,0.58391714,5.0,0.9095395016542516
104,2.0,23,0.0,18,0.5451552,5.0,0.91162684752448
105,0.25,1,0.625,5,0.54972196,4.0,0.9720226674400964
106,1.0,4,0.3125,8,0.6013673,3.1622776601683795,0.9803980120301796
107,0.4375,2,0.3125,5,0.82898337,1.0,0.9624711784493164
108,0.25,2,0.1875,0,0.7448667,2.0,0.9714261597300992
109,1.4375,7,0.0,13,0.5592217,5.0990195135927845,0.9368823227535916
110,0.5625,6,0.125,5,0.7358136,2.0,0.972981429928416
111,0.3125,1,0.375,1,0.7977708,2.0,0.9859575657227242
112,0.625,2,0.25,3,0.8149964,2.0,0.9752102403777222
113,0.75,6,0.0,1,0.76876897,2.0,0.9712391581363078
114,3.875,31,0.0,23,0.5450524,5.0,0.8969175113160104
115,0.875,6,0.5625,9,0.5826774,4.0,0.972088131807662
116,0.4375,2,0.0625,0,0.5733595,4.0,0.9739293282736188
117,0.5,3,0.6875,8,0.79013157,2.0,0.9894470321733932
118,0.375,1,0.1875,2,0.55279124,4.0,0.9762500437849736
119,0.625,4,0.5,9,0.61372274,3.605551275463989,0.983241306000026
120,0.25,1,0.5625,0,0.8382717,1.0,0.9849549631084172
121,18.8125,264,0.4375,38,0.5072246,6.4031242374328485,0.622958366404206
122,7.9375,95,0.375,24,0.54909873,5.385164807134504,0.7854080352189485
123,0.6875,4,0.9375,11,0.8228352,2.0,0.99604313987393
124,46.875,688,1.25,15,0.10248486,18.0,0.1013689302452329
125,4.6875,49,0.625,38,0.5503898,8.48528137423857,0.8340378985764941
126,1.75,20,0.0,3,0.35636893,10.0,0.9148413210217904
127,0.5,2,0.5625,5,0.793122,2.0,0.9930795454578676
