ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,1.9375,12,0.125,17,0.60295993,5.0,0.9274574838239572
072,2.0,8,0.0625,16,0.42626432,7.211102550927978,0.9146941305765186
073,1.75,14,0.75,7,0.80206174,2.0,0.9754379448378816
074,1.125,5,0.625,14,0.6170456,4.0,0.9831500998177352
075,1.0,5,0.0,6,0.5455157,4.242640687119285,0.9654925125740932
076,0.5625,6,1.125,13,0.8518971,1.0,0.9818569664775988
077,0.5625,3,0.1875,6,0.6255119,3.1622776601683795,0.9813264820611576
078,1.625,13,0.0,7,0.72273725,2.23606797749979,0.9080748773637936
079,0.5,3,0.0,1,0.38596305,7.071067811865476,0.956376226877348
080,0.75,9,0.3125,6,0.73732656,2.23606797749979,0.968116812635578
081,1.875,8,0.0,22,0.5869471,5.0,0.9149001932092446
082,1.9375,24,2.0625,37,0.8168453,1.4142135623730951,0.9494084275915624
083,0.875,3,0.5,19,0.4702321,6.324555320336759,0.9671917224389828
084,0.5625,4,0.125,4,0.53539807,5.0,0.9770637666831438
085,0.3125,2,0.0,5,0.57774186,4.0,0.9812199078188248
086,1.25,12,0.0625,3,0.5576117,4.123105625617661,0.9620036707916716
087,3.75,37,0.5,23,0.6058315,4.47213595499958,0.9205821038229952
088,0.625,8,0.0,3,0.45524758,6.0,0.9664169096984796
089,0.5,5,0.25,6,0.5901576,4.242640687119285,0.9164601616604082
090,2.5,18,0.0,24,0.57942194,5.0,0.9099518506607804
091,1.9375,15,0.0625,17,0.4855721,6.0,0.8745796919206849
092,2.0,15,0.6875,15,0.45818415,6.082762530298219,0.9490402664876358
093,1.375,16,0.4375,1,0.5784374,4.123105625617661,0.9682266415078395
094,0.6875,1,0.0,3,0.5365693,5.0,0.9773854851736472
095,0.6875,7,0.625,7,0.82330024,2.0,0.9909047349685426
096,0.4375,0,0.1875,2,0.7653613,2.0,0.9817065105301152
097,2.4375,18,0.0625,17,0.5247045,5.656854249492381,0.9260046041788464
098,1.8125,17,0.0,10,0.42943913,7.0,0.9299189120756332
099,1.5,9,0.4375,10,0.7240497,2.0,0.9525134701189868
100,1.1875,5,0.3125,11,0.5472957,5.0,0.973650979136989
101,0.4375,4,0.6875,8,0.82976717,1.4142135623730951,0.979971412559748
102,2.5625,22,0.125,18,0.56949943,5.0,0.9227116791128116
103,5.6875,67,0.625,18,0.5592026,5.0,0.8613984833589277
104,2.3125,16,0.0,22,0.54731214,5.0,0.9213914891304156
105,0.5625,1,0.8125,13,0.56796753,4.0,0.9813406437920056
106,1.375,9,0.5,16,0.6149666,3.1622776601683795,0.9854189224781248
107,0.4375,2,0.0625,1,0.83277416,1.0,0.9629484358808515
