ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,1.25,10,0.125,9,0.67239684,4.123105625617661,0.9511971655732048
072,1.3125,7,0.0625,7,0.50181615,7.0,0.9549560121416024
073,0.75,0,0.625,1,0.8651661,2.0,0.9901617728644886
074,0.5,0,0.75,11,0.6606493,3.605551275463989,0.9915085161202392
075,0.5,2,0.0625,2,0.58711547,4.0,0.9718627430079084
076,0.5625,3,0.375,4,0.88769644,1.0,0.9912831049426636
077,0.625,2,0.0625,7,0.6566334,3.0,0.9833578554931158
078,0.8125,7,0.125,6,0.75323945,2.0,0.927341527992176
079,0.5,3,0.0,2,0.4486912,7.0,0.9779510022271716
080,0.5625,2,0.3125,5,0.78879255,2.0,0.9802283167507562
081,1.3125,5,0.0,16,0.66343135,4.123105625617661,0.9627356494928472
082,1.125,7,1.125,19,0.8270131,1.4142135623730951,0.970301188700652
083,1.4375,10,0.3125,19,0.50385445,6.082762530298219,0.9682717683301676
084,0.375,3,0.3125,6,0.57194316,4.47213595499958,0.9822956624372972
085,0.1875,0,0.0,1,0.6032828,4.0,0.9876620137203718
086,0.875,2,0.125,3,0.6071864,4.0,0.9805095545071382
087,2.0,13,0.4375,16,0.6709515,4.123105625617661,0.9405091109916368
088,0.625,6,0.125,1,0.50256044,5.830951894845301,0.9818470008512344
089,0.3125,0,0.1875,4,0.6530199,4.0,0.9488194320937986
090,1.75,9,0.0,20,0.6496198,4.123105625617661,0.9433978795756462
091,0.875,4,0.0,8,0.5628505,6.0,0.921997844622637
092,1.5,2,0.6875,9,0.5192609,6.0,0.9733280925374812
093,1.5625,15,0.5,0,0.61248505,4.0,0.9792562042593512
094,0.625,0,0.0,0,0.5721303,4.242640687119285,0.9881946597308656
095,0.625,6,0.625,7,0.89115214,1.0,0.9918976820258428
096,0.75,4,0.1875,2,0.8104399,2.0,0.98961853437912
097,1.125,3,0.0625,14,0.5918257,5.0,0.9572986005877102
098,1.3125,9,0.0,7,0.4975912,6.4031242374328485,0.9613764460105698
099,0.75,3,0.1875,8,0.7787944,2.0,0.9696269642004036
100,0.8125,1,0.25,5,0.58133733,5.0,0.9804215826855884
101,0.5625,2,0.1875,1,0.8741727,1.0,0.9912998462632808
102,1.25,6,0.0625,12,0.6435657,5.0,0.9584324717825956
103,1.375,16,0.125,3,0.68983823,4.0,0.9485597106669608
104,1.6875,10,0.0,13,0.61750555,5.0,0.9473698100515656
105,0.375,0,0.5625,6,0.59509015,4.0,0.9883634128134192
106,1.3125,8,0.5625,16,0.65273327,3.0,0.9881807029882084
107,0.5,2,0.0625,1,0.80974126,1.4142135623730951,0.9742481675824046
108,0.6875,5,0.125,2,0.8029629,2.0,0.985770095672741
109,1.75,8,0.0,10,0.6258419,5.0,0.9610142554723416
110,0.6875,4,0.25,5,0.80950266,2.0,0.9839250150082254
111,0.3125,1,0.1875,1,0.86734635,1.4142135623730951,0.9924903409189586
112,0.5,3,0.25,4,0.84947383,1.4142135623730951,0.9833929972839588
113,0.5625,3,0.0,2,0.8177237,2.0,0.9851151022919684
114,3.375,25,0.1875,13,0.60372883,5.0,0.9209296607650757
115,1.1875,8,0.4375,8,0.63587785,4.0,0.9835457823855068
116,0.3125,0,0.125,1,0.62173337,4.0,0.9879973808135184
117,0.25,0,0.5,6,0.87350124,1.4142135623730951,0.9962517065688866
118,0.5625,2,0.1875,4,0.60210294,4.0,0.9830803771875852
119,0.375,1,0.5,6,0.6726842,3.1622776601683795,0.993380461454828
120,0.375,1,0.5625,2,0.8705823,1.0,0.990821998622751
121,7.25,98,0.875,5,0.6891547,6.0,0.8575598996770546
122,3.5,27,0.375,17,0.65519476,5.0,0.8487620785057397
123,0.125,0,0.4375,2,0.91073257,1.0,0.998573279261843
124,21.6875,294,2.1875,39,0.20096356,17.46424919657298,0.2136106073644453
125,3.4375,29,0.6875,33,0.67426556,6.4031242374328485,0.8733769599383044
126,1.0,7,0.5625,7,0.5032117,8.54400374531753,0.9722372258831156
127,0.375,0,0.3125,1,0.8844792,1.4142135623730951,0.996921993125318
128,0.125,2,0.25,5,0.55528677,7.615773105863909,0.9641829546582004
129,1.625,12,1.125,28,0.66915786,4.123105625617661,0.9772005622140963
130,2.3125,34,0.75,14,0.60403794,9.899494936611664,0.9555604171224386
131,4.3125,45,0.5,32,0.6109047,8.246211251235321,0.8646379269219441
132,0.375,3,0.375,6,0.5681881,7.0,0.9766206163655686
133,10.0625,132,1.4375,2,0.6771812,5.0,0.7984653983225563
134,2.8125,29,1.375,28,0.60434383,6.0,0.922327124849217
135,3.25,28,1.5625,18,0.58902276,8.06225774829855,0.9184670290867164
136,18.9375,249,2.1875,30,0.49756622,16.0,0.5586488765074593
137,0.0625,1,0.0625,0,0.84097934,1.4142135623730951,0.9969110020476571
138,0.5,4,0.0625,0,0.5460323,6.0,0.982121397555265
139,3.8125,58,1.75,29,0.6252182,14.0,0.8369354847801371
140,0.3125,1,0.125,0,0.59648275,8.94427190999916,0.9720822248990048
141,0.25,3,0.0,0,0.5305147,6.708203932499369,0.9786531870811808
142,13.0625,192,1.1875,19,0.65178895,15.811388300841896,0.8583335145811918
143,0.8125,7,0.0625,1,0.6103411,6.324555320336759,0.977565358407325
144,2.5625,36,0.9375,13,0.60809815,9.486832980505138,0.9492212156212596
145,5.625,81,1.4375,22,0.6799741,8.06225774829855,0.8284119075705831
146,3.9375,29,0.375,23,0.6657832,5.0,0.9208019422131256
147,22.3125,280,3.3125,53,0.3261296,20.0,0.331527338280391
148,0.1875,0,0.0,1,0.59582543,5.0,0.9841678886178202
149,0.25,1,0.25,5,0.5575222,7.615773105863909,0.9835526315789472
150,2.3125,31,0.0625,2,0.6696212,6.4031242374328485,0.9441702807320684
151,9.375,133,0.5,0,0.6841951,8.0,0.8918370643000195
152,0.25,1,0.1875,1,0.64814913,5.0,0.9848010387229816
153,12.0,179,0.5,6,0.6885306,10.0,0.8491865810263541
154,3.125,34,0.625,18,0.6902652,5.830951894845301,0.8967842504082054
155,20.375,268,2.8125,44,0.22080834,17.0,0.2534751263660719
156,0.4375,3,0.0,4,0.623027,6.4031242374328485,0.9633149910926668
157,6.8125,102,0.6875,11,0.55121934,19.0,0.9188520643332572
158,0.1875,1,0.0625,1,0.49511075,8.0,0.9773071104387292
159,0.4375,3,1.3125,21,0.564062,9.0,0.9564502875924404
160,4.5625,59,1.375,30,0.46557814,21.095023109728988,0.7335680333470936
161,12.3125,166,1.5625,12,0.6581815,7.0,0.7650357239274548
162,4.625,49,0.8125,26,0.66125375,5.0,0.9372984862556014
163,3.1875,33,0.3125,10,0.637368,6.0,0.9020623820161764
164,0.1875,0,0.0625,0,0.7749968,2.23606797749979,0.9932360754122774
165,0.1875,2,0.0625,0,0.8030208,2.0,0.9965681022403337
166,0.5625,0,0.0,6,0.62788,4.47213595499958,0.9851904813103614
167,1.6875,13,0.75,23,0.7082798,4.123105625617661,0.9689547287317752
168,0.75,8,0.1875,2,0.63290673,8.48528137423857,0.9594392475516906
169,7.0,96,1.4375,23,0.6719934,7.615773105863909,0.7702958153492837
170,3.625,35,0.1875,15,0.6307723,6.082762530298219,0.9223007349648098
171,20.8125,277,3.8125,65,0.3226144,9.219544457292889,0.3084603228551464
172,17.4375,225,9.9375,174,0.5058333,6.0,0.5219874070235687
173,7.875,112,13.5625,227,0.6907744,6.0,0.7217121161150721
174,34.6875,471,2.9375,36,0.15688579,18.0,0.1708088298849792
175,32.125,413,0.75,44,0.17581081,10.0,0.1112958632179366
176,31.5625,404,0.4375,32,0.32977396,11.0,0.313610725946109
177,25.0,289,2.0,13,0.20265657,8.54400374531753,0.1897553723476145
178,11.3125,146,8.625,148,0.44032496,11.0,0.4455451531350441
179,18.875,240,2.125,2,0.44233364,5.0,0.4745360058569211
