ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.75,10,0.5625,7,0.75794953,6.0,0.9362627656508212
072,1.0,12,1.1875,20,0.8929885,6.324555320336759,0.9618855378769888
073,0.6875,6,1.5625,21,0.9131316,2.0,0.9716419510251816
074,0.25,3,0.25,3,0.9659059,1.0,0.9951225490204962
075,0.5,8,0.3125,5,0.8897159,3.0,0.979442482952414
076,0.625,9,1.125,16,0.91517085,1.0,0.9840965568884824
077,0.375,6,0.8125,12,0.9062171,3.0,0.9717500277676996
078,0.8125,11,1.375,20,0.699106,5.0,0.871761241297841
079,1.5,19,0.875,14,0.9055139,4.0,0.9629431967433958
080,1.625,23,1.4375,19,0.84495205,2.0,0.957759813532318
081,1.0,7,0.875,14,0.78082705,6.0,0.9304761986328968
082,2.0625,24,2.0625,15,0.78740865,2.23606797749979,0.952456666515332
083,0.25,3,0.25,4,0.9544107,1.4142135623730951,0.9944632685342688
084,0.375,2,0.3125,5,0.96552145,1.0,0.9975922307719982
085,0.25,2,0.0,0,0.87707305,3.0,0.9925209173999324
086,0.25,2,0.625,10,0.86029816,4.0,0.9725499504383452
087,1.375,16,1.375,17,0.7992746,5.0990195135927845,0.935752939324492
088,2.125,30,0.625,11,0.8613463,4.0,0.9583228292544956
089,1.1875,16,0.75,10,0.7755222,5.0,0.9605299625569932
090,1.125,7,0.25,3,0.77023304,6.0,0.9504126037711328
091,1.1875,13,1.0,14,0.8281341,7.280109889280518,0.9327100789821232
092,0.5625,4,0.375,6,0.9394776,2.0,0.9905561588199442
093,1.125,14,0.75,13,0.9519506,1.0,0.9838869664128012
094,0.5625,7,0.1875,3,0.9007794,3.0,0.9907496586617104
095,0.8125,13,0.5,5,0.9272635,1.0,0.9899050465202976
096,1.3125,18,0.625,8,0.8952942,1.0,0.986331244037156
097,1.3125,14,1.125,17,0.8312568,6.0,0.9495371218794586
098,1.5,15,1.125,19,0.89828837,6.0,0.9566817765129696
099,0.375,5,0.25,5,0.7835934,3.0,0.9750835303259078
100,0.8125,12,0.0625,1,0.95721674,1.0,0.9927301602360435
101,0.125,0,0.625,5,0.89190656,2.0,0.9867565918510272
102,1.1875,16,0.6875,8,0.81976825,5.385164807134504,0.9415565151859174
103,2.25,34,3.4375,55,0.7777397,4.47213595499958,0.9400886969113882
104,0.9375,11,0.9375,15,0.8001853,6.324555320336759,0.9421981075669807
105,0.0625,1,0.125,2,0.9388638,1.4142135623730951,0.9975197507434184
106,0.4375,4,0.125,2,0.9458935,1.0,0.9938504383780624
107,0.25,2,0.75,9,0.67101824,3.0,0.9719805014840238
108,2.4375,35,0.75,12,0.87585795,2.0,0.9670370347168176
109,1.0,8,0.8125,12,0.7672862,6.0,0.946414924985426
110,1.4375,20,0.625,8,0.8120439,3.0,0.9682224945802128
111,0.3125,2,0.1875,2,0.9161624,1.4142135623730951,0.9897280832659948
112,0.75,9,0.25,1,0.82912743,2.0,0.9861619205330022
113,2.625,37,1.3125,22,0.7989342,2.8284271247461903,0.9397940182989016
114,1.25,17,1.0625,17,0.7989899,6.0,0.9325375855497576
115,0.3125,3,0.0,0,0.9418946,1.0,0.9936359440218304
116,0.5,5,0.375,6,0.9194213,2.0,0.9855749700187362
117,0.25,1,0.3125,3,0.91629106,1.0,0.9942873542351306
118,0.5,4,1.0,16,0.9053783,2.0,0.9880343547022818
119,0.375,0,0.0625,1,0.94734097,1.0,0.9967806894512404
120,0.0,0,0.375,3,0.85359454,2.0,0.9961660219972616
121,2.8125,31,1.75,12,0.86710536,3.605551275463989,0.9363694553862228
122,1.375,19,0.375,1,0.8192633,4.0,0.907990113512632
123,0.5,6,0.375,1,0.95724493,1.0,0.9959424344551387
124,19.9375,275,5.1875,85,0.5706363,13.0,0.556946457462186
125,2.4375,32,1.4375,15,0.8727612,3.0,0.9079702897793342
126,1.875,28,0.5625,9,0.9426922,2.23606797749979,0.9797046867893608
127,0.4375,7,0.0625,1,0.9442786,1.0,0.9926001231267186
128,0.75,11,0.75,12,0.9506076,2.8284271247461903,0.9929896169509907
129,0.875,11,0.8125,9,0.90910393,2.0,0.9746069072440252
130,5.125,74,2.0,32,0.87300605,8.246211251235321,0.8896385998639285
131,2.375,30,1.125,2,0.9132776,3.605551275463989,0.9206532027590708
132,2.0,31,2.25,36,0.91245455,4.123105625617661,0.9585719769535664
133,10.0625,141,4.5,58,0.74807936,6.0,0.780180744844525
134,1.25,14,0.9375,1,0.87848455,4.0,0.9609783900877792
135,0.9375,13,1.1875,19,0.9017326,4.0,0.9585535252030324
136,11.8125,162,5.6875,93,0.67732656,12.0,0.6512612880373471
137,0.25,3,0.125,1,0.93045884,1.0,0.9919872775093278
138,1.3125,19,1.1875,18,0.91296744,3.0,0.965000577451451
139,9.5625,144,4.1875,69,0.8605607,16.598131167170045,0.8345509865724123
140,1.0,14,1.8125,30,0.9267705,3.1622776601683795,0.9616296071419445
141,0.9375,15,1.0,16,0.8660919,4.123105625617661,0.948842459688014
142,6.625,99,3.5,56,0.8340668,9.0,0.8477821923314
143,3.4375,54,1.3125,23,0.90514076,5.656854249492381,0.948566869418195
144,7.625,113,3.1875,53,0.8345655,19.313207915827967,0.8528276219224503
145,1.25,18,2.125,35,0.8901493,4.0,0.9558122379411584
146,1.6875,19,0.5,2,0.8857863,3.0,0.9623674493271828
147,10.0,130,2.5625,42,0.7560019,9.486832980505138,0.6825826251111424
148,1.4375,20,1.6875,27,0.85019934,4.0,0.9441356345121876
149,2.375,37,1.125,20,0.9115001,3.0,0.958122587328703
150,5.5625,83,4.375,72,0.7745204,14.866068747318506,0.8139774177520861
151,4.0625,63,4.75,76,0.79760444,7.0,0.8274558016654572
152,1.5625,23,0.8125,11,0.9184498,2.23606797749979,0.9811366478197924
153,8.5,117,3.1875,53,0.8083613,8.0,0.829270735896769
154,1.75,13,1.125,7,0.85228497,4.0,0.931278697763022
155,14.0,190,4.0,66,0.5535365,11.180339887498947,0.5619267710964603
156,1.25,15,1.5,23,0.9089709,3.0,0.9544131412217578
157,4.1875,66,3.4375,56,0.8980535,9.0,0.8833352674944877
158,2.75,40,0.8125,13,0.9010391,3.605551275463989,0.9544801366439628
159,1.1875,16,2.9375,48,0.92518216,3.0,0.9758867250738288
160,3.75,49,1.8125,0,0.9017262,5.0,0.9042556784371368
161,10.5,147,3.75,52,0.7233484,7.280109889280518,0.739870084794896
162,2.125,20,1.9375,13,0.8715214,3.605551275463989,0.9430185171646128
163,1.4375,16,0.6875,10,0.88908935,4.0,0.9479032435187296
164,0.8125,9,0.125,2,0.89556384,2.0,0.988312127253724
165,0.375,5,0.1875,3,0.9324158,1.4142135623730951,0.9901998481369446
166,1.125,15,1.375,21,0.87324226,4.0,0.9669269760427608
167,1.375,23,1.4375,16,0.82967675,3.605551275463989,0.9535403378291508
168,4.375,65,1.75,29,0.85049707,12.083045973594572,0.8870576949578108
169,0.75,9,2.0625,32,0.88422,4.242640687119285,0.9548783134509754
170,1.25,15,0.375,1,0.8920967,4.0,0.963894618006782
171,8.0625,103,13.0,214,0.68671614,5.0,0.7082660860094511
172,8.5,114,10.1875,168,0.77384424,5.0,0.7963548477385514
173,2.125,33,9.6875,158,0.8640852,4.0,0.9194805611028972
174,16.8125,230,9.9375,159,0.644664,5.0,0.6168043702462532
175,33.0625,451,1.8125,23,0.1569779,6.324555320336759,0.0952089782538055
176,34.1875,468,1.375,22,0.3362514,9.86404894224055,0.304167563779564
177,31.3125,430,6.0625,60,0.26569808,7.0,0.2216916216373109
178,5.125,72,11.1875,187,0.79365927,5.0,0.8571708349339038
179,9.5625,131,10.25,158,0.5872491,5.0,0.6996367266100006
180,15.75,204,12.5625,181,0.5579995,5.0,0.603825328490009
181,28.8125,394,5.5,47,0.16822912,19.0,0.1546422208195149
182,6.0,80,21.1875,363,0.7351175,4.0,0.801789822784897
183,8.75,134,10.3125,174,0.7378825,5.656854249492381,0.7548674220665758
184,22.75,293,9.875,254,0.6190033,4.242640687119285,0.7165815134709529
185,3.625,57,11.5,195,0.8477657,4.0,0.8910431892155929
186,11.1875,148,8.6875,141,0.6545216,5.0,0.6281405564632461
187,9.5625,124,15.3125,247,0.74455893,5.0,0.7741712213405139
188,43.0,630,8.875,136,0.18615046,18.43908891458577,0.1906760439203865
189,31.5,419,8.8125,102,0.2614993,8.0,0.235201958275128
190,2.3125,33,10.125,175,0.842378,4.123105625617661,0.9098786641507144
191,13.5,189,15.5,242,0.6322355,6.0,0.6942955804519929
192,23.5,307,7.375,90,0.28064135,9.055385138137416,0.2195617764846749
193,5.75,80,7.75,132,0.81054705,6.708203932499369,0.8577933467410498
194,3.0,38,10.5625,178,0.8381489,3.1622776601683795,0.9170745166701376
195,6.6875,95,7.875,132,0.8047288,5.0,0.8307092905018897
196,4.0,54,7.3125,123,0.8538182,4.0,0.914234194977921
197,4.75,70,9.8125,167,0.81453866,5.0,0.8602745914957655
198,14.3125,191,15.1875,241,0.6170435,5.0,0.6136226811149854
199,2.0,24,11.1875,185,0.8525239,5.0,0.914023242398334
200,45.4375,669,11.6875,185,0.13415565,20.0,0.1420694549263886
201,23.625,303,6.8125,95,0.23321503,13.038404810405298,0.1906288679357508
202,6.375,95,16.75,285,0.72779167,7.0,0.7768982853061105
203,15.25,195,13.5,202,0.6205098,5.830951894845301,0.6711641022938312
204,13.5,175,18.5,287,0.6082164,5.0,0.6277428523377827
205,2.875,37,11.875,195,0.82489836,4.0,0.8995989737113033
206,20.0625,252,14.9375,232,0.48345643,4.0,0.4075889931028174
207,8.5,114,8.5,145,0.73355144,5.0,0.7439452316966461
208,1.1875,18,0.4375,7,0.9010252,3.0,0.9612693112754526
209,41.9375,588,8.125,128,0.3254245,22.20360331117452,0.199103889489849
210,20.5625,253,12.5625,194,0.44871622,7.615773105863909,0.4319002934975817
211,1.625,27,2.0625,33,0.9377463,3.0,0.9846155234254972
212,23.9375,325,8.6875,94,0.37293738,9.0,0.3748865209299723
213,2.9375,41,9.9375,168,0.7890839,8.0,0.8509045733254839
214,12.125,167,12.1875,185,0.6609158,5.830951894845301,0.7185851567084637
215,22.6875,302,6.1875,50,0.4989303,8.602325267042627,0.4976557130076353
216,19.25,252,11.375,183,0.5374334,13.0,0.5156777838835046
217,15.8125,212,23.375,360,0.5862239,5.0,0.5930952158181741
218,7.0625,98,6.875,120,0.824483,4.0,0.8593807129307546
219,1.4375,15,1.875,33,0.9144926,3.1622776601683795,0.95881737174693
220,41.0625,574,8.3125,143,0.26041165,22.0,0.1199797278078498
221,22.375,327,6.25,66,0.45777905,17.26267650163207,0.537021845359726
222,6.5625,95,9.5625,162,0.4214519,80.0,0.4926051061962569
223,1.75,25,0.4375,4,0.7869256,41.6293165929973,0.8252541596120576
224,7.6875,119,3.3125,54,0.81199145,16.278820596099706,0.8037149905166661
225,32.1875,451,12.125,210,0.096877575,46.0,0.0784948411895609
226,8.5,117,9.0,146,0.3395386,79.9049433404056,0.3463750010579768
227,4.875,69,4.5625,81,0.74541235,42.0,0.7408791555752935
228,8.4375,120,8.375,142,0.5160787,29.0,0.5973983977245376
229,5.5625,79,3.875,74,0.6316719,25.0,0.6877386745084382
230,3.5,52,5.75,90,0.31052908,98.71676655968832,0.3291627045230011
231,1.375,19,2.4375,44,0.7162116,22.0,0.7632622287262111
232,5.3125,82,5.5,96,0.6579012,29.0,0.7032606969817984
233,14.125,212,8.8125,149,0.3874986,62.41633981564749,0.4166566774965609
234,10.375,156,13.3125,219,0.66651183,48.0,0.669369375949699
235,4.875,63,1.1875,8,0.42374265,25.612496949731398,0.6813052179915502
236,14.9375,215,11.0,187,0.2827704,100.04923616605952,0.2964535164114941
237,1.125,12,2.6875,40,0.8808169,9.0,0.9173285073845348
238,7.8125,107,6.625,109,0.2490306,89.03791217718592,0.319162879642462
239,13.9375,197,7.1875,111,0.13028164,43.28972164382672,0.1530961409809206
240,18.25,282,12.5,202,0.40708548,52.773099207835045,0.3387459301944184
241,10.875,159,6.9375,116,0.3030817,39.29758157286169,0.3562126570110638
242,8.1875,110,8.375,114,0.6243327,28.844410203711917,0.7052559033797091
243,0.75,6,0.5,10,0.8495937,5.0,0.9625649076198528
244,15.1875,239,1.9375,29,0.5761442,34.132096331752024,0.5352872586398947
245,14.5625,220,19.0625,311,0.6247775,36.0,0.6441013896322042
246,45.6875,648,8.4375,147,0.05473534,54.0,0.053333556335352
247,6.6875,96,4.9375,85,0.82267845,15.0,0.8470375041020815
248,1.8125,28,0.5625,10,0.92357695,4.0,0.9776769837391204
249,1.3125,14,8.4375,147,0.7440619,17.26267650163207,0.8247160479858006
250,9.125,128,6.875,112,0.8552506,19.4164878389476,0.7932112660873
251,10.75,158,8.3125,115,0.25144604,28.792360097775937,0.3003193655185935
252,5.375,68,7.3125,91,0.11154089,83.24061508662703,0.1530143538848125
253,3.625,46,1.8125,27,0.78301543,11.659258061759948,0.8485813612076706
254,13.5625,201,12.0625,200,0.43998525,39.0,0.5443411611613723
255,12.5,188,10.4375,176,0.29057375,65.14023257987192,0.3216671511452423
256,13.3125,197,12.3125,209,0.5315326,38.0,0.5772467354993692
257,8.25,113,9.125,143,0.64822316,29.61418578992169,0.6774117620291139
258,10.375,149,8.4375,135,0.5231397,27.0,0.6613042159163492
259,25.875,376,4.75,73,0.16825235,38.2099463490856,0.2077697143896411
260,20.5,313,9.625,158,0.3018722,47.0,0.3107206277266339
261,2.75,36,1.0,14,0.84507537,8.246211251235321,0.9128534018509544
262,6.25,80,6.0625,89,0.725396,15.0,0.817333810533146
263,1.0,16,1.5,23,0.7404325,12.083045973594572,0.9045630001644
264,3.9375,62,1.875,13,0.19402736,101.24228365658294,0.2094948473322222
265,13.8125,206,4.8125,76,0.19831851,55.0,0.2495988530322543
266,11.625,160,4.8125,61,0.30436563,40.1497140021006,0.4729506871853057
267,3.0625,43,5.25,85,0.7167505,28.625159276231912,0.7382307426907337
268,5.5,83,3.9375,62,0.81973046,17.46424919657298,0.8077575513842854
269,6.6875,93,8.0,129,0.8188734,26.08159437260024,0.8035424245069586
270,18.0625,251,5.0625,63,0.15763855,43.049969695763146,0.1756275991421788
271,2.8125,42,3.25,54,0.7595233,15.811388300841896,0.8535731656750731
272,8.3125,108,2.5625,42,0.5988688,100.0199980003999,0.614750348239636
273,12.4375,158,20.0,345,0.42656568,210.3070371782285,0.3345767993373674
274,2.375,38,0.9375,17,0.87686443,18.43908891458577,0.8395904436860068
275,3.0,44,1.4375,9,0.8325384,2.23606797749979,0.9521777717128448
276,5.9375,97,4.3125,66,0.034900352,161.594488670406,0.0794459513673899
277,20.8125,286,22.5,436,0.030400475,301.9817875303079,0.0334128283944294
278,3.375,48,0.9375,16,0.8962787,51.0,0.899802152414915
279,9.3125,142,5.0,84,0.37121692,147.82099742110415,0.4194578580237265
280,4.125,50,3.1875,51,0.9106358,25.46369481176531,0.8800615406429126
281,2.25,37,2.6875,40,0.0027401014,128.09137340776851,0.0024404599549232
282,6.25,81,2.625,35,0.52248526,27.51363298439521,0.7949519079341738
283,3.0625,35,2.4375,43,0.83362025,29.5296461204668,0.8803020712466009
284,6.9375,110,8.625,142,0.3427347,393.0778524566218,0.3595160843834714
285,6.1875,86,10.75,180,0.7256716,38.476607855332944,0.7951276917991373
286,7.5,108,4.0,64,0.0061046774,263.2299375071156,0.010667017431773
287,1.9375,28,2.0,48,0.7989563,3.0,0.9534972064711936
288,4.3125,60,5.125,92,0.104571566,194.0020616365801,0.1486670928099525
289,3.4375,47,1.375,24,0.5566268,144.08122515886853,0.5712401055408971
290,4.125,52,2.1875,27,0.0,276.0,
291,12.1875,183,6.25,109,0.31270686,196.73332198847672,0.3137292201108217
292,7.0,100,6.4375,114,0.5148131,114.60802556615326,0.6402494119606653
293,1.25,19,0.75,16,0.8049068,14.142135623730953,0.9211141382835728
