ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,1.0625,10,0.75,9,0.7535925,6.324555320336759,0.9321809586947096
072,1.3125,13,0.5625,8,0.89183277,7.0,0.9596880623875226
073,0.4375,2,1.8125,28,0.9070216,2.0,0.9698697433137377
074,0.25,3,0.1875,2,0.9691869,1.0,0.995601421133164
075,0.8125,11,0.375,6,0.89294624,3.0,0.9753942242588826
076,1.0625,15,1.1875,15,0.91215825,1.0,0.9844689320251764
077,0.4375,3,0.625,10,0.9052957,3.0,0.9732397519270148
078,0.625,9,1.0625,15,0.6955921,5.0,0.8631064914513547
079,1.625,19,1.1875,19,0.90199524,4.0,0.9517307520782544
080,1.5,21,1.125,15,0.82579756,2.23606797749979,0.9495089984187116
081,0.5625,4,0.5,8,0.777245,6.082762530298219,0.9301205325047722
082,1.375,15,2.5625,35,0.77032006,2.8284271247461903,0.9482462461086484
083,0.375,5,0.25,4,0.9549744,1.4142135623730951,0.9942911577019276
084,0.625,6,0.0625,1,0.9653324,1.0,0.9974408100512016
085,0.25,2,0.3125,5,0.8726624,3.0,0.9901691745076492
086,0.4375,4,1.0625,17,0.85344344,4.0,0.9702910499008142
087,1.125,10,1.4375,19,0.79271764,5.656854249492381,0.9359086172141148
088,1.1875,14,0.875,15,0.863618,4.0,0.9699182355819504
089,0.5625,9,0.5625,7,0.7746645,5.0,0.9650283592689582
090,0.625,5,0.5,7,0.7638272,6.0,0.9472326147566182
091,1.0,9,1.125,17,0.8248607,8.0,0.9328846365466956
092,0.25,2,0.0,0,0.9413258,2.0,0.9942732461068404
093,0.9375,10,0.6875,12,0.9507287,1.0,0.9849495579424498
094,0.5,5,0.375,6,0.899141,3.0,0.9898425831142692
095,0.9375,15,0.25,1,0.92625386,1.0,0.9939858914355552
096,1.0,16,0.75,10,0.88696086,1.0,0.9832023715628676
097,0.5,6,0.8125,9,0.82198524,6.082762530298219,0.9510776094285148
098,1.0,13,1.25,19,0.8975569,6.708203932499369,0.9560333166965332
099,0.25,2,0.25,4,0.78166735,3.0,0.9771250907696816
100,0.5625,8,0.0,0,0.95617735,1.0,0.9956135658587524
101,0.3125,5,0.625,8,0.88255405,2.0,0.9905369675658562
102,1.125,12,0.875,13,0.8126807,6.0,0.9363810146759072
103,2.4375,38,3.625,59,0.764961,5.0,0.9339238995285732
104,0.9375,10,0.5625,8,0.79470694,6.4031242374328485,0.9431451347141964
105,0.125,2,0.0625,1,0.943763,1.0,0.9978261794875896
106,0.375,2,0.125,2,0.9534951,1.0,0.9957981468891688
107,0.4375,6,1.3125,17,0.6600874,2.8284271247461903,0.973216047536408
108,2.0625,26,0.625,10,0.8703238,2.0,0.9737858022495725
109,0.875,5,0.625,9,0.7611135,6.4031242374328485,0.948913069711424
110,2.4375,33,0.8125,11,0.80625147,3.0,0.9639150805885236
111,0.875,10,0.5,5,0.9035775,2.0,0.9810665251453218
112,0.5625,6,0.375,4,0.8161887,2.0,0.9834640966022904
113,1.4375,21,1.875,30,0.781009,3.0,0.934985025223636
114,0.6875,11,0.875,15,0.79827785,6.324555320336759,0.929519460242051
115,0.625,10,0.0625,1,0.9445555,1.0,0.9951812331886332
116,0.6875,7,0.375,6,0.92736685,2.0,0.9895462932467476
117,0.25,1,0.1875,1,0.91046804,1.0,0.9961533900003948
118,0.4375,3,0.3125,7,0.9137825,2.0,0.9931231734854236
119,0.25,0,0.0625,1,0.949017,1.0,0.9973547509982342
120,0.125,1,0.3125,2,0.84976107,2.0,0.997949158364566
121,2.6875,29,2.125,16,0.8573487,4.0,0.933484441854123
122,0.9375,10,0.375,2,0.81369627,4.0,0.9122135217251608
123,0.4375,6,0.25,2,0.96528286,1.0,0.996873733572628
124,17.125,234,19.125,322,0.4306542,13.0,0.4750122549593296
125,2.375,30,0.6875,3,0.8730922,3.0,0.9326792698955564
126,0.4375,6,0.3125,5,0.95136774,2.8284271247461903,0.992644223519108
127,0.25,3,0.25,3,0.9491325,1.0,0.9932266915236088
128,0.5,6,0.625,10,0.94537145,3.1622776601683795,0.9831983797422984
129,0.5625,9,0.5625,7,0.92202646,2.0,0.981594407690776
130,4.25,58,3.1875,51,0.83949834,16.401219466856727,0.8517760134164367
131,1.3125,16,0.5,7,0.9257788,2.23606797749979,0.9568476015781506
132,1.0625,17,1.5,24,0.91638255,4.123105625617661,0.9663209664230492
133,4.5625,59,2.25,17,0.7115391,6.324555320336759,0.7704590508131653
134,1.0625,17,0.9375,4,0.8704516,4.47213595499958,0.9571185554126248
135,0.625,7,2.125,34,0.8896712,5.0,0.94338881997853
136,5.0,72,9.625,164,0.5697383,13.0,0.5313255408594788
137,0.5,6,0.0,0,0.94007397,1.0,0.9954043175312606
138,0.4375,8,0.9375,15,0.8928635,4.0,0.962047709414829
139,10.6875,166,4.3125,70,0.8740129,27.784887978899608,0.8236597401518352
140,0.875,9,0.5,8,0.9259648,3.605551275463989,0.9600879500845408
141,1.75,24,1.3125,22,0.8414141,5.385164807134504,0.9329388058616916
142,6.6875,99,2.9375,48,0.7985707,8.94427190999916,0.8394435386889242
143,2.375,38,2.1875,36,0.8944474,6.4031242374328485,0.9188768453881454
144,7.125,99,3.125,53,0.79985684,27.892651361962702,0.7956419990852668
145,0.6875,7,3.6875,62,0.86462474,5.830951894845301,0.9210508996534718
146,0.6875,3,0.4375,3,0.88335526,3.0,0.96264399499629
147,11.25,153,17.25,296,0.5343069,12.36931687685298,0.558171362278909
148,1.4375,20,1.6875,28,0.830674,5.0,0.9382850056784136
149,1.5,23,1.0,17,0.91659003,2.8284271247461903,0.970186647032185
150,5.4375,74,2.4375,40,0.75521696,21.587033144922906,0.80047942563969
151,3.125,46,1.9375,31,0.7893486,6.737383539249008,0.8470088428558848
152,1.5,20,0.9375,13,0.8983538,3.1622776601683795,0.9560437073869884
153,7.1875,93,4.75,80,0.7543722,8.54400374531753,0.74979618118732
154,1.375,9,2.625,19,0.83200425,5.0,0.915567815632986
155,16.5625,231,14.5625,247,0.4288518,12.36931687685298,0.4706508288755213
156,1.25,11,1.25,18,0.9114191,3.0,0.961573390113529
157,6.4375,98,2.4375,40,0.8904575,13.0,0.877287824813435
158,2.3125,31,1.375,22,0.89693785,4.0,0.93623348405081
159,0.625,7,1.3125,21,0.9323789,2.8284271247461903,0.985572380798756
160,2.25,31,0.9375,2,0.91484565,3.605551275463989,0.9357724174122226
161,4.1875,54,2.1875,32,0.65989584,8.0,0.7018779476232274
162,1.5625,15,1.375,4,0.86218846,4.123105625617661,0.9404355257629824
163,0.4375,5,0.375,7,0.89127225,4.0,0.953150032268932
164,0.4375,4,0.5,8,0.8959921,2.0,0.9881248867445752
165,0.25,3,0.375,6,0.9407468,1.4142135623730951,0.9916826846925216
166,0.6875,9,0.8125,12,0.87715816,4.0,0.969165273491426
167,0.75,10,0.4375,4,0.8219343,3.605551275463989,0.9574384610150548
168,5.9375,87,3.875,62,0.80821097,26.248809496813376,0.8330726580796133
169,1.4375,22,3.4375,59,0.8635882,5.656854249492381,0.9328755600690888
170,1.125,11,0.25,1,0.8977656,4.0,0.968624357666976
171,5.375,77,11.1875,184,0.73844534,6.0,0.8093273768008465
172,3.625,45,11.8125,201,0.8007985,5.830951894845301,0.859566384781215
173,1.1875,17,3.375,55,0.86666536,5.0,0.9607566127497622
174,16.875,232,13.125,217,0.6963114,8.0,0.6874479354655804
175,36.375,495,9.5625,125,0.35887218,6.0,0.2946856142475146
176,46.125,665,7.6875,92,0.41207904,9.848857801796104,0.3603441847151435
177,24.0,303,11.375,148,0.37372622,8.0,0.3588639130688419
178,7.75,110,10.0,171,0.7360713,8.54400374531753,0.7665053017617134
179,4.5,66,11.5,182,0.5877893,5.656854249492381,0.7206350368403434
180,7.9375,110,12.75,192,0.54521286,5.830951894845301,0.6195911054679749
181,41.3125,588,6.75,66,0.20578305,13.038404810405298,0.1807253980538624
182,2.75,41,8.8125,142,0.73769647,5.0,0.8985200621448501
183,4.9375,70,17.5,292,0.7631945,7.0,0.7792456101118372
184,17.3125,200,6.9375,184,0.61245,4.0,0.7015991526285468
185,1.125,18,3.375,55,0.8505976,4.47213595499958,0.936959887561471
186,7.75,105,16.125,273,0.7124809,9.848857801796104,0.690137290585824
187,6.5625,96,12.125,204,0.7451412,9.0,0.7960856533960192
188,87.625,1328,11.75,179,0.19134091,18.24828759089466,0.1728914285102574
189,28.5625,377,8.0,93,0.3430766,7.615773105863909,0.3218347181858193
190,2.125,30,3.625,58,0.8369897,5.0,0.9624664433950818
191,6.9375,88,7.625,115,0.62943906,6.324555320336759,0.7485627132118593
192,23.6875,310,11.0,152,0.36850232,8.06225774829855,0.3428983704015048
193,5.1875,67,4.6875,78,0.7926816,8.0,0.8739408353634525
194,2.1875,30,5.25,85,0.80404675,4.242640687119285,0.9497667843867288
195,3.9375,57,9.4375,155,0.81896704,6.0,0.8674307970441121
196,2.375,33,4.0625,67,0.84465057,5.0,0.9421971483929148
197,2.5625,39,9.1875,151,0.8100643,8.06225774829855,0.8754150582895229
198,12.75,182,17.0,285,0.7056412,7.0,0.7196887620562905
199,1.3125,20,1.9375,40,0.8527604,5.0,0.959187516353098
200,79.4375,1203,14.1875,214,0.17984466,20.615528128088304,0.1761228691205014
201,27.125,352,9.6875,140,0.28673607,12.181937282651404,0.2375848078398566
202,4.0625,55,16.375,275,0.6832294,9.848857801796104,0.7565863554019673
203,6.375,74,13.9375,227,0.5810588,6.0,0.6437404034487767
204,4.5625,65,8.0625,136,0.6111377,6.0,0.6748203312814806
205,1.6875,22,4.9375,84,0.8136114,4.47213595499958,0.9247302745029572
206,9.75,135,26.875,443,0.63050336,4.123105625617661,0.692109580033399
207,6.25,87,13.75,224,0.7483614,8.0,0.77689687645403
208,1.5,19,0.375,3,0.90052915,3.0,0.96289900180824
209,61.625,896,12.5625,201,0.34476253,23.0,0.1955555494887588
210,19.25,234,11.0,176,0.5040486,8.94427190999916,0.5063746052313342
211,0.9375,14,1.625,26,0.9354103,3.0,0.9897778069232436
212,19.875,260,12.5,173,0.477909,8.0,0.4864410126060169
213,2.1875,33,5.8125,93,0.74781764,13.0,0.8481640698831775
214,6.9375,98,6.0625,90,0.66383475,6.324555320336759,0.7526518319489885
215,14.8125,187,8.625,115,0.5773001,6.0,0.6124581882323931
216,26.125,355,6.75,98,0.44636005,15.0,0.4351868665232235
217,6.0,78,20.875,332,0.6464967,5.830951894845301,0.7684795008554434
218,3.3125,48,8.1875,136,0.83231455,5.0,0.88794209931909
219,0.6875,7,1.0625,19,0.9077192,4.0,0.9780167943248416
220,55.3125,791,11.0625,188,0.26762554,22.0,0.1217872993399997
221,18.5625,262,9.1875,115,0.45595703,15.0,0.5488122745574093
222,5.375,69,5.5625,95,0.4535524,79.0,0.5131845397495503
223,3.3125,50,0.375,1,0.79047775,42.0422387320487,0.8194620732002695
224,5.125,78,3.25,50,0.8241595,10.0,0.8495717480704527
225,37.375,535,10.25,181,0.12769116,46.0,0.1267096398972519
226,10.5625,143,8.875,152,0.3549399,46.0,0.3500666341856966
227,1.4375,19,2.0,41,0.7526872,41.0048773235279,0.7919232202901404
228,6.0,79,11.3125,189,0.630225,27.0,0.7278817869132079
229,4.875,69,4.875,86,0.6530867,26.0,0.6920488322924481
230,9.5625,139,8.75,150,0.25992644,39.39733467467816,0.2817943934131
231,1.6875,24,1.5625,30,0.7226479,21.02379604162864,0.8134191313398771
232,1.875,30,2.9375,53,0.6656185,27.16615541441225,0.7498056657703152
233,10.875,165,5.75,101,0.33960265,62.58671706213592,0.3673363534927922
234,5.8125,84,6.25,105,0.44674364,53.60037313302959,0.4949348740539975
235,7.3125,92,2.0,3,0.4565228,19.0,0.7218480486818583
236,28.6875,423,19.875,337,0.49930418,88.0,0.5398476909977326
237,1.0625,13,1.8125,28,0.87475735,9.0,0.9257311684441046
238,16.25,238,7.8125,136,0.2800072,52.0,0.3626581675196165
239,46.5625,706,12.9375,219,0.12047554,37.33630940518894,0.131206415955874
240,45.3125,687,10.625,185,0.40866053,57.0,0.3329997998799279
241,18.625,269,9.3125,151,0.45450798,30.0,0.5529266466530721
242,7.9375,107,6.1875,79,0.63557655,14.212670403551895,0.7647159872442746
243,0.5,3,0.6875,13,0.849281,5.0,0.9599566447883424
244,22.0625,342,5.0,79,0.60270363,35.510561809129406,0.5360245010942251
245,8.6875,127,9.6875,162,0.44315168,48.0,0.4728094051042699
246,53.3125,757,7.0625,122,0.07883415,54.0,0.0858406676396975
247,9.0625,126,6.5,108,0.81098944,11.04536101718726,0.8381368794217314
248,2.3125,29,1.4375,24,0.9266711,4.47213595499958,0.950674343431138
249,2.1875,27,6.0,108,0.7731828,22.692801320236544,0.8023596225779268
250,3.875,51,3.8125,62,0.859288,19.0,0.838087279879199
251,14.375,213,6.8125,91,0.24546032,21.213203435596427,0.2799362810472798
252,6.5,88,5.5,60,0.102479436,60.53428394438057,0.1440372802372378
253,5.25,74,3.5,59,0.77721566,11.04536101718726,0.8373217262348546
254,8.3125,127,12.6875,226,0.6459908,33.0,0.7172723601709942
255,12.5,182,16.125,268,0.2667853,45.01943793433591,0.3032710541244011
256,13.4375,185,23.75,393,0.71777815,53.00565987367656,0.7532046098933807
257,7.375,98,5.75,91,0.703061,26.1725046566048,0.7213587050562456
258,11.25,163,7.5,115,0.49392036,24.08318915758459,0.6257435004108562
259,67.125,1018,25.5625,416,0.089725435,36.104002441855584,0.1245135182233007
260,39.5,590,20.5,334,0.2971466,47.0,0.2956120531645321
261,1.1875,10,2.0,33,0.8335199,8.06225774829855,0.9151121948483506
262,3.75,51,5.0,77,0.7686733,11.704699910719626,0.8748176736434837
263,0.5,8,1.0625,16,0.74916774,12.083045973594572,0.9133028753501352
264,8.4375,126,1.625,9,0.19167326,38.01315561749642,0.2297888917037227
265,18.625,274,5.3125,83,0.20907512,53.0,0.2538466904013882
266,14.625,201,3.4375,39,0.3170764,30.0,0.4943445097172378
267,4.9375,77,7.0,116,0.7269061,28.24711327312888,0.7155164383703423
268,6.1875,95,6.6875,108,0.82287204,26.476404589747453,0.8051461745487721
269,2.6875,32,5.4375,89,0.82788694,27.497261219724177,0.8437424932099502
270,39.625,588,14.375,215,0.1679837,22.0,0.1920430773439624
271,5.3125,74,2.9375,50,0.7499395,36.12478373637688,0.8145980519767939
272,13.0625,190,8.375,137,0.5607609,143.8290634916443,0.5202669372819644
273,16.75,234,17.125,303,0.40009296,209.3100570799388,0.301878214929791
274,2.6875,46,2.9375,59,0.7711281,28.653097563788805,0.7446781710542889
275,3.5,51,1.5,5,0.8267334,2.23606797749979,0.9496223277227148
276,12.5,197,4.5625,68,0.21486565,122.07477112513097,0.2918522040365962
277,29.0625,419,24.375,450,0.077737726,303.0,0.0764228564943539
278,2.0,25,2.3125,39,0.8664047,63.0,0.8582419872202967
279,11.25,163,4.1875,73,0.51712626,146.2942240828393,0.480419657848684
280,10.875,149,0.25,5,0.92887115,148.48518442980193,0.8296077299634352
281,4.3125,72,4.1875,67,0.008757782,105.11255760493584,0.0283050649359578
282,1.875,16,2.0,32,0.6158092,6.0,0.8933346272570926
283,4.875,78,1.125,22,0.9101024,10.0,0.919409723262224
284,11.9375,182,8.8125,153,0.3377645,391.06936714133735,0.2829350306232737
285,10.9375,159,21.6875,360,0.7822377,23.0,0.7727432085390901
286,21.5,324,5.5,90,0.15379061,242.9991769407937,0.2901795651214501
287,0.875,3,0.3125,21,0.82673407,2.0,0.9697929287586464
288,10.5,147,6.75,122,0.18987834,182.03351254924775,0.2724503355563411
289,6.3125,84,2.1875,40,0.5804784,197.05403950307843,0.5519807397680018
290,27.5625,425,15.5625,247,0.0,256.0692288778275,
291,12.5,191,3.125,58,0.3941216,196.0,0.3489077366838025
292,13.0625,172,9.4375,145,0.4240286,97.55176761704551,0.5992293655348141
293,2.25,32,1.875,35,0.8405435,19.6468827043885,0.8898226173085041
294,2.5,44,1.4375,27,0.8427987,2.0,0.966031389459714
