ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,1.25,17,0.875,12,0.7544814,6.324555320336759,0.9301474901053948
072,0.6875,6,0.75,12,0.8963062,6.0,0.9652115315536404
073,0.5625,5,1.3125,17,0.91497225,2.0,0.9736519837503796
074,0.375,5,0.125,1,0.96244246,1.0,0.9939563328202632
075,0.9375,13,0.6875,12,0.88998616,3.0,0.9807814573980904
076,0.5625,7,1.125,15,0.9077777,1.0,0.9863344505823126
077,0.4375,3,0.1875,2,0.908027,3.0,0.981118150493093
078,0.8125,13,1.25,19,0.6942979,5.0,0.8777885300283936
079,1.5625,18,0.9375,15,0.9113641,4.0,0.9697585329397804
080,1.25,20,1.4375,18,0.8412039,2.23606797749979,0.9523504197646724
081,0.5,3,0.5,7,0.7789306,6.0,0.931297020028216
082,2.0,19,1.75,8,0.7879258,2.23606797749979,0.9526829878172708
083,0.3125,4,0.1875,3,0.95221794,1.4142135623730951,0.9942572112317268
084,0.375,3,0.125,2,0.96550333,1.0,0.9977315866298478
085,1.3125,18,0.1875,3,0.8721907,3.0,0.9866979814822174
086,0.5625,5,0.625,10,0.86024714,4.0,0.971449840275994
087,1.875,18,1.875,27,0.80132145,5.0,0.9380600662854912
088,1.625,23,0.9375,16,0.87070227,4.0,0.9722656145708288
089,1.0625,13,1.25,18,0.78196484,5.0,0.9593455891550944
090,0.6875,2,0.5,7,0.7706531,6.0,0.9476057226820872
091,1.25,12,1.75,26,0.82787645,7.211102550927978,0.939850573201522
092,0.3125,4,0.125,2,0.9412536,2.0,0.9942740126438238
093,1.0625,14,0.5625,10,0.9431355,1.4142135623730951,0.980095893337398
094,0.625,8,0.1875,3,0.9063894,2.23606797749979,0.9927513978908942
095,0.5625,7,0.375,3,0.9260785,1.0,0.994052409431626
096,0.8125,10,0.625,8,0.8890064,1.0,0.9838670895219996
097,1.1875,17,1.5625,24,0.827849,6.0,0.9464259263314452
098,1.3125,18,1.5,25,0.8978704,6.028966885604256,0.951654176814016
099,0.3125,2,0.375,6,0.7827202,3.0,0.9782243039137306
100,0.875,11,0.0625,1,0.9529257,1.0,0.9936372482902398
101,0.5,5,0.25,1,0.8922632,2.0,0.9891701818598808
102,1.1875,18,1.125,15,0.8211045,5.656854249492381,0.9386737530588846
103,2.375,36,3.75,60,0.78309554,4.123105625617661,0.9516619530996938
104,1.3125,15,1.25,19,0.7990519,6.324555320336759,0.940230818479934
105,0.3125,5,0.125,2,0.9408031,1.0,0.9971285427844816
106,0.5,6,0.1875,0,0.94217247,1.4142135623730951,0.993028747120309
107,0.4375,3,0.875,10,0.6642823,3.0,0.9722212705915642
108,1.625,22,1.125,18,0.8778185,2.0,0.9699215599717932
109,0.75,6,1.1875,17,0.7707804,6.0,0.944913999138972
110,1.25,12,0.5625,5,0.8111032,3.0,0.9646401025759722
111,0.25,0,0.1875,3,0.91914654,1.4142135623730951,0.9890405214944904
112,0.875,11,0.25,0,0.8247916,2.0,0.985275396031516
113,1.3125,17,1.875,29,0.78868115,3.0,0.9389379580142864
114,0.875,12,1.125,18,0.79312557,6.024828759089406,0.9367014320949149
115,0.4375,5,0.125,3,0.9372485,1.0,0.9921933059587168
116,0.5,5,0.1875,3,0.92078185,2.0,0.990004746604778
117,0.4375,2,0.3125,1,0.9113355,1.0,0.994814934072884
118,0.5625,5,0.125,2,0.9192362,2.0,0.9937627292447996
119,0.875,6,0.375,1,0.93645954,1.0,0.9949767071486344
120,0.0625,0,0.25,1,0.8521738,2.0,0.996988162281513
121,4.375,53,4.0,50,0.8652885,3.605551275463989,0.919988671849546
122,1.4375,17,0.25,1,0.8069972,4.123105625617661,0.9038764275909184
123,0.375,4,0.625,7,0.95142776,1.0,0.990836823400756
124,25.1875,369,19.3125,326,0.58944386,12.0,0.5690372756872218
125,1.8125,22,1.3125,5,0.8694495,3.1622776601683795,0.930866522752226
126,1.3125,21,0.75,12,0.9448722,2.8284271247461903,0.9807558917577578
127,1.0,15,0.5625,0,0.93971705,1.0,0.9880259353726164
128,1.0625,16,0.875,14,0.9457849,3.0,0.985675835907282
129,1.3125,19,0.4375,5,0.91831225,2.0,0.9811877333776104
130,5.4375,80,5.625,91,0.8703517,11.6619037896906,0.8573014526050347
131,1.8125,21,2.875,32,0.88083154,7.071067811865476,0.917353770064496
132,2.375,38,1.25,20,0.91285765,4.123105625617661,0.9602277232579902
133,8.5625,121,7.875,114,0.68897396,8.94427190999916,0.7349223117169801
134,1.75,22,1.9375,22,0.8791503,4.0,0.9550940949484208
135,1.3125,18,2.5625,41,0.8946391,4.47213595499958,0.9423184768981424
136,13.4375,205,19.375,310,0.6305619,12.16552506059644,0.6145210796306106
137,0.375,7,0.1875,2,0.9288668,1.0,0.9925416060213728
138,0.8125,11,0.5625,8,0.9096536,3.0,0.960233188408475
139,10.8125,166,6.1875,103,0.8415792,25.573401317759107,0.7867371465733591
140,2.1875,31,1.625,25,0.9100233,4.0,0.960437336174871
141,2.0625,32,1.5625,25,0.86883324,4.123105625617661,0.9519704479080616
142,9.4375,145,6.3125,102,0.80337584,11.180339887498947,0.8040045407492665
143,3.125,50,2.6875,44,0.9056814,5.0,0.9548349179437976
144,6.875,102,5.75,92,0.8123991,25.0,0.8109340609145183
145,2.1875,30,4.125,71,0.89172024,4.242640687119285,0.9322302778674564
146,2.125,25,0.375,3,0.8787384,3.0,0.9641027671826928
147,12.25,175,30.125,502,0.69733363,11.0,0.6373502109380118
148,1.125,16,2.375,38,0.8517931,4.0,0.9573305871128028
149,2.5625,40,1.6875,27,0.8899666,5.0,0.9463887323750122
150,5.125,72,3.4375,56,0.7736144,17.029386365926403,0.8247271031816397
151,6.5625,100,7.3125,120,0.7922351,7.615773105863909,0.8134211732495602
152,0.375,5,0.625,8,0.91525275,2.8284271247461903,0.9842161715188436
153,9.75,135,9.375,165,0.7532618,10.0,0.7603566180905816
154,2.125,22,1.375,5,0.853741,4.0,0.9303331395156408
155,15.6875,223,10.9375,183,0.5477806,12.0,0.5616472884039844
156,1.625,18,1.0,15,0.89603394,4.242640687119285,0.9467917780120766
157,5.25,84,4.3125,71,0.8758372,12.36931687685298,0.8588849358097196
158,3.5,50,0.9375,16,0.9026586,4.0,0.948658487694825
159,0.9375,15,2.375,39,0.9108848,4.123105625617661,0.9644834919682088
160,1.5625,20,1.4375,2,0.89190346,7.280109889280518,0.8986455282623198
161,6.75,96,10.9375,176,0.6487849,9.219544457292889,0.6619156896156929
162,3.875,46,2.3125,19,0.87477416,3.605551275463989,0.9323259804539448
163,0.9375,8,0.6875,9,0.8870643,4.123105625617661,0.9511969688381972
164,0.5,4,0.4375,11,0.8890655,2.0,0.9844890171742582
165,0.625,10,0.4375,4,0.93526703,1.4142135623730951,0.9900118238049084
166,0.8125,13,0.25,3,0.89368916,3.0,0.9761167905027373
167,1.375,21,1.5625,18,0.83052295,3.1622776601683795,0.958591827935775
168,5.0625,78,2.4375,39,0.82405174,15.0,0.8577217598097503
169,2.125,26,4.9375,80,0.8809494,5.0,0.9336694952504538
170,1.1875,11,0.625,3,0.89110655,4.0,0.9639695792043184
171,8.3125,127,22.0,359,0.76296616,5.0,0.832293037233268
172,6.3125,88,19.0,313,0.83094114,5.0,0.8711488931933657
173,2.375,38,8.5,138,0.87837374,4.0,0.9363977521173092
174,20.0625,282,29.3125,480,0.75276816,5.0,0.7673597957091439
175,45.4375,652,5.5625,46,0.2116878,7.0,0.1511122296324259
176,42.75,604,4.75,33,0.35641107,9.486832980505138,0.3124846515244621
177,30.5,410,20.1875,285,0.4335978,6.324555320336759,0.4699351807368064
178,6.375,101,7.5625,123,0.8258085,5.0,0.9189733992777552
179,8.0625,111,10.9375,175,0.6538786,4.123105625617661,0.8283819253813713
180,6.3125,87,13.0625,200,0.63995934,4.47213595499958,0.7864387732850048
181,43.375,632,22.6875,337,0.26590258,16.492422502470642,0.2865892651614022
182,5.125,79,21.5625,359,0.77215075,4.0,0.8723978087849096
183,9.25,142,29.75,485,0.8074509,6.0,0.8137839012986661
184,20.1875,251,6.0625,171,0.6146531,4.47213595499958,0.6941772121812568
185,3.625,57,11.3125,187,0.8659395,4.0,0.8901808284380492
186,11.1875,159,32.625,533,0.78412795,5.0,0.8195228953013098
