ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,1.0625,12,1.875,27,0.7541595,6.324555320336759,0.9276026507753692
072,0.9375,9,1.3125,21,0.8958794,6.4031242374328485,0.9602808864481376
073,1.0625,11,1.0,17,0.91668814,2.0,0.972516090196502
074,0.4375,5,0.1875,2,0.9700922,1.0,0.9968675417661098
075,0.6875,11,0.4375,8,0.8856187,3.0,0.9811674103437124
076,1.5625,23,1.125,12,0.9147461,1.0,0.9848219381334992
077,0.5625,8,0.4375,6,0.90904975,3.0,0.9798950850960528
078,2.3125,37,2.8125,45,0.7016023,4.47213595499958,0.8467669236082823
079,2.25,33,0.6875,12,0.88707274,5.0,0.957227560650402
080,1.75,26,1.0,11,0.83191156,2.0,0.9600453969478528
081,1.0625,5,1.625,26,0.7740051,6.0,0.9234949172576016
082,2.3125,27,2.25,23,0.7924016,2.23606797749979,0.9528372252882332
083,0.5625,8,0.625,10,0.9511049,2.0,0.9852162562332256
084,0.9375,5,0.125,2,0.9565714,1.4142135623730951,0.9961382543394112
085,0.5,6,0.125,2,0.86827874,3.0,0.9892500031654728
086,0.75,8,0.5,8,0.8693039,3.1622776601683795,0.9732201636088906
087,2.5,32,2.8125,47,0.8062522,5.0,0.9312461484930468
088,1.5,20,0.875,15,0.86013556,4.0,0.9652570863373068
089,0.4375,6,0.3125,3,0.7875459,5.0,0.9764566126810684
090,1.3125,10,0.25,3,0.7705539,6.0,0.948807502157905
091,1.9375,20,1.25,18,0.8297504,7.211102550927978,0.9375699280845128
092,0.8125,12,0.3125,5,0.94561,2.0,0.9927215142742728
093,0.75,8,0.875,15,0.95455444,1.0,0.9849379662799228
094,0.8125,5,0.875,14,0.89636976,3.0,0.9891782308064672
095,0.5,6,0.375,5,0.9300947,1.0,0.9956779995938784
096,1.125,13,0.4375,8,0.8870076,1.0,0.9852614627150796
097,0.5625,5,0.75,10,0.8206212,6.082762530298219,0.9524200622147448
098,0.875,11,1.1875,20,0.8979442,6.324555320336759,0.9560441227503882
099,0.375,4,0.3125,5,0.7828729,3.0,0.9759900846652152
100,0.5625,7,0.0625,1,0.9550552,1.0,0.9945215247256434
101,0.9375,11,0.3125,3,0.9238856,1.0,0.9906846116118632
102,1.1875,13,1.5,21,0.82108927,5.385164807134504,0.9355918319789924
103,3.9375,58,1.3125,20,0.77919483,5.0,0.9424172316938704
104,1.1875,15,0.9375,14,0.8008723,6.041381265149109,0.946442856606806
105,0.375,5,0.125,2,0.93504274,1.4142135623730951,0.9980877272321598
106,1.25,15,0.4375,4,0.94855344,1.0,0.99196627169712
107,0.9375,10,0.375,1,0.70631725,2.0,0.9793920036113468
108,2.6875,39,0.4375,7,0.86571556,2.0,0.9701451646043224
109,1.5625,16,1.0,15,0.7676671,6.0,0.944925010685173
110,3.25,47,0.3125,2,0.8442905,2.0,0.9718647744674476
111,1.1875,17,0.375,6,0.9132471,1.4142135623730951,0.9875400216298008
112,1.0,14,0.5,5,0.8245833,2.0,0.9830730233602007
113,1.75,24,1.25,20,0.7992469,2.8284271247461903,0.9520863871435038
114,1.0625,14,1.375,22,0.8019176,6.0,0.9314619159303372
115,0.375,5,0.0625,2,0.9491673,1.0,0.9948557773061042
116,0.8125,8,0.3125,5,0.9234668,2.0,0.9895615483638504
117,0.5,6,0.3125,0,0.9246695,1.0,0.9959970402130218
118,1.5625,20,0.9375,15,0.9159173,2.0,0.9853219458984191
119,0.25,3,0.0625,2,0.95506006,1.0,0.9973540720649912
120,0.125,2,0.25,0,0.8836241,1.4142135623730951,0.9954891167336942
121,4.75,63,2.625,31,0.8613207,4.0,0.9075611556559068
122,3.0,41,1.8125,22,0.80892926,4.104639781774832,0.8954653804168672
123,1.0625,14,0.75,1,0.95043725,1.0,0.9934130454624436
124,24.0,349,12.625,215,0.5082326,14.0,0.5052519443774603
125,1.375,13,0.6875,1,0.871774,3.1622776601683795,0.9363461778187728
126,0.5,6,0.5625,9,0.95101535,2.23606797749979,0.9908904061501774
127,0.75,12,0.75,2,0.93863297,1.0,0.9903167193434887
128,0.3125,4,0.875,14,0.94648695,2.8284271247461903,0.9945626358127148
129,0.9375,12,0.875,7,0.9402293,1.4142135623730951,0.9845730362018846
130,5.375,78,2.375,39,0.8790235,8.94427190999916,0.8782014780586369
131,1.3125,14,0.25,8,0.9173053,3.0,0.9431056690847596
132,1.8125,28,1.4375,23,0.91665655,4.123105625617661,0.9659763821983632
133,9.75,137,12.5,195,0.7123995,6.0,0.7159964456463882
134,2.1875,29,2.9375,30,0.89675903,3.1622776601683795,0.933648595449872
135,2.375,36,1.375,22,0.92392075,4.0,0.9431544753508468
136,13.0,191,10.25,171,0.59066576,11.180339887498947,0.5117370382501735
137,2.0625,30,0.1875,0,0.93472785,1.0,0.9923380625877104
138,0.6875,11,0.4375,6,0.90699357,3.0,0.9723153846726482
139,9.125,141,2.75,46,0.82831234,25.70992026436488,0.7642055929435178
140,1.4375,21,0.75,12,0.9170278,3.605551275463989,0.9545228401141244
141,1.75,24,0.3125,5,0.86439615,4.123105625617661,0.9586321709165224
142,9.75,149,7.4375,127,0.79902285,10.0,0.7737865256689463
143,1.75,25,3.1875,52,0.9123732,4.47213595499958,0.9581247022263903
