ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,1.1875,14,1.0625,15,0.7547244,6.082762530298219,0.9284604286111188
072,0.9375,10,0.6875,11,0.8962895,6.082762530298219,0.9617907214633852
073,0.75,6,1.6875,26,0.91735405,2.0,0.9736805382259764
074,0.375,5,0.1875,3,0.9688648,1.0,0.9958585469299122
075,1.1875,19,1.625,25,0.8932309,3.0,0.9743621842112448
076,0.75,11,2.1875,33,0.90939736,1.0,0.9814807867758386
077,0.5625,9,1.625,25,0.8912972,3.0,0.9595704571283704
078,0.9375,11,1.4375,21,0.7055935,4.123105625617661,0.8646504046137578
079,2.1875,25,1.375,22,0.9033415,4.0,0.9580717023116728
080,1.25,17,1.9375,29,0.83953404,2.0,0.9531234147724426
081,1.0625,7,0.9375,17,0.78063357,6.0,0.9317971932090472
082,2.3125,28,2.1875,20,0.780871,2.23606797749979,0.9516880114550348
083,0.375,4,0.25,3,0.95511305,1.4142135623730951,0.9942235719860004
084,0.3125,1,0.375,6,0.96148515,1.0,0.997354055596676
085,0.8125,9,1.0,16,0.8704932,3.0,0.9864762769663112
086,0.5,6,0.6875,11,0.853706,4.0,0.9694086823848193
087,1.25,12,2.0625,33,0.79215926,5.830951894845301,0.9258430870943556
088,2.0,27,1.625,27,0.8751811,3.605551275463989,0.9598903501984154
089,0.6875,6,1.1875,17,0.77292514,5.0,0.9605509274858788
090,1.0625,8,0.6875,10,0.7702057,6.0,0.9459382439929724
091,1.625,19,1.4375,21,0.82825714,8.0,0.9343857239391008
092,0.1875,1,0.125,2,0.943227,2.0,0.9947133084153692
093,0.625,5,0.625,11,0.95255417,1.0,0.9858431048877756
094,0.5,6,0.6875,11,0.89529026,3.0,0.9895382257147022
095,0.75,11,0.1875,0,0.9279653,1.0,0.9953567080733768
096,1.25,13,0.625,9,0.8919094,1.0,0.9827843053129516
097,0.4375,5,0.5625,5,0.82518095,6.0,0.9527575339667188
098,1.125,14,1.3125,22,0.90010184,6.0,0.95781794009905
099,0.75,9,1.1875,19,0.7791305,3.0,0.9702451855823264
100,0.6875,8,0.3125,4,0.9547798,1.0,0.9931997289415916
101,0.5625,7,0.6875,6,0.8966474,2.0,0.9875479416176892
102,1.4375,16,1.4375,20,0.8163254,5.830951894845301,0.933249676795338
103,2.0625,34,2.4375,38,0.7848097,4.47213595499958,0.9485988685404352
104,1.0,11,0.9375,15,0.79887605,6.0,0.9446189845825106
105,0.375,5,0.3125,5,0.92831045,2.0,0.9981753289646332
106,0.4375,2,0.3125,1,0.9479336,1.0,0.9941756723808248
107,0.625,6,0.625,6,0.6774437,2.8284271247461903,0.9747117940976708
108,1.0625,16,0.5625,9,0.87823445,2.0,0.9740239750836828
109,1.25,12,0.9375,14,0.76753885,6.082762530298219,0.945418939202868
110,2.75,37,0.625,8,0.83852416,2.0,0.9682241148848028
111,0.875,12,1.0,16,0.90677214,2.0,0.9850714919235676
112,1.125,17,0.375,3,0.83379644,2.0,0.9839921180310244
113,2.375,31,2.25,39,0.8042659,3.0,0.9432252863473884
114,0.5625,9,0.5,8,0.7970504,6.082762530298219,0.9344961609656116
115,0.3125,4,0.125,1,0.9455427,1.0,0.9949008636327408
116,1.25,16,1.125,18,0.9159453,2.0,0.9835402269832716
117,0.5,6,0.5,6,0.91695946,1.0,0.993811595072356
118,1.625,19,1.5625,25,0.91432214,2.0,0.9808556261011594
119,0.5625,1,0.3125,4,0.9460095,1.0,0.997048934766396
