ID,Betti0ErrorLocal_mortar,Betti0Error_mortar,Betti1ErrorLocal_mortar,Betti1Error_mortar,Dice_mortar,HD95_mortar,clDice_mortar
071,0.25,2,0.5,5,0.75620806,6.708203932499369,0.9397039405570768
072,0.3125,2,0.125,3,0.8995318,7.0,0.9696931747025672
073,0.3125,1,1.4375,25,0.9259872,1.4142135623730951,0.9783846434662344
074,0.0625,0,0.125,3,0.97332346,1.0,0.9964184450082076
075,0.3125,3,0.125,3,0.8761667,3.0,0.9861214791151316
076,0.1875,0,0.25,3,0.92396003,1.0,0.9888624320005556
077,0.1875,0,0.0625,0,0.9308734,2.0,0.9959523958189
078,0.1875,1,0.4375,6,0.7079792,4.47213595499958,0.8602971495174963
079,1.1875,6,0.0625,1,0.8762437,5.0,0.981592602647932
080,0.125,1,0.8125,10,0.8186646,2.23606797749979,0.9638374652706816
081,0.25,0,0.3125,5,0.775581,6.4031242374328485,0.9379059525895016
082,0.8125,5,1.8125,26,0.7958392,2.0,0.9604192177576626
083,0.8125,12,0.375,5,0.9464036,2.0,0.9857672745021192
084,0.375,1,0.0625,0,0.9650121,1.0,0.999516111897153
085,0.25,2,0.0,0,0.87284476,3.0,0.9939688814555776
086,0.375,2,0.5625,9,0.87201726,3.605551275463989,0.9768711688044094
087,0.625,1,0.625,9,0.81012005,5.0,0.953733594260946
088,0.5625,5,0.0,1,0.8471899,4.0,0.9857978132525363
089,0.5,4,0.125,0,0.7706001,5.0990195135927845,0.9752130234604474
090,0.625,2,0.1875,2,0.7801498,6.0,0.9579824008834876
091,0.5625,2,0.625,8,0.8343068,7.211102550927978,0.9524402528569073
092,0.125,0,0.1875,3,0.94718355,2.0,0.9966590631546732
093,0.375,2,0.6875,12,0.95495313,1.0,0.985127782644719
094,0.0625,0,0.0,0,0.8953905,3.0,0.9967037642725508
095,0.0625,0,0.1875,1,0.9601772,1.0,0.9962098863015834
096,0.4375,3,0.75,10,0.882885,2.0,0.985574666173431
097,0.125,1,0.375,1,0.83129036,6.324555320336759,0.9559626707202832
098,0.625,6,0.375,5,0.9040771,6.4031242374328485,0.966447537688466
099,0.25,1,0.0625,2,0.81212866,3.0,0.9854009609406263
100,0.25,1,0.0,0,0.9493807,1.4142135623730951,0.994425966801626
101,0.125,1,0.25,1,0.9309012,1.0,0.9934871156591288
102,0.3125,0,0.3125,3,0.82845217,5.656854249492381,0.9498205585231918
103,0.375,5,0.125,1,0.770586,5.0,0.9797053517739026
104,0.5625,4,0.0625,1,0.8126679,6.0,0.9568251866508009
105,0.0625,0,0.0,0,0.9523693,1.0,1.0
106,0.3125,0,0.0625,1,0.96057826,1.0,0.99691488068227
107,0.25,0,0.1875,1,0.7326845,2.0,0.9867496602482928
108,0.875,11,0.4375,7,0.85835874,2.0,0.9741369584664435
109,0.625,6,0.4375,5,0.7722956,6.324555320336759,0.9615402555034912
110,0.3125,2,0.5,6,0.8414201,2.0,0.9851999899547724
111,0.25,1,0.1875,2,0.9217471,1.4142135623730951,0.9918251959065952
112,0.0625,0,0.25,2,0.82589424,2.0,0.9907890922083684
